id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
552,"Babatana (Lömaumbi)","Tryon & Hackman (1983)",baa,baba1268,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-7.00000000000000000000,156.83333300000001031549
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
144591,1,hand,kœrisi,arm,,12,
144592,2,left,mœri,left,,"1,59",
144593,3,right,mazala,right,,39,
144594,4,leg/foot,nikinia,leg,,18,
144595,5,"to walk",tati,walk,,65,
144596,5,"to walk","zo zolo","go down",,,
144597,5,"to walk",zo,go,,22,
144598,5,"to walk","zo puka","go up",,,
144599,6,road/path,zoka,road,,7,
144600,7,"to come",me,come,,1,
144601,8,"to turn",viuru,turn,,39,
144602,9,"to swim",seŋge,bathe,,46,
144603,9,"to swim",araŋa,swim,,48,
144604,10,dirty,pəttɔ,dirty,,15,
144605,11,dust,kau,dust,,17,
144606,12,skin,kœkœpa-e,skin,,12,
144607,13,back,tɔtaka,back,,56,
144608,14,belly,sea,belly,,63,
144609,15,bone,pœnda-e,bone,,8,
144610,16,intestines,kɔmba-e,guts,,17,
144611,17,liver,kɔla-e,liver,,8,
144612,18,breast,sɔsua,breast,,1,
144613,20,"to know, be knowledgeable",utini,know,,64,
144614,21,"to think",nənana,think,,16,
144615,22,"to fear",isi,fear,,45,
144616,23,blood,mandaka-e,blood,,6,
144617,24,head,mbœtua,head,,9,
144618,25,neck,kɔkunu-a,neck,,25,
144619,26,hair,pɔllupɔllu,"hair (body)",,31,
144620,27,nose,iŋo,nose,,15,
144621,28,"to breathe",ŋasapuka,breathe,,41,
144622,29,"to sniff, smell",nœmbo,smell,,51,
144623,30,mouth,zopa,mouth,,52,
144624,31,tooth,kikerea,tooth,,8,
144625,32,tongue,lulemea,tongue,,"7, 17",
144626,33,"to laugh",mbere,laugh,,55,
144627,34,"to cry",ŋgila,cry,,35,
144628,35,"to vomit",ndula,vomit,,18,
