id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
554,Mbareke,"Tryon & Hackman (1983)",mpr,vang1243,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, East","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.66826000000000007617,157.99717000000001121407
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
145026,1,hand,lima-na,arm,,1,
145027,2,left,ɣende,left,,16,
145028,3,right,mataɔ,right,,"5,13",
145029,4,leg/foot,nɛi-na,leg,,63,
145030,5,"to walk",ɛne,walk,,11,
145031,5,"to walk",hɔre,"go down",,,
145032,5,"to walk",la,go,,"1, 69",
145033,5,"to walk","kɛli la","go up",,,
145034,6,road/path,ɣuana,road,,35,
145035,7,"to come",mai,come,,1,
145036,8,"to turn",likɔso,turn,,43,
145037,9,"to swim",susue,bathe,,12,
145038,9,"to swim",ponu,swim,,53,
145039,10,dirty,ninĵe,dirty,,72,
145040,11,dust,umumɔrɔ,dust,,,
145041,12,skin,kakaputu-na,skin,,12,
145042,13,back,kakandɔ-na,back,,112,
145043,14,belly,tia-na,belly,,1,
145044,15,bone,zuzuri-na,bone,,52,
145045,16,intestines,kuru-na,guts,,80,
145046,17,liver,kɔla-na,liver,,8,
145047,18,breast,navoro,breast,,34,
145048,20,"to know, be knowledgeable",uvazanai,know,,65,
145049,21,"to think",mbalambaʔa,think,,17,
145050,22,"to fear",kalɔkete,fear,,48,
145051,23,blood,nĵuka-na,blood,,10,
145052,24,head,mbatu-na,head,,9,
145053,25,neck,rua-na,neck,,18,
145054,26,hair,pulupulu-na,"hair (body)",,31,
145055,27,nose,izu-na,nose,,1,
145056,28,"to breathe",ziŋo,breathe,,20,
145057,29,"to sniff, smell",hina,smell,,53,
145058,30,mouth,nĵuŋu-na,mouth,,2,
145059,31,tooth,livo-na,tooth,,"1,35",
145060,32,tongue,mea-na,tongue,,7,
145061,33,"to laugh",viara,laugh,,60,
145062,34,"to cry",kiu,cry,,42,
145063,35,"to vomit",muta,vomit,,1,
145064,36,"to spit",kamisu,spit,,"14, 22",
145065,37,"to eat",vevei,eat,,41,
145066,37,"to eat",ŋaŋau,eat,,15,
145067,40,"to drink",mbei,drink,,8,
145068,41,"to bite",uzu,bite,,31,
145069,42,"to suck",tɔtɔpo,suck,,"1, 32",
145070,43,ear,taliŋi-na,ear,,1,
145071,44,"to hear",lɛmɔno,hear,,39,
145072,45,eye,mata-na,eye,,1,
145073,46,"to see",ɔme,see,,17,
145074,48,"to sleep",musa,sleep,,53,
145075,49,"to lie down",ɛko,"lie down",,11,
145076,51,"to sit",tuɔlo,sit,,,
145077,52,"to stand",tiva,stand,,11,
145078,53,"person/human being",ikana,person,,38,
145079,54,man/male,masu,man,,,
145080,55,woman/female,ɔrɔreke,woman,,43,
145081,56,child,kɔmburu,child,,12,
145082,59,mother,tina-na,mother,,1,
145083,60,father,tama-na,father,,1,
145084,61,house,vanua,house,,7,
145085,62,thatch/roof,sinumba,thatch,,37,
145086,63,name,ɣilaɣila,name,,25,
145087,64,"to say",sana,say,,,
145088,65,rope,andɔso,rope,,48,
145089,65,rope,iku,rope,,15,
145090,66,"to tie up, fasten",pirinai,tie,,18,
145091,67,"to sew",pitipiti,sew,,19,
145092,69,"to hunt",hambu,hunt,,45,
145093,69,"to hunt","enes ie",hunt,,44,
145094,71,"to stab, pierce",tasova,stab,,17,
145095,72,"to hit",zɛke,"hit (stick)",,54,
145096,73,"to steal",siko,steal,,13,
145097,74,"to kill",valɛngu,kill,,16,
145098,75,"to die, be dead",lɛŋgu,die,,22,
145099,76,"to live, be alive",tinɔ,life,,"8,39",
145100,76,"to live, be alive",tɔna,alive,,8,
145101,77,"to scratch",takatikati,scratch,,,
145102,78,"to cut, hack",tiŋge,"cut nut",,x,
145103,78,"to cut, hack",hirama,"cut (wood)",,79,
145104,78,"to cut, hack","ta lukutu","cut (string)",,,
145105,80,"to split",takɛzi,split,,50,
145106,81,sharp,ŋasuna,sharp,,25,
145107,82,"dull, blunt",paŋɔele,blunt,,,
145108,83,"to work",tavetavete,work,,17,
145109,87,"to swell",mɔŋgo,swell,,"24, 56",
145110,88,"to squeeze",pilɔso,squeeze,,"42,50",
145111,89,"to hold",tɛku,hold,,58,
145112,90,"to dig",heli,dig,,1,
145113,95,"to fall",vithu,fall,,79,
145114,96,dog,sie,dog,,52,
145115,97,bird,makuku,bird,,,
145116,98,egg,vɔvɔtɔ,egg,,12,
145117,99,feather,kalu,feather,,9,
145118,100,wing,sasarava,wing,,51,
145119,101,"to fly",sarava,fly,,61,
145120,101,"to fly",ndɔndɔa,"fly (insect!)",,x,
145121,102,rat,kutu,"irreg reflex",,"3,63",
145122,103,meat/flesh,mbɔrambɔra-na,meat/flesh,,48,
145123,104,fat/grease,ndendeana,fat/grease,,18,
145124,105,tail,sikunu-na,tail,,13?,
145125,106,snake,nɔki,snake,,19,
145126,108,louse,hutu,louse,,1,
145127,108,louse,liza,"louse egg",,x20,
145128,109,mosquito,ndɛri,mosquito,,43,
145129,110,spider,kukaere,spider,,41,
145130,111,fish,iɣana,fish,,1,
145131,112,rotten,morete,rotten,,33,
145132,112,rotten,pɔnĵe,rotten,,"9, 69",
145133,113,branch,reta-na,branch,,,
145134,114,leaf,zazairi,leaf,,31,
145135,115,root,ɣaɣuruna,root,,,
145136,116,flower,nĵunĵualana,flower,,41,
145137,117,fruit,ure-na,fruit,,30,
145138,118,grass,seseu,grass,,17,
145139,119,earth/soil,pɛpesa,earth,,16,
145140,120,stone,patu,stone,,1,
145141,121,sand,keɔro,sand,,53,
145142,122,water,kavɔ,water,,35,
145143,123,"to flow",tɔtɔtɔlo,flow,,15,
145144,124,sea,zera,sea,,43,
145145,127,woods/forest,ŋgɔanapiru,bush,,48,
145146,128,sky,velevelembaŋara,sky,,14,
145147,129,moon,paleke,moon,,34,
145148,130,star,seru,star,,38,
145149,131,cloud,himbu,cloud,,61,
145150,132,fog,kɔvɛle,fog,,13,
145151,133,rain,sierane,rain,,32,
145152,134,thunder,kulumu,thunder,,"2,56",
145153,135,lightning,mandava,lightning,,39,
145154,136,wind,ivaza,wind,,,
145155,137,"to blow",ivaza,blow,,,
145156,137,"to blow",ivu,blow,,5,
145157,138,warm,luluŋu,warm,,59,
145158,138,warm,reka,warm,,58,
145159,139,cold,ŋgaumu,cold,,57,
145160,139,cold,manɔmbu,cold,,58,
145161,140,dry,pɔpa,dry,,18,
145162,141,wet,kumbese,wet,,52,
145163,142,heavy,rɔete,heavy,,,
145164,143,fire,ndevuru,fire,,,
145165,143,fire,ikusu,fire,,28,
145166,144,"to burn",uruŋu,burn,,48,
145167,145,smoke,rɔvu,smoke,,25,
145168,146,ash,ɛmba,ashes,,13,
145169,147,black,sinɔkɔ,black,,47,
145170,148,white,heva,white,,51,
145171,149,red,mbula,red,,,
145172,150,yellow,memeava,yellow,,17,
145173,151,green,mbuma,green,,19,
145174,152,small,tutuina,small,,,
145175,153,big,lavatana,big,,10,
145176,154,short,mbɔkusuna,short,,65,
145177,155,long,hele-na,long,,17,
145178,156,thin,manovisi-na,thin,,1,
145179,157,thick,patuara-na,thick,,42,
145180,160,"painful, sick",mbakɔra,sick,,21,
145181,162,old,marɔke,"old (person)",,74,
145182,162,old,kɔina,"old (thing)",,x,
145183,163,new,haŋguruna,new,,"1,14",
145184,164,good,leana,good,,22,
145185,165,"bad, evil",siena,bad,,47,
145186,166,"correct, true",nɔrɔna,correct,,48,
145187,167,night,"mbɔŋi papauku",night,,1,
145188,168,day,rane,day,,6,
145189,169,year,mburumburu,year,,10,
145190,170,when?,"pana viza",when?,,35,
145191,173,at,pa,at,,8,
145192,174,"in, inside","pa kɔrapa-na",in,,24,
145193,176,below,panapesa,below,,43,
145194,177,this,pianini,this,,18,
145195,179,near,tata,near,,9,
145196,180,far,zɛu,far,,1,
145197,181,where?,pavē,where?,,3,
145198,182,I,ra,"I (1sg)",,"1,24",
145204,183,thou,hɔ,"you (2sg)",,s,
145199,184,he/she,hehi,he,,1,
145200,185,we,"hita karu","we (1du.incl)",,1,
145201,185,we,hami,"we (1pl.excl)",,2,
145202,185,we,hita,"we (1pl.incl)",,1,
145203,185,we,"he karu","we (1du.excl)",,2,
145205,186,you,-mu,"your (2sg.poss)",,x,
145206,186,you,"-mi hamu","your (2pl.poss)",,x,
145207,186,you,"hɔ karu","you (2du)",,x,
145208,186,you,hamu,"you (2pl)",,1,
145209,187,they,"eri karu","they (3du)",,x,
145210,187,they,"eri kiza","they (3pl)",,"1, 69",
145211,188,what?,nazā,what?,,1,
145212,189,who?,ɛz,who?,,1,
145213,192,and,matau,and,,2,
145214,193,if,mbe,if,,28,
145215,194,how?,zazo,how?,,,
145216,195,"no, not",ndai,no,,63,
145217,196,"to count",tane,count,,47,
145218,197,One,mɛka,one,,"31,33",
145219,198,Two,karua,two,,1,
145220,199,Three,hike,three,,6,
145221,200,Four,kambuto,four,,,
145222,201,Five,kalima,five,,1,
145223,202,Six,kaɔnɔmo,six,,1,
145224,203,Seven,kanĵuapa,seven,,12,
145225,204,Eight,kavesu,eight,,15,
145226,205,Nine,kasia,nine,,23,
145227,206,Ten,"naŋguru puta",ten,,"23,25",
145228,209,"One Hundred","meka ɣɔɣɔto","one hundred",,10,
145229,210,"One Thousand","mɛka tina","one thousand",,20,
