id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
555,"Nggao (Poro)","Tryon & Hackman (1983)",gga,gaoo1237,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Santa Isabel, East","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.35163000000000010914,159.78865999999999303327
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
145239,1,hand,khame-ña,arm,,13,
145240,2,left,meri-ña,left,,"1,59",
145241,3,right,hneta,right,,11,
145242,4,leg/foot,nene-ña,leg,,19,
145243,5,"to walk",haɣe,"go up",,,
145244,5,"to walk",tei,go,,135,
145245,5,"to walk",ɣae,go,,67,
145246,5,"to walk",sɔru,"go down",,,
145247,5,"to walk",zazaʔɔ,walk,,22,
145248,6,road/path,nagliu,road,,,
145249,7,"to come",mei,come,,1,
145250,8,"to turn","tali figri",turn,,45,
145251,9,"to swim",taɔ,swim,,27,
145252,9,"to swim",sisiu,bathe,,12,
145253,10,dirty,thātapa,dirty,,76,
145254,11,dust,naprafu,dust,,29,
145255,12,skin,guli-ña,skin,,1,
145256,13,back,phɔgru-ña,back,,,
145257,14,belly,thiʔa-ña,belly,,1,
145258,15,bone,hnubra-ña,bone,,11,
145259,16,intestines,buthu-ña,guts,,42,
145260,17,liver,khɔla-ña,liver,,8,
145261,18,breast,tsuʔu-ña,breast,,"1, 33",
145262,20,"to know, be knowledgeable",lalase,know,,34,
145263,21,"to think",ɣaɔɣathɔ,think,,18,
145264,22,"to fear",hmaɣu,fear,,1,
145265,23,blood,dadara-ña,blood,,1,
145266,24,head,phaʔu-ña,head,,14,
145267,25,neck,narara-ña,neck,,,
145268,26,hair,nafruta-ña,"hair (body)",,44,
145269,27,nose,nehu-ña,n-ehu-,,1,
145270,28,"to breathe",phapaŋa,breathe,,44,
145271,29,"to sniff, smell",sibiŋia,smell,,,
145272,29,"to sniff, smell",hiɣinia,smell,,12,
145273,30,mouth,nafɔflɔ-ña,mouth,,56,
145274,31,tooth,kheʔi-ña,tooth,,9,
145275,32,tongue,glapi-ña,tongue,,21,
145276,33,"to laugh",maʔe,laugh,,63,
145277,34,"to cry",tahni,cry,,1,
145278,36,"to spit",aŋusu,spit,,"14, 83",
145279,37,"to eat",ŋamu,eat,,"1,43",
145280,40,"to drink",kɔʔu,drink,,30,
145281,41,"to bite",kakatu,bite,,13,
145282,43,ear,khuli-ña,ear,,6,
145283,44,"to hear",rɔrɔgɔ,hear,,1,
145284,45,eye,nathatha-ña,eye,,17,
145285,46,"to see",kɔkɔfu,see,,,
145286,49,"to lie down",thuru,"lie down",,44,
145287,53,"person/human being",nanɔni,person,,13,
145288,54,man/male,maʔane,man,,1,
145289,55,woman/female,gaʔase,woman,,12,
145290,56,child,sua,child,,9,
145291,59,mother,dɔ-ña,mother,,29,
145292,59,mother,doɣe,mother,,29,
145293,60,father,ma-ña,father,,1,
145294,60,father,maɣe,father,,,
145295,61,house,suga,house,,9,
145296,62,thatch/roof,kikilɔva,thatch,,39,
145297,63,name,nahŋa-ña,name,,"1,18",
145298,64,"to say",lepɔza,say,,,
145299,65,rope,dɔɣɔ,rope,,49,
145300,65,rope,phukri,rope,,17,
145301,66,"to tie up, fasten",sɔsɔlo,tie,,,
145302,67,"to sew",susuki,sew,,"17, 48",
145303,69,"to hunt",hili,hunt,,12,
145304,71,"to stab, pierce",ɣisɔza,stab,,,
145305,72,"to hit",aʔanu,"hit (stick)",,50,
145306,73,"to steal",čikɔ,steal,,13,
145307,74,"to kill",faleleme,kill,,16,
145308,75,"to die, be dead",leme,die,,"5,6",
145309,76,"to live, be alive",kahra,alive,,40,
145310,76,"to live, be alive",kahra,life,,40,
145311,77,"to scratch",gagaru,scratch,,44,
145312,78,"to cut, hack",kukusu,"cut (string)",,84,
145313,78,"to cut, hack",rave,"cut (wood)",,83,
145314,78,"to cut, hack",fike,"cut (wood)",,85,
145315,78,"to cut, hack",tɔtɔka,"cut (wood)",,27,
145316,78,"to cut, hack",fala,"cut nut",,x,
145317,80,"to split",aʔahla,split,,14,
145318,81,sharp,fɔnu,sharp,,75,
145319,82,"dull, blunt",phutu,blunt,,1,
145320,83,"to work",lɔku,work,,50,
145321,87,"to swell",huŋu,swell,,38,
145322,88,"to squeeze",pɔpɔĵi,squeeze,,18,
145323,88,"to squeeze",frɔʔi,squeeze,,1,
145324,89,"to hold",lɔulɔku,hold,,60,
145325,90,"to dig",dɔkha,dig,,3,
145326,95,"to fall",uthu,fall,,79,
145327,95,"to fall",ɔha,fall,,"19,22",
145328,96,dog,khau,dog,,17,
145329,97,bird,memeha,bird,,15,
145330,98,egg,nakredi,egg,,13,
145331,99,feather,čheŋe-ña,feather,,,
145332,100,wing,baɣi-ña,wing,,16,
145333,101,"to fly",glaŋɔ,"fly (insect!)",,x,
145334,101,"to fly",flalo,fly,,16,
145335,102,rat,nakusi,rat,,3,
145336,103,meat/flesh,nafnahi-ña,meat/flesh,,17,
145337,104,fat/grease,garɔfa,fat/grease,,46,
145338,105,tail,gleɣu-ña,tail,,49,
145339,106,snake,phɔli,snake,,,
145340,108,louse,gliha,"louse egg",,x,
145341,108,louse,theli,louse,,18,
145342,109,mosquito,ñɔiñɔi,mosquito,,,
145343,110,spider,khakafre,spider,,13,
145344,111,fish,sasa,fish,,45,
145345,112,rotten,bɔse,rotten,,"9, 71",
145346,112,rotten,sɨri,rotten,,,
145347,113,branch,grata,branch,,25,
145348,114,leaf,nakakla,leaf,,15,
145349,115,root,grabu,root,,26,
145350,115,root,glathi,root,,25,
145351,116,flower,sisi,flower,,16,
145352,118,grass,būburu,grass,,19,
145353,119,earth/soil,glɔse,earth,,43,
145354,120,stone,thina,stone,,24,
145355,121,sand,nusu,sand,,55,
145356,122,water,khɔʔu,water,,7,
145357,123,"to flow",glɔlɔrɔ,flow,,15,
145358,123,"to flow",ñugru,flow,,,
145359,124,sea,khɔlɔ,sea,,45,
145360,127,woods/forest,naguta,bush,,25,
145361,128,sky,grabɔ,sky,,43,
145362,129,moon,glaba,moon,,27,
145363,130,star,nathunu,star,,"1,41",
145364,131,cloud,grɔmɔ,cloud,,20,
145365,132,fog,gafu,fog,,"1, 55",
145366,133,rain,nahani,rain,,26,
145367,133,rain,nauha,rain,,26,
145368,134,thunder,fila,thunder,,23,
145369,135,lightning,naglisa,lightning,,13,
145370,136,wind,naulafa,wind,,,
