id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
567,"Bauro (Haununu)","Tryon & Hackman (1983)",bxa,baur1252,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.58257000000000047635,161.86319000000000301043
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
148294,1,hand,rima-na,arm,,1,
148295,2,left,mahana,left,,57,
148296,3,right,aoto-na,"right; irregular initial /a/",,42,
148297,4,leg/foot,auwa-na,"leg; irregular *q > w; irregular diphthongisation of vowel",,101,
148298,5,"to walk",hahano,walk,,2,
148299,5,"to walk","hano so","go down",,,
148300,5,"to walk",hano,go,,2,
148301,5,"to walk",akau,"go up",,,
148302,6,road/path,tara,road,,1,
148303,7,"to come","hano mai",come,,"1,23",
148304,8,"to turn",ahoro,turn,,37,
148305,9,"to swim",mānu,bathe,,62,
148306,9,"to swim",arasi,swim,,63,
148307,10,dirty,toɣoɣa,dirty,,81,
148308,10,dirty,memeoɣa,dirty,,80,
148309,11,dust,akohu,dust,,32,
148310,11,dust,rarahuɣa,dust,,29,
148311,12,skin,ɣawo-na,skin,,35,
148312,13,back,pwasi-na,back,,53,
148313,14,belly,aupwa-na,"belly; irregular *bw > pw, expect bw; irregular addition of initial a vowel",,36,
148314,15,bone,surʔ-na,bone,,52,
148315,16,intestines,aŋaena,guts,,59,
148316,17,liver,roko-na,liver,,25,
148317,18,breast,susu-na,breast,,1,
148318,20,"to know, be knowledgeable",ɣirarā,"know; irregular addition of reduplicated final syllable",,"18, 102",
148319,21,"to think",tunua,think,,80,
148320,21,"to think",takoha,think,,38,
148321,22,"to fear",mamaɣu,fear,,1,
148322,23,blood,ɣapu-na,blood,,5,
148323,24,head,bwau-na,head,,9,
148324,25,neck,rio-na,neck,,1,
148325,26,hair,waraehu,"hair (body)",,54,
148326,27,nose,pwanusu-na,nose,,"1,12",
148327,28,"to breathe",manawo,breathe,,1,
