id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
575,"Sa'a (Sa'a Village)","Tryon & Hackman (1983)",apb,saaa1240,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-9.61666699999999963211,161.44999999999998863132
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
150208,1,hand,kiʔikiʔi-na,arm,,48,
150209,2,left,mæumæuli,"left; irregular reflex of *w",,"1,59",
150210,3,right,pwalopwalo,right,,43,
150211,4,leg/foot,aʔena,"leg; irregular *q > ʔ",,1,
150212,5,"to walk",laepahe,walk,,"1, 90",
150213,5,"to walk","lae hao","go down",,,
150214,5,"to walk",lae,go,,"1, 90",
150215,5,"to walk","lae taʔau","go up",,,
150216,6,road/path,tala,road,,1,
150217,7,"to come","lae mai",come,,"1,87",
150218,8,"to turn",hoʔiteʔi,turn,,9,
150219,9,"to swim",loto,bathe,,8,
150220,9,"to swim",olo,swim,,74,
150221,10,dirty,matamataʔa,dirty,,77,
150222,11,dust,mokamoka,dust,,27,
150223,12,skin,hohoʔana,skin,,13,
150224,13,back,kokolu-na,back,,60,
150225,14,belly,aopa-na,"belly; irregular addition of initial a vowel",,36,
150226,15,bone,susuli-na,bone,,52,
150227,17,liver,saena,liver,,1,
150228,18,breast,susu-na,breast,,1,
150229,20,"to know, be knowledgeable",atomaʔinia,know,,101,
150230,21,"to think",neʔisae,think,,49,
150231,22,"to fear",maʔuniæ,fear,,1,
150232,23,blood,ʔapu-na,blood,,5,
150233,24,head,pwau-na,head,,9,
150234,25,neck,luana,neck,,18,
150235,26,hair,uhuakalo,"hair (body)",,"13,55",
150236,27,nose,panona,"nose; irregular *l > n",,"12, 74",
150237,28,"to breathe",mano,breathe,,47,
150238,29,"to sniff, smell",nonowasu,smell,,"50, 102",
150239,30,mouth,wawa-na,mouth,,1,
150240,31,tooth,niho-na,tooth,,1,
150241,32,tongue,mea-na,tongue,,7,
150242,33,"to laugh",mwasi,laugh,,58,
150243,34,"to cry",nara,cry,,5,
150244,35,"to vomit",moa,"vomit; irregular *u > o",,1,
150245,36,"to spit",nisu,spit,,"14, 58",
150246,37,"to eat",nau,eat,,15,
150247,40,"to drink",ino,"drink; irregular *u > o",,1,
150248,41,"to bite",ʔalaiæ,bite,,1,
150249,42,"to suck",omea,suck,,"17, 84",
150250,43,ear,alina-na,ear,,1,
150251,44,"to hear",ronoa,hear,,1,
150252,45,eye,mā-na,eye,,1,
150253,46,"to see",liosiæ,see,,14,
150254,48,"to sleep",maʔahu,sleep,,"58, 59",
150255,49,"to lie down",eno,"lie down",,1,
150256,51,"to sit",iʔo,sit,,87,
150257,52,"to stand",ura,stand,,40,
150258,53,"person/human being",noni,"person; irregular loss of *i",,10,
150259,54,man/male,mane,man,,1,
150260,55,woman/female,keni,woman,,8,
150261,56,child,kale-na,child,,40,
150262,59,mother,nika-na,"mother; irregular *e > a",,32,
150263,60,father,ama-na,father,,1,
150264,61,house,nima,"house;  irregular *R > n, irregular *u > i",,"1, 50",
150265,62,thatch/roof,"ʔapaʔapana sao",thatch,,1,
150266,63,name,sasa-na,name,,"1,18",
150267,64,"to say",unua,say,,70,
150268,65,rope,niali,"rope; irregular initial ni-",,"1, 52",
150269,66,"to tie up, fasten",takia,tie,,65,
150270,67,"to sew",tauri,sew,,55,
150271,69,"to hunt",nia,hunt,,,
150272,71,"to stab, pierce",otomæ,stab,,55,
150273,72,"to hit",rapusia,"hit (stick)",,42,
150274,73,"to steal",peli,steal,,12,
150275,74,"to kill",horona,kill,,48,
150276,75,"to die, be dead",mae,die,,1,
150277,76,"to live, be alive",maurihæ,life,,"1, 76",
150278,76,"to live, be alive",mauri,alive,,"1, 76",
150279,77,"to scratch",karumia,scratch,,44,
150280,78,"to cut, hack","ʔai tepi","cut nut",,X,
150281,78,"to cut, hack",tohua,"cut (wood)",,22,
150282,78,"to cut, hack",kiria,"cut (string)",,70,
150283,80,"to split",tarihitɛliæ,split,,10,
150284,81,sharp,ʔala,sharp,,69,
150285,82,"dull, blunt",komu,blunt,,17,
150286,83,"to work",toʔi,work,,52,
150287,87,"to swell",upu,swell,,12,
150288,88,"to squeeze",puʔosia,squeeze,,18,
150289,89,"to hold",toʔia,hold,,77,
150290,90,"to dig",ʔeliæ,dig,,1,
150291,95,"to fall",teke,fall,,70,
150292,96,dog,kui,dog,,7,
150293,97,bird,manu,bird,,1,
150294,98,egg,apota,egg,,39,
150295,99,feather,uhu-na,feather,,"7, 55",
150296,100,wing,ʔapaʔapana,wing,,"1,12",
150297,101,"to fly",loho,fly,,1,
150298,101,"to fly",noke,fly,,63,
150299,102,rat,ʔasuhe,rat,,3,
150300,103,meat/flesh,manita,meat/flesh,,53,
150301,103,meat/flesh,hinasu,meat/flesh,,"17, 68",
150302,104,fat/grease,piʔa-na,fat/grease,,55,
150303,105,tail,kukuʔi-na,tail,,"1, 57",
150304,105,tail,uʔuina,tail,,"1, 57",
150305,106,snake,mwā,snake,,12,
