id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
579,"Mbughotu (Dhadhaje)","Tryon & Hackman (1983)",bgt,bugh1239,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Bughotu","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.47948000000000057241,159.80177000000000475666
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
151011,1,hand,lima-ña,arm,,1,
151012,2,left,tɔʔi-ña,left,,45,
151013,3,right,madɔðɔ-ña,right,,9,
151014,4,leg/foot,nae-ña,"leg; irregular initial n-",,1,
151015,5,"to walk",taveti,"walk; only found in two Bughotu lists",,12,
151016,5,"to walk",hɔru,"go down",,,
151017,5,"to walk",vanɔ,go,,2,
151018,5,"to walk",hadi,"go up",,,
151019,6,road/path,haŋana,"road; only found in Bughotu",,23,
151020,7,"to come",mai,come,,1,
151021,8,"to turn",tabiru,turn,,49,
151022,9,"to swim",siusiu,bathe,,12,
151023,9,"to swim",ɔðɔ,swim,,74,
151024,10,dirty,turu,dirty,,,
151025,11,dust,maumavu,dust,,,
151026,12,skin,ɣuiɣuli-ña,skin,,1,
151027,13,back,pɔɣuru-ña,back,,98,
151028,14,belly,kutu-ña,belly,,14,
151029,15,bone,ɣuli-ña,"bone; irregular *s > ɣ",,52,
151030,16,intestines,kutulɔlɔpɔ,guts,,"43, 61",
151031,17,liver,lɔulɔɣu-ña,liver,,,
151032,18,breast,raga-ña,breast,,,
151033,20,"to know, be knowledgeable",adɔa,know,,101,
151034,21,"to think",tɔatɔɣa,think,,,
151035,22,"to fear",mataɣu,fear,,1,
151036,23,blood,ɣauɣabua-ña,blood,,5,
151037,24,head,ulu-ña,head,,1,
151038,25,neck,lua-ña,neck,,18,
151039,26,hair,vuvuluɣa-ña,"hair (body)",,31,
151040,27,nose,ehu-ña,"nose; irregular *i > e",,1,
151041,28,"to breathe",aheahe,breathe,,16,
151042,29,"to sniff, smell",ñahŋɔ,smell,,,
151043,30,mouth,livɔ-ña,"mouth; < POc *lipon 'tooth'",,54,
151044,31,tooth,keʔi-ña,"tooth; looks to be a loan from NWSols, where a similar form is found in Santa Isabel languages",L,9,
151045,32,tongue,ðapi-ña,tongue,,21,
151046,33,"to laugh",kia,laugh,,14,
151047,34,"to cry",taŋi,cry,,1,
151048,35,"to vomit",luluʔa,vomit,,8,
151049,36,"to spit",kmisu,"spit; seems likely that this is a loan from NWSols languages",L,"14, 22",
151050,37,"to eat",vaŋa,eat,,"1,53",
151051,40,"to drink",kɔʔu,drink,,30,
151052,41,"to bite",ɣaɣaðati,bite,,1,
151053,42,"to suck",sɔpia,suck,,"1, 82",
151054,43,ear,kuli-ña,ear,,6,
151055,44,"to hear",rɔŋovia,hear,,1,
151056,45,eye,mata-ña,eye,,1,
151057,46,"to see",reɣia,see,,13,
151058,48,"to sleep",nere,sleep,,,
151059,49,"to lie down",kɔli,"lie down",,,
