id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
580,Blablanga,"Tryon & Hackman (1983)",blp,blab1237,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Santa Isabel, Central","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.15057999999999971408,159.41863000000000738510
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
151221,1,hand,khame-na,arm,,13,
151222,2,left,hmairi,left,,"1,59",
151223,3,right,hneta,right,,11,
151224,4,leg/foot,ɣahe-na,leg,,1,
151225,5,"to walk","fai haɣe","go up",,,
151226,5,"to walk","la zahɔ",go,,"1, 22",
151227,5,"to walk","fai kave","go down",,,
151228,5,"to walk",zazahɔ,walk,,22,
151229,6,road/path,gukhu,road,,21,
151230,7,"to come",mai,come,,1,
151231,8,"to turn",figri,turn,,45,
151232,9,"to swim",taɔ,swim,,27,
151233,9,"to swim",ikha,bathe,,X,
151234,10,dirty,thɔna,dirty,,41,
151235,11,dust,gufnu,dust,,59,
151236,12,skin,guli-na,skin,,1,
151237,14,belly,thia-na,belly,,1,
151238,15,bone,hnuma-na,bone,,11,
151239,16,intestines,hñapa-na,guts,,41,
151240,17,liver,kekeʔesu-na,liver,,,
151241,18,breast,suʔu-na,breast,,1,
151242,20,"to know, be knowledgeable",lalase,know,,34,
151243,21,"to think",ɣaɣathɔ,think,,18,
151244,22,"to fear",hmaɣu,fear,,1,
151245,23,blood,dadara-na,blood,,1,
151246,24,head,phaʔu-na,head,,14,
151247,25,neck,thana-na,neck,,,
151248,26,hair,fruta-na,"hair (body)",,44,
151249,27,nose,nehu-na,n-ehu-,,1,
151250,28,"to breathe","fahaɣe nafa",breathe,,1,
151251,29,"to sniff, smell",ñañahnɔ,smell,,54,
151252,30,mouth,naflɔ-na,mouth,,56,
151253,31,tooth,kheʔi-na,tooth,,9,
151254,32,tongue,glapi-na,tongue,,21,
151255,33,"to laugh",koblɔ,laugh,,53,
151256,34,"to cry",tahni,cry,,1,
151257,35,"to vomit",luʔa,vomit,,8,
151258,36,"to spit",napnisu,spit,,"14, 22",
151259,37,"to eat",ŋau,eat,,15,
151260,40,"to drink",kɔʔu,drink,,30,
151261,41,"to bite",kakathu,bite,,13,
151262,42,"to suck",suʔu,"suck; irregular *h > ʔ",,25,
151263,43,ear,"k uli-na",ear,,6,
151264,44,"to hear",nɔhmi,hear,,31,
151265,45,eye,natha-na,eye,,17,
151266,46,"to see",fakani,see,,29,
151267,48,"to sleep",turu,sleep,,1,
151268,49,"to lie down","thuru have","lie down",,44,
151269,51,"to sit",hnɔkrɔ,sit,,83,
151270,52,"to stand",thetu,stand,,"2,12",
151271,53,"person/human being",nakɔni,person,,13,
151272,54,man/male,nahlaʔu,man,,47,
151273,55,woman/female,gaɣase,woman,,12,
151274,56,child,sua,child,,9,
151275,59,mother,idɔ,mother,,19,
151276,60,father,mama,father,,1,
151277,61,house,suga,house,,9,
151278,62,thatch/roof,kikilɔva,thatch,,39,
151279,63,name,nahŋa-na,name,,"1,18",
151280,64,"to say",ɔʔɔe,say,,80,
151281,65,rope,phukri,rope,,17,
151282,66,"to tie up, fasten",dɔdɔɣɔ,tie,,,
151283,67,"to sew",susuki,sew,,"17, 48",
151284,69,"to hunt",hili,hunt,,12,
151285,71,"to stab, pierce",tɔɣu,stab,,,
151286,72,"to hit",pɔphɔma,"hit (stick)",,57,
151287,73,"to steal",blau,steal,,"1,11",
151288,74,"to kill",falelehe,kill,,16,
151289,75,"to die, be dead",lehe,die,,5,
151290,76,"to live, be alive",dɔli,alive,,9,
151291,76,"to live, be alive",dɔli,life,,9,
151292,77,"to scratch",ɣarɔ,scratch,,1,
151293,78,"to cut, hack","tɔka pusu","cut (string)",,27,
151294,78,"to cut, hack",tɔka,"cut (wood)",,27,
151295,78,"to cut, hack",hmega,"cut nut",,x,
151296,80,"to split",aʔahla,split,,14,
151297,81,sharp,fnɔnu,sharp,,75,
151298,82,"dull, blunt",pukha,blunt,,20,
151299,83,"to work",frihŋe,work,,40,
151300,87,"to swell",huge,swell,,38,
151301,88,"to squeeze",frɔʔɔ,squeeze,,1,
151302,89,"to hold",kikhina,hold,,73,
151303,90,"to dig",dɔkha,dig,,3,
151304,95,"to fall",khɔkɔ,fall,,64,
151305,96,dog,hmeke,dog,,65,
151306,97,bird,memeha,bird,,15,
151307,98,egg,kredi,egg,,13,
151308,99,feather,khala-na,feather,,9,
151309,100,wing,baɣi-na,wing,,16,
151310,101,"to fly",sisimi,"fly (insect!)",,x,
151311,101,"to fly",flalɔ,fly,,16,
151312,102,rat,kukudeʔeke,rat,,3,
151313,103,meat/flesh,fnahi-na,meat/flesh,,17,
151314,104,fat/grease,maruhu-na,fat/grease,,19,
151315,105,tail,seku-na,tail,,13,
151316,106,snake,hmɔgɔ,snake,,48,
151317,108,louse,gutu,louse,,1,
151318,109,mosquito,hnaŋɔ,mosquito,,49,
151319,110,spider,kakafre,spider,,13,
151320,111,fish,hmaʔari,fish,,,
151321,112,rotten,bɔʔe,rotten,,22,
151322,113,branch,hnɔbɔ,branch,,7,
151323,114,leaf,khala,leaf,,15,
151324,115,root,zagra,root,,2,
151325,116,flower,sisi,flower,,16,
151326,117,fruit,fuʔa,fruit,,1,
151327,118,grass,bubuʔrū,grass,,19,
151328,119,earth/soil,glɔse,earth,,43,
151329,120,stone,gahipa,stone,,18,
151330,121,sand,nahiɣa,sand,,57,
151331,122,water,khɔʔu,water,,7,
151332,123,"to flow",elo,flow,,44,
151333,124,sea,tahi,sea,,1,
151334,127,woods/forest,hmatha,bush,,25,
151335,128,sky,khɔʔlaŋa,sky,,1?,
151336,129,moon,glaba,moon,,27,
151337,130,star,tɔtɔfra,star,,34,
151338,131,cloud,khɔveɔ,cloud,,,
151339,132,fog,paparafu,fog,,,
151340,133,rain,nahani,rain,,26,
151341,134,thunder,gugulu,thunder,,2,
151342,135,lightning,kakafli,lightning,,13,
151343,136,wind,nute,wind,,69,
151344,138,warm,fɔʔbɔ,warm,,55,
151345,139,cold,reka,cold,,48,
151346,140,dry,kraŋɔ,dry,,1,
151347,141,wet,bɔse,wet,,55,
151348,142,heavy,tarihi,heavy,,13,
151349,143,fire,pipitɔ,fire,,,
151350,144,"to burn",hnubra,burn,,44,
151351,145,smoke,gagahu,smoke,,42,
151352,145,smoke,gufuale,smoke,,,
151353,146,ash,krɔfu,ashes,,25,
151354,147,black,sesepa,black,,51,
151355,148,white,veɣa,white,,19,
151356,149,red,ukru,red,,22,
151357,150,yellow,riza,yellow,,,
151358,152,small,ikia,small,,54,
151359,153,big,dɔʔu,big,,42,
151360,154,short,hnɔʔe,short,,17,
151361,155,long,brahu,long,,16,
151362,156,thin,glaʔa,thin,,30,
151363,157,thick,thuta,thick,,16,
151364,160,"painful, sick",fɔgra,sick,,19,
151365,162,old,thɔve,"old (thing)",,x,
151366,162,old,dɔʔu,"old (person)",,33,
151367,163,new,mazaɣani,new,,29,
151368,164,good,keli,good,,23,
151369,165,"bad, evil",diʔa,bad,,14,
151370,166,"correct, true",keli,correct,,51,
151371,166,"correct, true",pukuni,correct,,,
151372,167,night,hnapu,night,,45,
151373,168,day,hnagaʔe,day,,65,
151374,169,year,finɔɣa,year,,11,
151375,170,when?,nihaɔ,when?,,"1,24",
151376,173,at,sara,at,,53,
151377,174,"in, inside",gilu,in,,8,
151378,176,below,"ke pari",below,,14,
151379,177,this,ine,this,,1,
151380,179,near,nahnamɔ,near,,18,
151381,180,far,gaʔuai,far,,20,
151382,181,where?,hae,where?,,10,
151383,182,I,ara,"I (1sg)",,"1,24",
151394,183,thou,aɣɔ,"you (2sg)",,s,
151384,184,he/she,manei,he,,"1,8",
151385,184,he/she,nei,he,,"1,6",
151386,185,we,ɣepea,"we (1du.excl)",,13,
151387,185,we,ɣita,"we (1pl.incl)",,1,
151388,185,we,ɣai,"we (1pl.excl)",,13,
151389,185,we,"ɣita pea","we (1du.incl)",,1,
151390,186,you,ɣɔtilɔ,"you (2pl)",,"1,25,32",
151391,186,you,ɣɔpea,"you (2du)",,x,
151392,186,you,-mi,"your (2pl.poss)",,x,
151393,186,you,-mu,"your (2sg.poss)",,x,
151395,187,they,maneri,"they (3pl)",,7,
151396,187,they,"phea mane","they (3du)",,x,
151397,188,what?,heve,what?,,1,
151398,189,who?,hei,who?,,1,
151399,192,and,neu,and,,33,
151400,192,and,aɣe,and,,1,
151401,193,if,ne,if,,36,
151402,194,how?,hevela,how?,,16,
151403,195,"no, not",theo,no,,18,
151404,196,"to count",kakaha,count,,48,
151405,197,One,kaisa,one,,"32,49",
151406,198,Two,phea,two,,6,
151407,199,Three,thilɔ,three,,1,
151408,200,Four,fati,four,,"1,65",
151409,201,Five,glima,five,,1,
151410,202,Six,hnablɔ,six,,16,
