id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
583,"Arosi (Oneibia Village)","Tryon & Hackman (1983)",aia,aros1241,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-10.25000000000000000000,161.33333300000001031549
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
151830,1,hand,rima-na,arm,,1,
151831,2,left,manawi,"left; doesn't seem to show up outside of Arosi",,44,
151832,3,right,odo-na,right,,42,
151833,4,leg/foot,uwa-na,"leg; irregular *q > w; irregular *a > u",,101,
151834,5,"to walk",hahano,walk,,2,
151835,5,"to walk",dio,"; irregular *a > o",,,
151836,5,"to walk",hano,go,,2,
151837,5,"to walk",taheʔa,"go up",,,
151838,6,road/path,tara,road,,1,
151839,7,"to come",boi,"come; only found in Arosi",,19,
151840,8,"to turn",rihotaʔi,turn,,50,
151841,9,"to swim",mwāʔanu,"bathe; irregular *m > mw",,62,
151842,9,"to swim",oro,swim,,74,
151843,10,dirty,doʔoʔa,dirty,,83,
151844,11,dust,mamamo,dust,,,
151845,12,skin,ʔuriʔuri-na,skin,,1,
151846,13,back,suri-na,back,,78,
151847,14,belly,ahuna,belly,,30,
151848,15,bone,susuri-na,bone,,52,
151849,16,intestines,bwahuri-na,guts,,26,
151850,17,liver,rogo-na,liver,,25,
151851,18,breast,susu-na,breast,,1,
151852,20,"to know, be knowledgeable",ʔirarā,"know; irregular addition of reduplicated final syllable",,"18, 102",
151853,21,"to think",ʔadoʔado,think,,1,
151854,22,"to fear",mamaʔu,fear,,1,
151855,23,blood,ʔabu,blood,,5,
151856,24,head,bwau-na,head,,9,
151857,25,neck,ʔuʔu-na,neck,,97,
151858,26,hair,warihu,"hair (body); irregular *e > i",,54,
151859,27,nose,bwarisu,nose,,"1,12",
151860,28,"to breathe",manawa,breathe,,1,
151861,29,"to sniff, smell",siʔinia,smell,,12,
151862,30,mouth,ŋo-na,mouth,,80,
151863,31,tooth,riho-na,tooth,,"1,35",
