id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
588,"Lau (North)","Tryon & Hackman (1983)",llu,lauu1247,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern","Michael Dunn",,"@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-9.58333299999999965735,161.50000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
152845,1,hand,aba-na,arm,,2,
152846,2,left,mouli,"left; irregular reflex of *w",,"1,59",
152847,3,right,aolo,right,,10,
152848,4,leg/foot,ʔae-na,"leg; irregular *q > ʔ",,1,
152849,5,"to walk","lea i laŋi","go up",,,
152850,5,"to walk",lea,go,,139,
152851,5,"to walk",sifo,"go down",,,
152852,5,"to walk",fali,walk,,10,
152853,6,road/path,tala,road,,1,
152854,7,"to come","idu mai",come,,1,
152855,8,"to turn",abulo,turn,,32,
152856,9,"to swim",ʔaraŋa,swim,,48,
152857,9,"to swim",sisiu,bathe,,12,
152858,10,dirty,bilia,dirty,,13,
152859,11,dust,afufu,dust,,1,
152860,12,skin,uŋa-na,skin,,9,
152861,13,back,ogi-na,back,,30,
152862,14,belly,bɔerake-na,"belly; apparently morphologically complex",,16,
152863,15,bone,suli-na,bone,,52,
152864,15,bone,ɔgina,bone,,41,
152865,16,intestines,ɔga-na,guts,,16,
152866,17,liver,fula-na,liver,,,
152867,18,breast,susu-na,breast,,1,
152868,20,"to know, be knowledgeable",saitamana,"know; irregular *a > i",,"35, 88",
152869,21,"to think",manata,think,,15,
152870,22,"to fear",mou,fear,,1,
152871,23,blood,ʔabu-na,blood,,5,
152872,24,head,ketena,head,,32,
152873,24,head,gwou,head,,9,
152874,25,neck,lua-na,neck,,18,
152875,26,hair,ifu-na,"hair (body)",,13,
152876,27,nose,ŋɔŋɔra-na,nose,,61,
152877,28,"to breathe",maŋo,breathe,,47,
152878,29,"to sniff, smell",gasu,smell,,,
152879,29,"to sniff, smell",moko,smell,,13,
152880,30,mouth,faka-na,"mouth; irregular *o > a",,43,
152881,31,tooth,lifɔ-na,tooth,,"1,35",
152882,32,tongue,mea-na,tongue,,7,
152883,33,"to laugh",waela,laugh,,12,
152884,34,"to cry",āŋi,cry,,1,
152885,35,"to vomit",momoa,"vomit; irregular *u > o",,1,
152886,36,"to spit",ŋisu,spit,,"14, 58",
152887,37,"to eat",faŋa,eat,,"1,53",
152888,40,"to drink",gwou,"drink; irregular labialisation of initial C",,"30, 48",
152889,41,"to bite",ʔāle,bite,,1,
152890,42,"to suck",noto,suck,,"1, 28",
152891,43,ear,aliŋa-na,ear,,1,
152892,44,"to hear",roŋo,hear,,1,
152893,45,eye,mā-na,eye,,1,
152894,46,"to see",ada,see,,15,
152895,48,"to sleep",teo,sleep,,61,
152896,49,"to lie down",eno,"lie down",,1,
152897,51,"to sit",gwouru,sit,,24,
152898,52,"to stand",take,stand,,9,
152899,53,"person/human being",imola,person,,7,
152900,54,man/male,wane,man,,1,
152901,55,woman/female,geni,woman,,8,
152902,56,child,wela,child,,8,
152903,59,mother,tē,mother,,8,
152904,60,father,mā,father,,"1, 67",
152905,61,house,luma,house,,1,
152906,62,thatch/roof,ʔabesao,thatch,,1,
152907,63,name,sata-na,name,,"1,18",
152908,64,"to say",bae,say,,13,
152909,64,"to say",sae,say,,68,
152910,65,rope,oko,rope,,12,
152911,65,rope,dadalo,rope,,,
152912,65,rope,inali,"rope; irregular initial ni-",,"1, 52",
152913,66,"to tie up, fasten",kani,tie,,19,
152914,67,"to sew",taia,sew,,2,
152915,69,"to hunt",nani,hunt,,51,
152916,69,"to hunt",fakwasi,hunt,,15,
152917,71,"to stab, pierce",faŋainia,stab,,46,
152918,72,"to hit",rabu,"hit (stick)",,42,
152919,73,"to steal",beli,steal,,12,
152920,74,"to kill",sau,kill,,18,
152921,75,"to die, be dead",mae,die,,1,
152922,76,"to live, be alive",mouri,alive,,"1, 76",
152923,76,"to live, be alive",mouri,life,,"1, 76",
152924,77,"to scratch",gama,scratch,,14,
152925,78,"to cut, hack",ʔole,"cut (string)",,67,
152926,78,"to cut, hack",taba,"cut (wood)",,66,
152927,78,"to cut, hack",kinu,"cut nut",,X,
152928,80,"to split",fogā,split,,54,
152929,81,sharp,ʔala,sharp,,69,
152930,82,"dull, blunt",fō,blunt,,35,
152931,83,"to work",rao,work,,14,
152932,87,"to swell",ūbu,swell,,12,
152933,88,"to squeeze",losi,squeeze,,19,
152934,89,"to hold",dau,hold,,17,
152935,90,"to dig",ʔeli,dig,,1,
152936,95,"to fall",ʔasia,fall,,18,
152937,96,dog,kui,dog,,7,
152938,97,bird,manu,bird,,1,
152939,98,egg,falake-na,egg,,9,
152940,99,feather,ifu-na,feather,,7,
152941,100,wing,ʔaba-na,wing,,"1,12",
152942,101,"to fly",laŋɔ,"fly (insect!)",,x,
152943,101,"to fly",sisimi,fly,,x,
152944,101,"to fly",lofo,fly,,1,
152945,102,rat,ʔasufe,rat,,3,
152946,103,meat/flesh,marikɔ-na,meat/flesh,,52,
152947,104,fat/grease,ragufa-na,fat/grease,,17,
152948,105,tail,kikiu-na,tail,,"1, 58",
152949,106,snake,ŋwa,snake,,12,
152950,106,snake,lɔi,snake,,15,
152951,108,louse,lite,"louse egg",,x20,
152952,108,louse,ʔū,louse,,1,
152953,109,mosquito,furunamu,mosquito,,1,
152954,109,mosquito,kutaŋo,mosquito,,,
152955,110,spider,garo,spider,,11,
152956,111,fish,īa,fish,,1,
152957,112,rotten,fura,rotten,,18,
152958,112,rotten,dura,rotten,,75,
152959,113,branch,sasara,branch,,"1,17",
152960,114,leaf,ʔaba,leaf,,33,
152961,115,root,lali,root,,16,
152962,116,flower,tagāna,flower,,12,
152963,117,fruit,fufua,fruit,,1,
152964,118,grass,murua,grass,,,
152965,119,earth/soil,gano,earth,,52,
152966,120,stone,fou,"stone; irregular *a > o",,1,
152967,121,sand,one,sand,,1,
152968,122,water,kafo,water,,5,
152969,123,"to flow",igwa,flow,,34,
152970,124,sea,asi,sea,,1,
152971,127,woods/forest,kwaena,bush,,68,
152972,127,woods/forest,masū,bush,,21,
152973,128,sky,salo,sky,,13,
152974,129,moon,sinali,moon,,37,
152975,130,star,bubulu,star,,14,
152976,131,cloud,barobaro,cloud,,17,
152977,132,fog,dasa,fog,,44,
152978,133,rain,uta,rain,,1,
152979,134,thunder,kururu,thunder,,"2, 64",
152980,135,lightning,sinamāru,lightning,,49,
152981,136,wind,ōru,wind,,13,
152982,137,"to blow",ōru,blow,,58,
152983,137,"to blow",ufilia,blow,,4,
152984,138,warm,ʔagoʔago,warm,,13,
152985,139,cold,gwagwari,cold,,13,
152986,140,dry,lalaŋa,dry,,49,
152987,141,wet,gwini,wet,,46,
152988,142,heavy,gulu,heavy,,11,
152989,143,fire,ere,fire,,7,
152990,144,"to burn",sarufia,burn,,54,
152991,145,smoke,sasu,smoke,,2,
152992,146,ash,fua,ashes,,11,
152993,147,black,bora,black,,67,
152994,148,white,kwao,white,,16,
152995,149,red,kekero,red,,57,
152996,150,yellow,gogoa,yellow,,15,
152997,151,green,akasa,green,,54,
152998,151,green,maʔa,green,,,
152999,152,small,toʔou,small,,60,
153000,153,big,baita,big,,15,
153001,154,short,kukuru,short,,13,
153002,155,long,tekwa,long,,15,
153003,156,thin,rauraua,thin,,33,
153004,157,thick,ūbuūbua,thick,,12,
153005,160,"painful, sick",matai,sick,,1,
153006,162,old,kwali,"old (thing)",,x,
153007,162,old,waro,"old (person)",,12,
153008,163,new,falu,new,,1,
153009,164,good,diana,good,,66,
153010,165,"bad, evil",taʔa,bad,,1,
153011,166,"correct, true",tō,correct,,6,
153012,167,night,rodo,night,,11,
153013,168,day,dani,day,,6,
153014,169,year,ŋali,year,,55,
153015,169,year,falisi,year,,8,
153016,170,when?,maŋa,when?,,37,
153017,170,when?,kada,when?,,36,
153018,173,at,ana,at,,7,
153019,174,"in, inside",lalo,in,,1,
153020,176,below,fara,below,,58,
153021,177,this,na,this,,1,
153022,179,near,garaŋi,near,,"1, 75",
153023,180,far,tau,far,,1,
