id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
589,Manihiki,"Ross Clark, Mary Salisbury",rkh,raka1237,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic","Simon Greenhill",,"@misc{Clark-589-2008,  author = \"Ross Clark, Mary Salisbury\",  date = \"2008\",  howpublished = \"personal communication\"}"
latitude,longitude
-10.40000000000000035527,-161.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
153220,1,hand,rima,,,1,
153221,2,left,kaaui,"left (hand)",,"1,42",
153222,3,right,katau,"right (hand)",,"5, 40",
153448,4,leg/foot,vaevae,leg/foot,,"1, 100",
153449,4,leg/foot,vae,leg/foot,,"1, 100",
153450,4,leg/foot,waewae,leg/foot,,"1, 100",
153224,5,"to walk",haere,,,6,
153451,6,road/path,puruumu,"L from Tahitian",L,3,
153452,6,road/path,ara,,,1,
153453,7,"to come",aro,,,,
153454,7,"to come","haere mai",,,"1,42",
153455,7,"to come",romai,,,1,
153597,7,"to come","hano mai",,,"1,23",
153598,7,"to come","tau mai",,,"1, 44",
153599,7,"to come","nau mai",[honorific],,"1,43",
153227,8,"to turn",huri,"to turn (aside), turn around",,15,
153580,8,"to turn",(pa)pale,"to turn, divert (e.g. of canoe)",,11,
153611,8,"to turn",fakaninihi,"to turn from side to side, not go straight (of canoe)",,26,
153612,8,"to turn",(faka)ue,"to turn to the side",,27,
153456,9,"to swim",hopuhopu,swim,,,
153457,9,"to swim","hopu vai",bathe,,,
153458,9,"to swim",kaukau,swim,,5,
153229,10,dirty,parapara,,,7,
153615,10,dirty,lepo,"to defecate (arch)",,9,
153230,11,dust,puehu,,,"1, 74",
153459,12,skin,paakiri,skin/bark,,"1, 11",
153460,12,skin,kiri,skin/bark,,1,
153232,13,back,muri,"back, behind [not certain that this is 'back' as in bodypart -MW]",,3,
153610,13,back,tua,back,,11,
153233,14,belly,koopuu,,,2,
153608,14,belly,"manava nui",gluttonous,,9,
153234,15,bone,ivi,,,"52,5",
153235,16,intestines,ngaakau,,,12,
153236,17,liver,ate,,,1,
153605,18,breast,alo,"front",,43,
153606,18,breast,umauma,"chest, bosom",,7,
153607,18,breast,uu,"breast, milk, female",,1,
153596,19,shoulder,pakuivi,,,8,
153461,20,"to know, be knowledgeable",kite,"know facts",,12,
