id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
59,"Kei (Tanimbar-Kei)",Collins,kei,keii1239,"Tanimbar-Kei Dialect",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Southeast Maluku, Kei-Tanimbar, Kei-Fordata","Peng Du","Simon Greenhill","@misc{Collins-59-2005,  author = \"Collins\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-5.98610653670308323626,132.46919752853750651411
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
59,1,hand,limaŋ,,,"1,64",1
416,2,left,balit,,,7,
773,3,right,mel,,,29,
1130,4,leg/foot,yéaŋ,BTC,,1?,1?
1487,5,"to walk",mti,,,,
1844,6,road/path,ba,,,,
2201,7,"to come",n-ma,,,1,1?
2558,8,"to turn",futar,,L,1,
2915,9,"to swim",s|nan,,,"1,45",1?
3272,10,dirty,ŋurá,,,132,
3629,11,dust,haruβṿ,,,,
3986,12,skin,ili-n,,,1,1
4343,13,back,tetaŋ,,,,
4700,14,belly,oβóŋ,,,"2,57",
5057,15,bone,liriŋ,,,2?,
5414,16,intestines,tineaŋ,"cf 4 (n)",,1?,1?
5771,17,liver,yataŋ,(n),,1,1
89760,18,breast,susṿ,,,1,1
89761,18,breast,sus:,,,1,1
6485,19,shoulder,ŋaban,,,,
6842,20,"to know, be knowledgeable",[u]ká,,,,
7199,21,"to think",fikir,"loan of 22?",L,22,
7556,22,"to fear",bobar,,,3,
7913,23,blood,laraŋ,,,1,1
8270,24,head,uluŋ,,,1,1
8627,25,neck,relaŋ,,,121?,
8984,26,hair,muru,(n),,3,
9341,27,nose,nuruŋ,(n),,1,
9698,28,"to breathe","el na:m",,,1?,?
10055,29,"to sniff, smell",humak,,,,
10412,30,mouth,ŋor,,,2,
10769,31,tooth,nifaŋ,,,1,1
11126,32,tongue,eʔar,,,35,
11483,33,"to laugh",malit,,,3,
11840,34,"to cry",ron,,,,
12197,35,"to vomit",dolaŋ,,,,
12554,36,"to spit",ftuk,,,9,
12911,37,"to eat",ta|ʔan,,,1,1?
13625,39,"to cook",βak,,,,
13982,40,"to drink",t|en,,,1?,?
14339,41,"to bite",kik,,,1,
73625,42,"to suck",bu:k,,,67,
73626,42,"to suck",toʔ,,,,
15053,43,ear,aru,(n),,,
15410,44,"to hear",denar,,,1,1
15767,45,eye,mataŋ,,,1,1
16124,46,"to see",liʔik,,,,
16481,47,"to yawn",k|móa|t,,,19,1?
16838,48,"to sleep",tub,,,43,
17195,49,"to lie down","falo tetaŋ",,,,
17552,50,"to dream",mif,,,"1,37",1
17909,51,"to sit",duk,,,147,
18266,52,"to stand",dir[ṿ],,,1,1
18623,53,"person/human being",umat,,,"1,78?",1?
18980,54,man/male,bararán,,,1,?
19337,55,woman/female,βaβat,,,128,
19694,56,child,kakoʔ,,,,
20051,57,husband,hoaŋ,,,2?,1
20408,58,wife,hoaŋ,n,,1?,
20765,59,mother,r|ena|ŋ,n,,"1,79",1
21122,60,father,y|ama|ŋ,n,,1,1
21479,61,house,rahan,,,4?,
21836,62,thatch/roof,refat,,,9,
22193,63,name,memaŋ,n,,,
22550,64,"to say",[t]nar,,,,
22907,65,rope,warat,,,2,
23264,66,"to tie up, fasten",keat,,,120,
23621,67,"to sew",fhoar,,,10,
23978,68,needle,bilin,,,18,
24335,69,"to hunt",steʔe,,,,
24692,70,"to shoot",-fan,,,1,1
25049,71,"to stab, pierce",haʔa,,,,
25406,72,"to hit",baku,,,7,
25763,73,"to steal",bor,,,,
26120,74,"to kill",fedan,,,6,
26477,75,"to die, be dead",mat,,,1,1
26834,76,"to live, be alive",βat,,,,
27191,77,"to scratch",ker,,,49,
27548,78,"to cut, hack",hafat,,,,
27905,79,stick/wood,a,,,1,1
28262,80,"to split",kakṿ,,,,
75945,81,sharp,namneram,,,3,
75946,81,sharp,dadenek,,,,
