id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
591,"Tarangan Barat (Feruni)","Rick Nivens",txn,west2538,"All \"p\" in these data are allophones of the voiceless bilabial fricative phoneme /ɸ/, which occur in syllable-final position.All \"y\" in these data represent IPA [j] (palatal approximant).The \"ê\" is between [ɪ] and [e]; similarly the [ô] is between [ʊ] and [o]. These two phonemes are innovations due to assimilation to nearby high vowels (which were then lost).The \"ɛ\" here is phonetically between [e] and [ɛ], and the \"ɔ\" is between [o] and [ɔ].Acute accent here represents stress on final syllable of root.",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Aru","Rick Nivens",,"@misc{Nivens-591-2008,  author = \"Rick Nivens\",  date = \"2008\",  howpublished = \"personal communication\"}"
latitude,longitude
-6.50000000000000000000,134.16666699999998968451
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
154131,1,hand,lêmay,"/lêma+y/ hand/arm-3s (<*lima)",,"1,64",
154132,2,left,aŋaɸaŋaɸa,/DUP+aŋaɸa/,,3,
154133,3,right,alêmalêma,/DUP+alêma/,,2,
154134,4,leg/foot,abay,/aba+y/,,38,
154135,5,"to walk",ertêr,"/i+r+têr/  '3s-R-walk'",,73,
154136,6,road/path,ʤala,/yala/,,1,
154137,7,"to come",imá,/i+ma/,,1,
154139,9,"to swim",inɛŋ,"/i+nɛŋ/  (<*naŋi)",,"1,45",
154142,12,skin,kalay,/kala+y/,,"1,93",
154143,13,back,tilkɛy,/tilkɛy/,,4,
154144,14,belly,tubir,/tubar+i/,,3,
154145,15,bone,tul,,,"1,25",
154146,16,intestines,"tubir lɛsalɛsardi","/tubar+i # DUP+lɛsar+di/",,3,
154147,17,liver,ɔta,,,1,
154148,18,breast,bɔ,,,,
154149,19,shoulder,ɸɛra,,,1,
154150,20,"to know, be knowledgeable",ɛraka,/i+raka/,,47,
154152,22,"to fear",ibɛbar,/i+bɛbar/,,3,
154153,23,blood,gun,"/wun/  (<*wudu)",,57,
154154,24,head,ʤikalay,"/yikala+y/ (<*wul+i kala+y)",,1,
154155,25,neck,akil,/akal+i/,,119,
154156,26,hair,gul,"/wul/   (cf. \"head\")",,3?,
154157,27,nose,ʤurin,"/yuran+i/  'end; tip of nose -3s'",,1,
154158,28,"to breathe","nal ɸêt","/na+l ɸês/  '3s-take breath'",,,
154159,29,"to sniff, smell",ɛrɸɔw,/i+r+ɸɔw/,,71,
154160,30,mouth,ɸaɸay,/ɸaɸa+y/,,1,
154161,31,tooth,nin,(3s),,1,
154162,32,tongue,kabɛlir,/kabɛlar+i/,,8,
154163,33,"to laugh",imɛl,"/i+mɛl/  < *mali",,3,
