id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
592,"Palu'e (Nitung)","Donohue (fieldnotes)",ple,palu1252,"Nitung dialect, from the North-west","ə is an epenthetic, unstressed vowel that breaks up CC sequences; b' is a preglottalised, optionally imploded, usually voiced stop. Acute accents represent (predictable, from foot structure) primary stress, and grave accents show (predictable) secondary stress (regular right-aligned trochaic stress).","Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Bima-Sumba","Mark Donohue",,"@misc{Donohue-592-2009,  author = \"Mark Donohue\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.32877000000000045077,121.71810999999999580723
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
154433,1,hand,lima,,,"1,64",
154434,2,left,iri,,,1,
154435,3,right,phana,,,1,
154436,4,leg/foot,vaʔi,,,"1,100",
154437,5,"to walk",phana,,,2,
154438,6,road/path,lala,,,1,
154439,7,"to come",mai,,,1,
154440,8,"to turn",ŋgoe,,,,
154441,9,"to swim",naŋu,,,"1,45",
154442,10,dirty,raki,,,1,
154443,12,skin,loke,,,36,
154637,13,back,tola,,,,
154638,13,back,loʔu,,,6,
154639,13,back,eko,,,,
154445,14,belly,kədʒe,,,,
154446,15,bone,ludʒi,,,,
154447,16,intestines,taʔi,,,1,
154448,17,liver,ate,,,1,
154449,18,breast,tusu,,,1,
154450,19,shoulder,b'adʒu,"Not Malay borrowing for shirt?",,,
154451,20,"to know, be knowledgeable",tšuʔu,,,,
154452,21,"to think",nəra,,,,
154453,22,"to fear",təŋa,,,,
154454,23,blood,ladʒa,,,,
154455,24,head,taba,"ulu = classifier for humans",,,
154456,25,neck,təŋu,,,7,
154457,26,hair,lolo,,,,
154458,27,nose,ŋiru,,,1,
154459,29,"to sniff, smell",ŋuru,,,32,
154460,30,mouth,vəva,,,1,
154461,31,tooth,ŋiʔi,,,24,
154462,32,tongue,ləma,,,6,
154463,33,"to laugh",thava,,,1,
154464,34,"to cry",thaŋi,,,1,
154465,35,"to vomit",muta,,,1,
154466,36,"to spit",ŋiru,,,14,
154467,37,"to eat",kha,,,1,
154468,38,"to chew",mama,,,1,
154469,39,"to cook",pəsa,,,,
154470,40,"to drink",ninu,,,1,
154471,41,"to bite",ŋaʔo,,,,
154642,42,"to suck",musu,,,6,
154643,42,"to suck",moke,,,2,
154644,42,"to suck",moʔo,,,2?,
154473,43,ear,tilu,,,"1,4",
154474,44,"to hear",the,,,1?,
154475,45,eye,mata,,,1,
154647,46,"to see",lie,,,,
154648,46,"to see",phela,,,,
154477,47,"to yawn",ŋoa,,,19,
154478,48,"to sleep",thuli,,,1,
154479,49,"to lie down",thuli,,,,
154480,50,"to dream",nib'i,,,"1,60",
154481,51,"to sit",nodo,,,,
154482,52,"to stand",khəre,,,"1,5",
154483,53,"person/human being",ata,,,4,
154484,54,man/male,laki,,,2,
154485,55,woman/female,vai,,,1,
154486,56,child,ana,,,1,
154487,57,husband,laki,,,28,
154488,58,wife,vai,,,31,
154489,59,mother,ina,,,1,
154490,60,father,ama,,,1,
154491,61,house,nua,,,1,
154492,62,thatch/roof,ate,,,1,
154493,63,name,ŋara,,,1,
154494,64,"to say",tšib'o,,,,
154495,65,rope,tali,,,1,
154635,66,"to tie up, fasten",thike,,,116,
154636,66,"to tie up, fasten",nugu,,,,
154649,67,"to sew",teki,,,,
154650,67,"to sew",teʔi,,,,
154498,70,"to shoot",tšhub'e,,,,
154651,71,"to stab, pierce",su,,,1,
154652,71,"to stab, pierce",phadʒu,,,,
154500,72,"to hit",b'alu,,,1,
154501,73,"to steal",naka,,,"1,59",
154502,74,"to kill","phuna mata",,,1,
154503,75,"to die, be dead",mata,,,1,
154504,77,"to scratch",khadʒe,,,5,
154505,78,"to cut, hack",thika,,,,
154506,79,stick/wood,kadʒu,,,1,
154507,80,"to split",khəla,,,,
154508,81,sharp,leʔe,,,92,
154509,82,"dull, blunt",tubu,,,38,
154510,83,"to work",khuʔa,,,,
154511,84,"to plant",mula,,,1,
154512,85,"to choose",phili,,,1,
154513,86,"to grow",nuva,,,,
154653,87,"to swell",phadʒa,,,,
154654,87,"to swell",b'uka,,,34?,
154515,88,"to squeeze",phədʒa,,,1,
154516,89,"to hold",keve,,,,
154517,90,"to dig",khali,,,1,
154518,91,"to buy",phəta,,,59,
154655,92,"to open, uncover",tšhira,,,,
154656,92,"to open, uncover",liʔo,,,,
154520,93,"to pound, beat",phadʒu,,,1,
154645,94,"to throw",thəb'a,,,109,
154646,94,"to throw",leva,,,4,
154522,95,"to fall",oga,,,,
154523,96,dog,sau,,,1,
154524,97,bird,kolo,,,77,
154525,98,egg,təlo,,,1,
154526,99,feather,"kolo vulu-n",,,1,
154527,100,wing,laba,,,4,
154528,101,"to fly",lai,,,2,
154529,102,rat,teʔu,,,7,
154530,103,meat/flesh,i,,,,
154531,104,fat/grease,na,,,,
154532,105,tail,iʔo,,,1,
154533,106,snake,ulo,,,2,
154534,107,"worm (earthworm)","tana ana",,,,
154535,108,louse,kutu,,,1,
154536,109,mosquito,məni,,,,
154537,110,spider,karamboro,,,,
154538,111,fish,ika,,,1,
154539,113,branch,riʔi,,,,
154540,114,leaf,vunu,,,6,
154541,115,root,vaka,,,,
154542,116,flower,tšhoa,,,,
154543,118,grass,obo,,,,
