id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
601,"Lampung Api (Sukau)","Karl Anderback",ljp,lamp1243,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-5.00000000000000000000,105.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
158588,1,hand,culuʔ,,,46,
158589,4,leg/foot,cukut,,,29,
158590,5,"to walk",lɑpɑx,,,42,
158591,6,road/path,ɣɔlɑyɑ,,,1,
158592,7,"to come",ɣɑtɔŋ,,,14,
158593,8,"to turn",biluk,,,24,
158785,8,"to turn",putɑr,,,53,
158594,9,"to swim",lɑŋuy,,,1,
158595,10,dirty,kɑmɑʔ,,,35,
158596,11,dust,xɑɣbu,,,1,
158597,12,skin,bɑwɑʔ,,,18,
158598,14,belly,tənɑi,,,41,
158599,15,bone,təlɑn,,,1,
158600,16,intestines,isɑu,,,44,
158601,17,liver,hɑti,,,1,
158602,19,shoulder,lɑyɑŋ,,,44,
158603,22,"to fear",muɣɑbɑy,,,14,
158604,23,blood,ɣɑh,,,1,
158605,24,head,ulu,,,1,
158606,25,neck,gɑlɑh,,,33,
158607,26,hair,buoʔ,,,1,
158608,27,nose,iɣuŋ,,,1,
158609,28,"to breathe",muxəŋɑs,,,50,
158610,29,"to sniff, smell",imbɑu,,,36,
158611,30,mouth,bɑŋuʔ,,,16,
158612,31,tooth,ipon,,,1,
158613,31,tooth,ipɔn,,,1,
158614,32,tongue,mɑ,,,1,
158615,33,"to laugh",lɑlɑŋ,,,70,
158616,34,"to cry",miwɑŋ,,,9,
158617,35,"to vomit",mutɑh,,,1,
158618,36,"to spit",ŋelui,,,52,
158619,37,"to eat",məŋɑn,,,"1,14",
158620,38,"to chew",ŋəŋɑl,,,13,
158621,39,"to cook",mɑsɑk,,,19,
158622,40,"to drink",ŋinom,,,1,
158623,41,"to bite",ŋəɣox,,,1,
158624,42,"to suck",ŋisop,,,1,
158625,43,ear,cupiŋ,,,"15,51",
158626,44,"to hear",dəŋi,,,1,
158627,44,"to hear",dɛŋi,,,1,
158628,45,eye,mɑtɑ,,,1,
158629,46,"to see",ŋəliɑʔ,,,"19,23",
158630,47,"to yawn",muxuɑp,,,19,
158631,48,"to sleep",pədom,,,16,
158632,49,"to lie down",dɑduliʔ,,,53,
158633,50,"to dream",hɑnipi,,,1,
158634,51,"to sit",məjoŋ,,,28,
158635,52,"to stand",cəcoʔ,,,30,
158636,54,man/male,bɑkɑs,,,37,
158637,55,woman/female,bəbɑy,,,"1,105",
158638,56,child,sɑnɑʔ,,,1,
158639,58,wife,iŋgom,,,25,
158640,59,mother,mɑʔ,,,35,
158641,59,mother,inɑʔ,,,37,
158642,60,father,bɑʔ,,,13,
158643,61,house,lɑmbɑn,,,33,
158644,64,"to say",cɑwɑ,,,21,
158645,65,rope,tɑli,,,1,
158646,66,"to tie up, fasten",ŋikoʔ,,,1,
158647,67,"to sew",ɲəɣuʔ,,,45,
158648,68,needle,səɣoʔ,,,13,
158649,69,"to hunt",mɑsu,,,42,
158650,70,"to shoot",nimbɑʔ,,,49,
158651,71,"to stab, pierce",mɑgɑs,,,3,
158652,73,"to steal",ŋɑmɑliŋ,,,16,
158653,74,"to kill",kupɑtiko,,,15,
158654,75,"to die, be dead",mɑti,,,1,
158655,76,"to live, be alive",huɣiʔ,,,1,
158656,76,"to live, be alive",huɣi,,,1,
158657,77,"to scratch",kəkuy,,,19,
158658,78,"to cut, hack",pəlɔʔ,,,72,
158659,80,"to split",bəlɑh,,,1,
158660,81,sharp,tɑjom,,,1,
158661,82,"dull, blunt",kudul,,,80,
158662,83,"to work",bəguɑy,,,21,
158663,84,"to plant",tɑnom,,,2,
158664,85,"to choose",milɛh,,,1,
158665,87,"to swell",məgɑʔ,,,51,
158666,88,"to squeeze",ŋəcil,,,54,
158667,89,"to hold",ŋɑbəkom,,,66,
158668,90,"to dig",ŋɑgɑli,,,1,
158669,91,"to buy",ŋɑbəli,,,1,
158670,92,"to open, uncover",bukɑ,,,1,
158671,93,"to pound, beat",nutu,,,20,
158672,95,"to fall",tiɑʔ,,,66,
158673,96,dog,kɑcʰi,,,59,
158674,97,bird,buɣuŋ,,,17,
158675,97,bird,mɑnuʔ,,,1,
158676,98,egg,təlui,,,1,
158677,99,feather,bulu,,,1,
158678,100,wing,kəpi,,,52,
158679,101,"to fly",kɑmboɣ,,,52,
158680,102,rat,tikus,,,22,
158681,103,meat/flesh,dɑgiŋ,,,26,
158682,104,fat/grease,tɑbox,,,23,
158683,105,tail,gundɑŋ,,,48,
158684,106,snake,ulɑi,,,2,
158685,108,louse,kutu,,,1,
158686,109,mosquito,ɑgɑs,,,56,
158687,110,spider,lɑlɑwɑh,,,1,
158688,111,fish,iwɑ,,,25,
158689,112,rotten,busuk,,,56,
158690,113,branch,pɑmpɑŋ,,,"20,62",
158691,114,leaf,buluŋ,,,18,
158692,115,root,bɑkɑʔ,,,2,
158693,116,flower,kɑmbɑŋ,,,21,
158694,117,fruit,buɑh,,,1,
158695,117,fruit,wɑh,,,1,
158696,118,grass,jukuʔ,,,2,
158697,119,earth/soil,tɑno,,,1,
158698,120,stone,bɑtu,,,1,
158699,121,sand,həni,,,1,
158700,122,water,wɑy,,,2,
158701,123,"to flow",ŋəhili,,,56,
158702,124,sea,lɑwoʔ,,,6,
158703,125,salt,siyɑ,,,1,
158704,127,woods/forest,pulɑn,,,71,
158705,128,sky,lɑŋit̚,,,1,
158706,129,moon,bulɑn,,,1,
158707,130,star,bintɑŋ,,,43,
158708,131,cloud,hiɣuʔ,,,69,
158709,132,fog,kɑbut,,,1,
158710,133,rain,təɣɑy,,,35,
158711,134,thunder,guntoɣ,,,30,
158712,135,lightning,kilɑp,,,"1,88",
158713,136,wind,ɑŋin,,,1,
158714,137,"to blow",səbu,,,50,
158715,138,warm,pɑnɑs,,,1,
158716,139,cold,muŋiŋi,,,20,
158717,141,wet,bɑsoh,,,1,
158718,142,heavy,biɑʔ,,,1,
158719,143,fire,ɑpui,,,1,
158720,144,"to burn",suwɑh,,,64,
158721,145,smoke,ɑsoʔ,,,49,
158722,146,ash,hɑmbuɑ,,,36,
158723,147,black,ɑlom,,,55,
158724,148,white,ɑndɑʔ,,,25,
158725,149,red,suluh,,,61,
158726,150,yellow,kunjɛɣ,,,1,
158727,151,green,ujɑu,,,25,
158728,152,small,luniʔ,,,19,
158729,153,big,bɑlɑʔ,,,21,
158730,155,long,kəjuŋ,,,47,
158731,156,thin,nipis,,,1,
158732,158,narrow,pəliʔ,,,39,
158733,159,wide,bəɣɑʔ,,,50,
158734,160,"painful, sick",muɣuyuh,,,60,
158735,161,"shy, ashamed",muliom,,,40,
158736,162,old,tuhɑ,,,1,
158780,162,old,sɑkɑ,,,90,
158737,163,new,ɑmpɑy,,,17,
158738,164,good,həlɑu,,,82,
158739,165,"bad, evil",mejɑl,,,1,
158740,166,"correct, true",təmɔn,,,47,
158741,167,night,dəbiŋi,,,1,
158742,167,night,dibiŋi,,,1,
158743,168,day,rɑni,,,37,
158744,169,year,tɑhun,,,1,
158745,171,"to hide",səgoʔ,,,25,
158746,172,"to climb",cɑkɑʔ,,,59,
158747,173,at,di,,,20,
158748,174,"in, inside",dɪlom,,,1,
158749,175,above,dɑtɑs,,,1,
158750,176,below,dɪbɑh,,,1,
158751,177,this,ɪnji,,,1,
158752,178,that,sədi,,,21,
158753,179,near,ɣədiʔ,,,64,
158754,180,far,jɑwo,,,1,
158755,181,where?,dipɑ,,,9,
