id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
608,"Lampung Api (Sungkai)","Karl Anderback",ljp,lamp1243,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-4.63227999999999973113,104.45891000000000303771
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
158786,1,hand,puŋu,,,17,
158787,4,leg/foot,kukut,,,29,
158788,5,"to walk",lɑpɑh,,,42,
158789,6,road/path,rɑŋlɑyɑ,,,1,
158790,7,"to come",ʁɑtoŋ,,,14,
158791,9,"to swim",lɑŋui,,,1,
158792,10,dirty,kɑmɑʔ,,,35,
158793,12,skin,bɑwɑʔ,,,18,
158794,13,back,təkuyuŋ,,,41,
158795,14,belly,bətoŋ,,,29,
158796,15,bone,tuhlɑn,,,1,
158797,16,intestines,isɑu,,,44,
158798,17,liver,hɑti,,,1,
158799,18,breast,teteʔ,,,6,
158800,19,shoulder,pimpiŋ,,,16,
158801,22,"to fear",ʁɑbɑi,,,14,
158802,23,blood,ʁɑh,,,1,
158803,24,head,hulu,,,1,
158804,25,neck,gɑlɑh,,,33,
158805,26,hair,buoʔ,,,1,
158806,27,nose,iʁuŋ,,,1,
158807,28,"to breathe",məhɨŋɑs,,,50,
158808,29,"to sniff, smell",nɑmbɑu,,,36,
158809,30,mouth,bɑŋuʔ,,,16,
158810,31,tooth,ipon,,,1,
158811,32,tongue,m:ɑ,,,1,
158812,33,"to laugh",lɑlɑŋ,,,70,
158813,34,"to cry",miwɑŋ,,,9,
158814,35,"to vomit",mutɑh,,,1,
158815,36,"to spit",mələtok,,,41,
158816,37,"to eat",məŋɑn,,,"1,14",
158817,38,"to chew",ŋɑyil,,,13,
