id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
609,"Lampung Api (Pubian)","Karl Anderback",ljp,lamp1243,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-4.80079999999999973426,105.33908999999999878128
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
158006,1,hand,puŋu,,,17,
158007,4,leg/foot,kukut,,,29,
158008,5,"to walk",lɑpɑh,,,42,
158009,6,road/path,ʁɑŋlɑyɑ,,,1,
158010,7,"to come",ʁɑtoŋ,,,14,
158011,8,"to turn",bubiluk,,,24,
158012,9,"to swim",lɑŋui,,,1,
158013,10,dirty,kɑmɑh,,,35,
158014,12,skin,bɑwɑʔ,,,18,
158015,13,back,tundun,,,55,
158016,14,belly,bətoŋ,,,29,
158017,15,bone,tuhlɑn,,,1,
158018,16,intestines,isɑu,,,44,
158019,17,liver,hɑti,,,1,
158020,18,breast,m̩ɑh,,,36,
158021,19,shoulder,pimpiŋ,,,16,
158022,22,"to fear",ʁɑbɑi,,,14,
158023,23,blood,ʁɑh,,,1,
158024,24,head,hulu,,,1,
158025,25,neck,gɑlɑh,,,33,
158026,26,hair,buoʔ,,,1,
158027,27,nose,iʁuŋ,,,1,
158028,28,"to breathe",məhəŋɑs,,,50,
158029,29,"to sniff, smell",ŋəhunduŋ,,,34,
158030,30,mouth,bɑŋuʔ,,,16,
158031,31,tooth,ipon,,,1,
158032,32,tongue,mɑ,,,1,
158033,33,"to laugh",lɑlɑŋ,,,70,
158034,34,"to cry",miwɑŋ,,,9,
158035,35,"to vomit",mutɑh,,,1,
158036,36,"to spit",mələtoʔ,,,41,
158037,36,"to spit",ilui,,,52,
158038,37,"to eat",məŋɑn,,,"1,14",
158039,38,"to chew",məŋɑyil,,,13,
158040,39,"to cook",nɑsɑʔ,,,"45,19",
158041,40,"to drink",ŋinum,,,1,
158042,41,"to bite",ŋəgigiʔ,,,21,
158043,42,"to suck",ŋisop,,,1,
158044,43,ear,cupiŋ,,,"15,51",
158045,44,"to hear",nioŋ,,,23,
158046,45,eye,mɑtɑ,,,1,
158047,46,"to see",ninuʔ,,,65,
158048,47,"to yawn",muɑp,,,19,
158049,48,"to sleep",pədom,,,16,
158050,48,"to sleep",tuʁui,,,1,
158051,49,"to lie down",gɪnciŋ,,,55,
158052,50,"to dream",ŋəhipi,,,1,
158053,51,"to sit",məjoŋ,,,28,
158054,52,"to stand",cəcoʔ,,,30,
158055,52,"to stand",təməgi,,,14,
158056,54,man/male,ʁɑgɑh,,,43,
158057,55,woman/female,bɑi,,,1,
158058,56,child,ɑnɑʔ,,,1,
158059,57,husband,məŋiɑn,,,12,
158060,60,father,ɑbɑh,,,13,
158061,61,house,mɑhɑn,,,33,
158062,62,thatch/roof,hɑtoʔ,,,1,
158063,63,name,gəʁɑl,,,10,
158064,64,"to say",cɑwɑ,,,21,
158065,65,rope,tɑli,,,1,
158066,66,"to tie up, fasten",ŋikoʔ,,,1,
158067,67,"to sew",ɲəʁuʔ,,,45,
158068,68,needle,səʁoʔ,,,13,
158069,69,"to hunt",bərburu,,,23,
158070,70,"to shoot",nimbɑʔ,,,49,
158071,71,"to stab, pierce",mɑgɑs,,,3,
158072,72,"to hit",ŋəgɑdɑ,,,47,
158073,72,"to hit",ŋəgibuh,,,47,
158074,73,"to steal",ŋəmɑliŋ,,,16,
158075,74,"to kill",mɑtiko,,,15,
158076,75,"to die, be dead",mɑtiko,,,1,
158077,76,"to live, be alive",huʁiʔ,,,1,
158078,77,"to scratch",kəkuy,,,19,
158079,78,"to cut, hack",məloʔ,,,72,
158080,79,stick/wood,kɑyu,,,1,
158081,80,"to split",ŋəbəlɑh,,,1,
158082,81,sharp,tɑjom,,,1,
158083,82,"dull, blunt",kudul,,,80,
158084,84,"to plant",nɑnom,,,2,
158085,85,"to choose",məmilih,,,1,
158086,86,"to grow",tuwoh,,,"1,25",
158087,87,"to swell",bɑyoh,,,1,
158088,88,"to squeeze",məʁos,,,42,
158089,89,"to hold",ŋəbəkom,,,66,
158090,90,"to dig",ŋɑli,,,1,
158091,91,"to buy",ŋəbəli,,,1,
158092,92,"to open, uncover",ŋəbukɑʔ,,,1,
158093,94,"to throw",ɲitɑŋ,,,56,
158094,95,"to fall",tiɑʔ,,,66,
158095,96,dog,ɑsu,,,1,
158096,97,bird,məmɑnuʔ,,,1,
158097,98,egg,tɑhlui,,,1,
158098,99,feather,bulu,,,1,
158099,100,wing,kəpi,,,52,
158100,101,"to fly",təhɑmboχ,,,18,
158101,102,rat,tikus,,,22,
158102,103,meat/flesh,dɑgiŋ,,,26,
158103,104,fat/grease,tətɑboh,,,23,
158104,105,tail,gundɑŋ,,,48,
158105,106,snake,ulɑi,,,2,
158106,107,"worm (earthworm)",gəloŋ,,,15,
158107,108,louse,kutu,,,1,
158108,109,mosquito,ɑgɑs,,,56,
158109,110,spider,lɑwɑh,,,1,
158110,111,fish,iwɑ,,,25,
158111,112,rotten,busuʔ,,,56,
158112,114,leaf,buluŋ,,,18,
158113,115,root,bɑkɑʔ,,,2,
158114,116,flower,kumbɑŋ,,,21,
158115,117,fruit,buɑh,,,1,
158116,118,grass,jukuʔ,,,2,
158117,119,earth/soil,tɑnoh,,,1,
158118,120,stone,bɑtu,,,1,
158119,121,sand,hən:i,,,1,
158120,122,water,wɑi,,,2,
158121,123,"to flow",məhili,,,56,
158122,124,sea,lɑwoʔ,,,6,
158123,125,salt,uyɑh,,,15,
158124,126,lake,dɑnɑu,,,1,
158125,127,woods/forest,pulɑn,,,71,
158126,128,sky,lɑŋiʔ,,,1,
158127,129,moon,kənɑwɑt,,,41,
158128,130,star,bintohan,,,1,
158129,131,cloud,hir:uʔ,,,69,
158130,132,fog,kɑbut,,,1,
158131,133,rain,hujɑn,,,1,
158132,134,thunder,gunto,,,30,
158133,135,lightning,kilɑp,,,"1,88",
158134,136,wind,ɑŋin,,,1,
158135,137,"to blow",ɲəb:u,,,50,
158136,138,warm,pɑnɑs,,,1,
158137,139,cold,ŋison,,,20,
158138,140,dry,ŋəluh,,,63,
158139,141,wet,bɑsoh,,,1,
158140,142,heavy,biɑʔ,,,1,
158141,143,fire,ɑpui,,,1,
158142,144,"to burn",ɲuɑh,,,64,
158143,145,smoke,ɑsoʔ,,,49,
158144,146,ash,hɑbu,,,1,
158145,147,black,hɑlom,,,55,
158146,148,white,hɑndɑʔ,,,25,
158147,149,red,suluh,,,61,
158148,151,green,hujɑu,,,25,
158149,152,small,luniʔ,,,19,
158150,153,big,bɑlɑk,,,21,
158151,154,short,buntɑʔ,,,35,
158152,155,long,tijɑŋ,,,102,
158153,156,thin,nipis,,,1,
158154,157,thick,kədol,,,45,
158155,158,narrow,pəliʔ,,,39,
158156,159,wide,bəʁɑʔ,,,50,
158157,160,"painful, sick",sɑkiʔ,,,1,
158158,161,"shy, ashamed",liom,,,40,
158159,162,old,tuhɑ,,,1,
158160,163,new,ɑmpɑi,,,17,
158161,164,good,bətiʔ,,,81,
158162,164,good,həlɑu,,,82,
158163,165,"bad, evil",jɑhɑt,,,1,
158164,166,"correct, true",bənoʔ,,,1,
158165,167,night,dəbiŋi,,,1,
158166,168,day,ʁɑni,,,37,
158167,169,year,tɑhun,,,1,
158168,171,"to hide",bəjɑmuʔ,,,24,
158169,172,"to climb",cɑkɑʔ,,,59,
158170,173,at,di,,,20,
158171,174,"in, inside",dilom,,,1,
158172,175,above,di,,,,
158173,176,below,di,,,,
158174,177,this,hiji,,,1,
158175,178,that,hudi,,,21,
158176,179,near,ʁidiʔ,,,64,
158177,180,far,jɑwoh,,,1,
158178,181,where?,dipɑ,,,9,
158179,182,I,ɲɑʔ,,,7,
158180,183,thou,niku,,,1,
158181,184,he/she,iɑ,,,1,
158182,185,we,hikɑm,,,"2,65",
158183,186,you,kuti,,,34,
158184,187,they,tiɑn,,,11,
158185,188,what?,ɑpi,,,1,
158186,189,who?,sɑpɑ,,,12,
158187,191,all,uɲin,,,22,
158188,193,if,kɑntu,,,87,
158189,193,if,lɑmon,,,10,
158190,194,how?,gəgohpɑ,,,20,
158191,195,"no, not",mawat,,,48,
158192,197,One,sɑi,,,"1,61",
158193,198,Two,ʁuɑ,,,1,
158194,199,Three,təlu,,,1,
158195,200,Four,pɑʔ,,,1,
