id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
614,"Lampung Nyo (Abung/Sukadana)","Karl Anderback",abl,lamp1242,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-4.43956999999999979423,105.39651999999999532065
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
158390,1,hand,puŋə̯̃õ,,,17,
158391,5,"to walk",lɑpɑh,,,42,
158392,6,road/path,ʁɑŋlɑyo,,,1,
158393,7,"to come",məgəʁ,,,27,
158587,8,"to turn",butoʁ,,,53,
158394,9,"to swim",nɑŋʊy,,,1,
158395,10,dirty,kɑmɑh,,,35,
158396,12,skin,bɑbɑʔ,,,18,
158397,13,back,təkuyuŋ,,,41,
158398,14,belly,bɘt:əŋ,,,29,
158399,14,belly,tənəhə̃y,,,41,
158400,15,bone,bɑluŋ,,,17,
158401,17,liver,ɑtəy,,,1,
158402,18,breast,susə̯o,,,1,
158403,19,shoulder,pup:ɪŋ,,,16,
158404,22,"to fear",ʁɑbɑy,,,14,
158405,23,blood,ʁɑh,,,1,
158406,24,head,ulə̯o,,,1,
158407,25,neck,gɑlɑh,,,33,
158408,26,hair,buwɑʔ,,,1,
158409,27,nose,iʁuŋ,,,1,
158410,29,"to sniff, smell",ŋɑmbɑw,,,36,
158411,30,mouth,ʁɑŋə̯ɔ,,,16,
158412,31,tooth,kədiə̯s,,,26,
158413,32,tongue,mə̯̃ɔ̃,,,1,
158414,33,"to laugh",mɑ̃h:ɑ̃͡õ,,,23,
158415,34,"to cry",mĩwɑ̃ŋ,,,9,
158416,35,"to vomit",mũtɑ̃h,,,1,
158417,36,"to spit",utəp,,,41,
158418,37,"to eat",məŋɑ̃n,,,"1,14",
158419,38,"to chew",ŋɑyəl,,,13,
158420,39,"to cook",mɑjɑʔ,,,19,
158421,39,"to cook",ŋəkʊʔ,,,59,
158422,40,"to drink",ŋĩnum,,,1,
158423,41,"to bite",gigiə̯ʔ,,,21,
158424,41,"to bite",kəʁɑh,,,1,
158425,42,"to suck",isəp,,,1,
158426,43,ear,cupiə̯ŋ,,,"15,51",
158427,44,"to hear",dəŋəy,,,1,
158428,45,eye,mɑtə̯ɔ,,,1,
158429,46,"to see",ninʊʔ,,,65,
158430,47,"to yawn",məhɑwɑp,,,19,
158431,48,"to sleep",pəd:əm,,,16,
158432,48,"to sleep",tuʁʊy,,,1,
158433,50,"to dream",ŋĩpə̯̃y,,,1,
158434,51,"to sit",məjəŋ,,,28,
158435,52,"to stand",minjɑʔ,,,38,
158436,52,"to stand",təməgəy,,,14,
158437,54,man/male,ɾɑgɑh,,,43,
158438,55,woman/female,sə̯bɑy,,,"1,108",
158439,56,child,ɑnɑʔ,,,1,
158440,57,husband,mə̃ʁĩɑn,,,12,
158441,58,wife,mɑjə̯o,,,7,
158442,59,mother,m:ɑʔ,,,35,
158443,60,father,bɑpɑʔ,,,5,
158444,61,house,nũə̯̃ɔ̃,,,22,
