id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
615,"Lampung Nyo (Abung/Kotabumi)","Karl Anderback",abl,lamp1242,"Anderback, K. (manuscript). An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary. SIL International.",,"Austronesian, Malayo-Polynesian, Lampung","Simon Greenhill",,"@incollection{anderback2006,  date      = {2006-01-17},  title     = {An Initial Reconstruction of Proto-Lampungic: Phonology and Basic Vocabulary},  booktitle = {Tenth International Conference on Austronesian Linguistics},  url       = {http://www.sil.org/asia/philippines/ical/papers.html},  source    = {Puerto Princesa City},  type      = {Paper presented},  address   = {Palawan, Philippines},  author    = {Anderback, Karl}}"
latitude,longitude
-4.43956999999999979423,105.39651999999999532065
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
157243,1,hand,puŋə̯o,,,17,
159828,2,left,kirei,,,"1,42",
245838,3,right,kanan,,,"1,73",
245837,4,leg/foot,caluk,,,,
157244,5,"to walk",lɑpɑh,,,42,
157245,6,road/path,ʁɑŋlɑyo,,,1,
157246,7,"to come",məgəʁ,,,27,
157247,8,"to turn",ɲipɑŋ,,,81,
157248,9,"to swim",nɑŋʊy,,,1,
157249,10,dirty,kɑmɑh,,,35,
157250,12,skin,bɑbɑʔ,,,18,
157251,12,skin,kuliʔ,,,1,
157252,13,back,tundun,,,55,
157253,14,belly,bət:əŋ,,,29,
157254,14,belly,tənəh:ɑy,,,41,
157255,15,bone,bɑluŋ,,,17,
157256,15,bone,tul:ɑn,,,1,
157257,17,liver,ɑtəy,,,1,
157258,18,breast,susu,,,1,
157259,19,shoulder,pup:ɪŋ,,,16,
157260,22,"to fear",ʁɑbɑy,,,14,
157261,23,blood,ʁɑh,,,1,
157262,24,head,ulə̯o,,,1,
157263,25,neck,gɑlɑh,,,33,
157264,26,hair,buɑʔ,,,1,
157265,27,nose,iʁuŋ,,,1,
157266,29,"to sniff, smell",ɑmbɑw,,,36,
157267,30,mouth,gɑŋõ,,,16,
157268,31,tooth,kədiə̯s,,,26,
157269,33,"to laugh",mɑ̃h:ə̃õ,,,23,
157270,34,"to cry",mĩwɑ̃ŋ,,,9,
157271,35,"to vomit",mũtɑh,,,1,
157272,36,"to spit",ŋutəp,,,41,
157273,37,"to eat",məŋɑn,,,"1,14",
157274,38,"to chew",ŋɑyəl,,,13,
157275,39,"to cook",mɑsɑʔ,,,19,
157276,39,"to cook",nɑsɑʔ,,,"45,19",
157277,40,"to drink",ŋinum,,,1,
157278,41,"to bite",gigiə̯ʔ,,,21,
157279,41,"to bite",kəʁoh,,,1,
157280,42,"to suck",isəp,,,1,
157281,43,ear,cupiə̯ŋ,,,"15,51",
157282,44,"to hear",dɘŋɘy,,,1,
157283,45,eye,mɑtɔ,,,1,
157284,46,"to see",ninuʔ,,,65,
157285,46,"to see",ŋənɑh,,,64,
157286,47,"to yawn",mɑh:wɑp,,,19,
157287,48,"to sleep",pəd:əm,,,16,
157288,48,"to sleep",tuʁʊy,,,1,
245836,49,"to lie down",turuy,,,,
157289,50,"to dream",ŋipɘy,,,1,
157290,51,"to sit",məj:əŋ,,,28,
157291,52,"to stand",minjɑʔ,,,38,
157292,52,"to stand",təməgɘy,,,14,
157293,54,man/male,rɑgɑh,,,43,
157294,55,woman/female,səbɑy,,,"1,108",
157295,56,child,ɑnɑʔ,,,1,
157296,57,husband,məŋĩɑn,,,12,
157297,58,wife,mɑjə̯o,,,7,
157298,59,mother,m̯mɑʔ,,,35,
157299,61,house,nũə̯ɔ̝̃,,,22,
157300,62,thatch/roof,pɑk:ʊl,,,48,
157301,64,"to say",cɑwo,,,21,
157302,65,rope,tɑlɘy,,,1,
157303,66,"to tie up, fasten",ŋikəʔ,,,1,
157304,68,needle,sɘʁəʔ,,,13,
157305,69,"to hunt",ŋəbuɾə̯o,,,23,
157306,70,"to shoot",nimbɑk,,,49,
