id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
621,"Bajo (Kayuadi)","Summary of Bajau Lexicostatistics Project (through October 1989)",bdl,indo1317,,,"Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Sulu-Borneo, Borneo Coast Bajaw","Simon Greenhill",,"@article{75297,  journal    = {SIL Electronic Survey Reports},  pages      = {104},  title      = {Summary of Bajau lexicostatistics project (through October 1989)},  url        = {http://www.sil.org/silesr/abstract.asp?ref=2005-003},  volume     = {2005-003},  year       = {2005},  bibtexkey  = {youngman_bajau-october2005},  country    = {Indonesia [ID]},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {45197},  src        = {sil16},  srctrickle = {sil16#45197},  subject    = {Lexicostatistics [LXS], Word lists [WOL]},  author     = {Youngman, Scott}}"
latitude,longitude
-6.77371623875349992971,120.78369140625000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
162548,1,hand,taŋan,,,18,
160220,2,left,kidal,,,56,
160221,3,right,kanaŋ,,,"1,73",
160222,4,leg/foot,naiʔ,,,91,
160223,5,"to walk",numalaŋ,,,21,
160224,6,road/path,lalaŋ,,,1,
160225,7,"to come",tikka,,,17,
160226,8,"to turn",paleŋkoʔ,,,,
160227,9,"to swim",rumaŋe,,,1,
160228,10,dirty,marotaʔ,,,24,
160229,11,dust,limpurah,,,,
160230,12,skin,kuleʔ,,,1,
160231,13,back,bukoʔ,,,,
160232,15,bone,bakas,,,,
160233,16,intestines,tubboʔ,,,,
160234,17,liver,ˈatay,,,,
160235,18,breast,karikka,,,1,
160236,18,breast,susu,,,1,
160237,18,breast,bittah,,,1,
160238,19,shoulder,baʔa,,,,
160239,20,"to know, be knowledgeable",ŋatonaŋ,"a thing",,,
160240,20,"to know, be knowledgeable",katonaŋku,"a person",,,
160241,21,"to think",pikker,,L,22,
160242,22,"to fear",ˈtalaw,,,,
160243,23,blood,lahaʔ,,,1,
160244,24,head,tiʔkolo,,,,
160245,25,neck,kulloh,,,76,
160246,26,hair,bulu,"body hair",,31,
160247,26,hair,"bulu tiʔkolo","(of the head)",,31,
160248,27,nose,uroh,,,1,
160249,28,"to breathe",nappas,,L,29,
160250,29,"to sniff, smell",ŋuroʔ,,,120,
160251,30,mouth,boaʔ,,,,
160252,31,tooth,gigi,,,17,
160253,32,tongue,dellaʔ,,,4,
160254,33,"to laugh",tottoa,,,,
160255,34,"to cry",naŋes,,,1,
160256,35,"to vomit",ŋutaʔ,,,1,
160257,36,"to spit",ruʤaʔ,,,,
160258,37,"to eat",ŋintaʔ,,,23,
160259,38,"to chew",mapaʔ,,,30,
160260,38,"to chew","ŋinta pinah",(betel),,70,
160261,39,"to cook",milla,,,,
160262,40,"to drink",ŋinoŋ,,,,
160263,41,"to bite",ŋekeʔ,,,20,
160264,42,"to suck",ŋisaʔ,,,1,
160265,44,"to hear",makali,,,,
160266,45,eye,mata,,,1,
160267,46,"to see",ŋita,,,1,
160268,47,"to yawn",ŋoaʔ,,,19,
160269,48,"to sleep",tidor,,,"1,70",
160270,49,"to lie down",paleaʔ,,,,
160271,50,"to dream",ŋuppi,,,,
160272,51,"to sit",niŋkoloʔ,,,,
160273,52,"to stand",niŋge,,,,
160274,53,"person/human being",munusia,,L,,
160275,54,man/male,lilla,,,,
160276,55,woman/female,dinda,,,31,
160277,56,child,anaʔ,,,1,
160278,57,husband,illa,,,,
160279,58,wife,inda,,,,
160280,59,mother,ˈmmaʔ,,,,
160281,60,father,uaʔ,,,,
160282,61,house,rumaʔ,,,1,
160283,62,thatch/roof,doda,,,,
160284,63,name,araŋ,,,,
160285,64,"to say",baraʔannu,,,,
160286,65,rope,iŋkaʔ,,,,
160287,66,"to tie up, fasten",niŋkataŋ,,,,
160288,67,"to sew",ŋarˈaiʔ,,,,
160289,68,needle,daroŋ,,,,
160290,69,"to hunt",ŋilleʔ,,,,
160291,70,"to shoot",manaʔ,,,,
160292,71,"to stab, pierce",nubbaʔ,,,,
160293,72,"to hit",ɲantaʔ,,,,
160294,72,"to hit",ŋadu,,,,
160295,73,"to steal",ŋaŋkaw,,,,
160296,74,"to kill",monoʔ,,,,
160297,75,"to die, be dead",ˈmatay,,,,
160298,76,"to live, be alive",ulloŋ,,,,
160299,76,"to live, be alive",tambaŋ,live/dwell,,,
160300,77,"to scratch",kaˈkayaw,,,,
160301,78,"to cut, hack","ŋappo kaʤu",,,,
160302,79,stick/wood,kayu,wood,,1,
160303,80,"to split","milaʔ kaʤu",,,1,
160304,81,sharp,taraŋ,,,1,
160305,82,"dull, blunt",tompol,,,3,
160306,83,"to work",ŋaɲʤama,,,,
160307,84,"to plant",tanaŋ,,,"2,77",
160308,86,"to grow",timboh,,,,
160309,87,"to swell",bahaʔ,,,1,
160310,88,"to squeeze",pirraʔ,,,,
160311,89,"to hold",naga,,,,
160312,90,"to dig",ŋali,,,1,
160313,91,"to buy",milli,,,,
160314,92,"to open, uncover",muka,,,1,
160315,93,"to pound, beat",nutoʔ,,,58,
160316,94,"to throw",ŋadaʔ,,,,
160317,95,"to fall",ʧappaʔ,,,135,
160318,96,dog,asu,,,1,
160319,97,bird,mamanõʔ,,,,
