id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
632,"Bajo (Luwuk)","Summary of Bajau Lexicostatistics Project (through October 1989)",bdl,indo1317,,,"Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Sulu-Borneo, Borneo Coast Bajaw","Simon Greenhill",,"@article{75297,  journal    = {SIL Electronic Survey Reports},  pages      = {104},  title      = {Summary of Bajau lexicostatistics project (through October 1989)},  url        = {http://www.sil.org/silesr/abstract.asp?ref=2005-003},  volume     = {2005-003},  year       = {2005},  bibtexkey  = {youngman_bajau-october2005},  country    = {Indonesia [ID]},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {45197},  src        = {sil16},  srctrickle = {sil16#45197},  subject    = {Lexicostatistics [LXS], Word lists [WOL]},  author     = {Youngman, Scott}}"
latitude,longitude
-1.09856549604066477954,122.60742187500000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
162559,1,hand,taŋan,,,18,
162094,4,leg/foot,nai,,,91,
162095,5,"to walk",dumalaŋ,,,21,
162096,6,road/path,lalaŋ,,,1,
162097,7,"to come",tikka,,,17,
162098,9,"to swim",rumani,,,1,
162099,12,skin,kulik,,,1,
162100,15,bone,bakas,,,,
162101,17,liver,atai,,,1,
162102,18,breast,susu,,,1,
162103,18,breast,bittah,,,1,
162104,20,"to know, be knowledgeable",takatonaŋ,"a thing",,,
162105,23,blood,laha,,,1,
162106,24,head,tikoloʔ,,,,
162107,25,neck,kulloh,,,76,
162108,26,hair,"bulu tikoloʔ","(of the head)",,31,
162109,27,nose,uroh,,,1,
162110,30,mouth,boaʔ,,,,
162111,31,tooth,gigi,,,17,
162112,32,tongue,della,,,4,
162113,37,"to eat",ŋinta,,,23,
162114,40,"to drink",ŋinuŋ,,,,
162115,41,"to bite",kekek,,,20,
162116,44,"to hear",takale,,,,
162117,45,eye,mata,,,1,
162118,46,"to see",ŋita,,,1,
162119,48,"to sleep",tidor,,,"1,70",
162120,49,"to lie down",paleak,,,,
162121,51,"to sit",niŋkolo,,,,
162122,52,"to stand",niŋe,,,,
162123,53,"person/human being",manusia,,L,,
162124,54,man/male,lilla,,,,
162125,55,woman/female,dinda,,,31,
162126,63,name,araŋ,,,,
162127,64,"to say",baoŋ,,,,
162128,74,"to kill",mapatai,,,,
162129,75,"to die, be dead",matai,,,1,
162130,96,dog,asu,,,1,
162131,97,bird,mamanok,,,1,
162132,98,egg,antillo,,,,
162133,99,feather,bulu,,,1,
162134,101,"to fly",lumeah,,,,
162135,103,meat/flesh,isi,,,31,
162136,104,fat/grease,lumma,,,,
162137,105,tail,eŋko,,,1,
162138,108,louse,kutu,(head),,1,
162139,111,fish,dayah,,,,
162140,114,leaf,daoŋ,,,1,
162141,115,root,uragak,,,,
162142,119,earth/soil,tanaʔ,,,1,
162143,120,stone,batu,,,1,
162144,121,sand,gusoh,,,,
162145,122,water,boe,,,,
162146,129,moon,bulaŋ,,,1,
162147,130,star,mamau,,,,
162148,131,cloud,taisaŋai,,,,
162149,133,rain,uraŋ,,,1,
162150,139,cold,ʤarinni,,,,
162151,140,dry,tohoʔ,,,75,
162152,143,fire,api,,,1,
162153,144,"to burn",tunu,,,1,
162154,145,smoke,umbu,,,34,
162155,146,ash,abu,,,1,
162156,147,black,loʔoŋ,,,,
162157,148,white,pote,,,1,
162158,149,red,mira,,,,
162159,150,yellow,kuneh,,,,
162160,151,green,ɲuloh,,,,
162161,152,small,didikki,,,138,
162162,153,big,basar,,,28,
162163,155,long,taha,,,28,
162164,163,new,babau,,,,
162165,164,good,alaʔ,,,36,
162166,167,night,saŋaŋ,,,,
162167,177,this,kayya,,,,
162168,178,that,iru,,,,
162169,182,I,aku,,,1,
162171,183,thou,kau,(fam.),,,
162170,185,we,kita,incl.,,1,
162172,188,what?,ai,,,,
162173,189,who?,sai,,,1,
162174,191,all,mememoŋ,,,,
162175,195,"no, not",ŋgai,,,,
162176,197,One,dakau,,,,
162177,198,Two,dua,,,1,
