id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
637,"Papora Ts82","Tsuchida (1982)",ppu,papo1239,"Tsuchida, S. (1982) A Comparative Vocabulary of Austronesian Languages of Sinicized Ethnic Groups in Taiwan, Part I: Western Taiwan. Memoirs of the Faculty of Letters, No. 7, University of Tokyo. Tokyo, Japan.NOTE: (1-1) etc refers to village.",,"Austronesian, Western Plains, Central Western Plains","Roland Rehm",,"@book{306286,  address    = {Tokyo},  pages      = {166},  publisher  = {University of Tokyo},  series     = {Memoirs of the Faculty of Letters},  title      = {A Comparative Vocabulary of Austronesian Languages of Sinicized Ethnic Groups in Taiwan, Part I: Western Taiwan},  volume     = {7},  year       = {1982},  bibtexkey  = {tsuchida_sinicized-taiwan1982},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  src        = {hh},  srctrickle = {hh#hv:Tsuchida:Western-Taiwan},  author     = {Tsuchida, Shigeru}}"
latitude,longitude
24.32397999999999882448,120.57693999999999334705
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
163647,1,hand,rima,"(1-1, 1-2, 2, 4)",,"1,64",
163648,1,hand,rimá:,(1-4),,"1,64",
163649,1,hand,rimaa,(1-6),,"1,64",
163650,1,hand,lima,"(1-3, 3)",,"1,64",
163651,1,hand,dima,(1-5),,"1,64",
163672,2,left,"mudu a lima","(1-3), Lit. \"big hand\"",,,
163673,2,left,ainuat,(1-5),,,
163770,3,right,"mačičia lima","(1-3), Lit., \"small hand\"",,,
163771,3,right,aili,"(1-5) this looks like it is actually the word for \"left\"",,,
163674,4,leg/foot,kapulu,"(1-1, 2 ,3)",,74,
163675,4,leg/foot,kapurú,(1-2),,74,
165755,4,leg/foot,kapuru,(1-5),,74,
163677,4,leg/foot,qapuru,(1-3),,74,
163678,4,leg/foot,kapudú:,(1-4),,74,
163679,4,leg/foot,kopulun,(1-6),,74,
165756,4,leg/foot,kapulu,(1-5),,74,
163882,5,"to walk",dumoa,(1-3),,53,
163883,5,"to walk",bunmoa,(1-5),,53,
163772,6,road/path,dadán,(1-3),,1,
163832,7,"to come",mali,"(1-3, 1-5)",,49,
163833,7,"to come",mare,"(1-1, 2)",,49,
163834,7,"to come",zamari,(2),,49,
163835,7,"to come",aro,"(1-1), \"Come here!\"",,8,
163836,7,"to come",aró:,"(1-4), \"Come here!\"",,8,
163837,7,"to come",suaró:,"(1-4), \"Everybody, come!\"",,8,
163791,12,skin,yabun,(1-3),,,
163535,13,back,rahā,"(1-1, 2)",,73,
163536,13,back,raha,(1-2),,73,
163537,13,back,lahá,(1-3),,73,
163538,13,back,patšá:ʔ,(1-4),,,
163543,14,belly,ginū,(1-1),,70,
163544,14,belly,ginu,"(1-2, 1-3)",,70,
163545,14,belly,ginō,(2),,70,
163546,14,belly,ginnu,(1-5),,70,
163547,14,belly,ŋinú,(1-4),,70,
163560,18,breast,dab,(1-3),,25,
163561,18,breast,ddap,(2),,25,
163562,18,breast,varavan,(1-1),,,
163782,19,shoulder,tsep,"(1-1, 2)",,81,
163783,19,shoulder,tšip,"(1-2, 1-3)",,81,
163855,20,"to know, be knowledgeable",masil,(1-3),,61,
163856,20,"to know, be knowledgeable",maqaru,"(1-3), \"Not know\"",,,
163556,23,blood,radā,"(1-1, 2)",,43,
163557,23,blood,rada,(1-2),,43,
163558,23,blood,lada,(1-3),,43,
163654,24,head,tarakō,(1-1),,58,
163655,24,head,tarakú,"(1-2, 1-3)",,58,
163656,24,head,tarakú:,(1-4),,58,
163657,24,head,tarako,(2),,58,
163658,24,head,talaku,"(1-5, 3)",,58,
163659,24,head,talakkun,(1-6),,58,
163714,25,neck,rir,(1-2),,1,
163715,25,neck,rīl,(2),,1,
163716,25,neck,lil,(1-3),,1,
163717,25,neck,vuhun,(1-1),,48,
163639,26,hair,vos,(1-1),,1,
163640,26,hair,bus,"(1-2) (1-3), \"Pubic hair\"",,1,
163641,26,hair,vus,(2),,1,
163642,26,hair,bud,(1-3),,1,
163643,26,hair,buθ,(1-3),,1,
163644,26,hair,bú:d,(1-4),,1,
163645,26,hair,but,(1-5),,1,
163646,26,hair,līsī,(3),,,
163732,27,nose,nnud,(1-1),,38,
163733,27,nose,nud,"(1-2, 1-3)",,38,
163734,27,nose,nut,"(1-5, 4)",,38,
163735,27,nose,non,(1-6),,81,
163736,27,nose,núnʔ,(1-4),,81,
163737,27,nose,nos,(2),,38,
163703,30,mouth,yovē,"(1-1, 2)",,85,
163704,30,mouth,yobé,"(1-2, 1-3)",,85,
163705,30,mouth,yobei,(4),,85,
163706,30,mouth,gyobe,(3),,85,
163707,30,mouth,gyo:bé:,(1-4),,85,
163708,30,mouth,hiobe,(1-5),,85,
163889,31,tooth,raves,"(1-1, 2)",,46,
163890,31,tooth,rabit,"(1-2, 1-3)",,46,
163891,31,tooth,rabíd,(1-4),,46,
163892,31,tooth,labit,"(1-5), ref. to Babuza labies (7) \"tusk\"",,46,
163893,31,tooth,lipin,(3),,"1,35",
163884,32,tongue,ttatscha,(1-1),,4,
163885,32,tongue,ttatsia,(2),,4,
163886,32,tongue,tatsiá,(1-3),,4,
163887,32,tongue,tatchia,(1-5),,4,
163888,32,tongue,tatšá,(1-2),,4,
163857,33,"to laugh",masakal,"(1-1, 2)",,57,
163858,33,"to laugh",masaqal,(1-3),,57,
163859,33,"to laugh",məməqal,(1-3),,57,
163860,33,"to laugh",mⁿgalagi,(3),,,
163847,37,"to eat",man,"(1-1, 1-3, 1-4)",,1,
163848,37,"to eat",h'man,(3),,1,
163849,37,"to eat",man,(1-5),,1,
163845,40,"to drink",mananu,(1-3),,19,
163846,40,"to drink",man,(1-5),,17,
163581,43,ear,sarina,"(1-1, 1-2, 1-3, 2)",,1,
163582,43,ear,sariná:,(1-4),,1,
163583,43,ear,salina,(3),,1,
165775,43,ear,salina,(1-5),,1,
163585,43,ear,sarin,(1-3),,1,
163586,43,ear,sazina,(4),,1,
163587,43,ear,salinna,(1-6),,1,
165776,43,ear,sadina,(1-5),,1,
163850,44,"to hear",samna,"(1-1, 2)",,53,
163851,44,"to hear",samnaq,(1-3),,53,
163852,44,"to hear",sambak,(3),,53,
163600,45,eye,masa,"(1-1, 1-2, 1-3, 3)",,1,
163601,45,eye,masá:,(1-4),,1,
163603,45,eye,massa,(4),,1,
165753,45,eye,matsa,(1-5),,1,
165754,45,eye,masa,(1-5),,1,
163868,46,"to see",mahal,"(1-1, 2)",,117,
163869,46,"to see",mahar,(1-3),,117,
163870,46,"to see",mhat,(3),,53?,
163875,48,"to sleep",mara,(2),,41,
163876,48,"to sleep",mala,(1-3),,41,
163877,48,"to sleep",ma:lá:,(1-4),,41,
163878,48,"to sleep",mana,(1-1),,,
163879,48,"to sleep",mlat,(3),,,
163843,50,"to dream",masupi,"(1-3, 2)",,1,
163844,50,"to dream",musupi,(1-1),,1,
165784,51,"to sit",makapwá:,(1-4),,131,
163872,51,"to sit",magapua,(1-3),,131,
163873,51,"to sit",gapoa,(1-5),,131,
165783,51,"to sit",ma:pwá:,(1-4),,131,
163880,52,"to stand",dumoák,(1-3),,,
163756,53,"person/human being",so,"(1-2, 3)",,1,
163757,53,"person/human being",so'o,(2),,1,
163758,53,"person/human being",θo,"(1-3), \"People from other villages\"",,1,
165785,53,"person/human being",sou,(1-5),,1,
163760,53,"person/human being",só:,(1-4),,1,
165786,53,"person/human being",θou,(1-5),,1,
163687,54,man/male,vada,"(1-1, 2)",,78,
163688,54,man/male,bada,(1-2),,78,
163689,54,man/male,badáʔ,(1-3),,78,
163690,54,man/male,ʔitán,(1-4),,,
163927,55,woman/female,naka,(2),,69,
163928,55,woman/female,naká:,(1-4),,69,
163929,55,woman/female,na'kka,(1-5),,69,
163930,55,woman/female,naqa,"(1-2, 1-3)",,69,
163931,55,woman/female,nakanaka,(1-1),,69,
163563,56,child,ddah,"(1-1, 2)",,67,
163564,56,child,da,(1-3),,67,
163565,56,child,"matitši a dah",(1-3),,67,
163566,56,child,lah,(3),,67,
163567,56,child,lala,(1-5),,67,
163568,56,child,dadah,"(1-1, 2) \"Small child\"",,67,
163569,56,child,modo,(1-2),,,
163665,57,husband,subun,(1-2),,78,
163666,57,husband,θubun,(1-3),,78,
163921,58,wife,subun,(1-2),,72,
163922,58,wife,θubun,(1-3),,72,
163699,59,mother,kayā,"(1-1, 2)",,2?,
163700,59,mother,kaya,(3),,2?,
163701,59,mother,kaiya,(1-5),,2?,
163702,59,mother,qaya,"(1-2, 1-3)",,2?,
163606,60,father,vava,"(1-1, 2)",,43,
163607,60,father,baba,"(1-2, 1-3, 3)",,43,
163608,60,father,babā,(1-5),,43,
163662,61,house,tubun,"(1-5, 3)",,68,
163663,61,house,tuvun,(1-3),,68,
163664,61,house,toovun,"(1-1, 2)",,68,
163814,62,thatch/roof,"baba tuvun",(1-3),,,
163815,62,thatch/roof,tatalip,(1-3),,,
163709,63,name,nnan,"(1-1, 2)",,1,
163710,63,name,nan,"(1-2, 1-3)",,1,
163861,64,"to say",tamkarakara,(1-1),,132,
163862,64,"to say",tamgaragara,(2),,132,
163863,64,"to say",tamga:rá:,(1-4),,132,
163864,64,"to say",tagara,(1-5),,132,
163865,64,"to say","tamkala hari",(1-3),,1,
163866,64,"to say",hari,"(1-2, 1-3)",,1,
163867,64,"to say",hali,(1-5),,1,
163718,68,needle,lidaq,(1-3),,,
163871,70,"to shoot",patuθ,(1-3),,24,
163881,73,"to steal",matsahā,(1-5),,1,
163853,74,"to kill",mada,(1-3),,,
163854,74,"to kill",boke,(3),,,
163838,75,"to die, be dead",mpā,(1-1),,34,
163839,75,"to die, be dead",mpaa,(3),,34,
163840,75,"to die, be dead",mapa,(1-2),,34,
163841,75,"to die, be dead",mapa-a,(1-3),,34,
163842,75,"to die, be dead",mappā,(2),,34,
290404,79,stick/wood,he,,,1,
163829,91,"to buy",tumusil,(1-3),,46,
163830,91,"to buy",tumusit,(1-5),,46,
163831,91,"to buy",biná,(1-4),,,
163577,96,dog,hato,"(1-1, 2, 3)",,1,
163578,96,dog,hatu,(1-3),,1,
163579,96,dog,hatoú,"(1-4), check spelling",,1,
163580,96,dog,hattu,(1-5),,1,
163552,97,bird,pōlā,(1-1),,,
163553,97,bird,tiri,(2),,39,
163591,98,egg,qonu,"(1-3) \"Something globular, as eggs, fruits, grains, etc.\"",,,
163925,100,wing,tapali,(1-3),,,
163926,100,wing,tatapan,"(1-3), \"To flap the wing\"",,,
163766,102,rat,θibaru,(1-3),,,
163691,103,meat/flesh,sana,(1-3),,,
163692,103,meat/flesh,qubul,"(1-3), \"Pork\"",,,
163693,103,meat/flesh,kuvíd,(1-4),,,
163806,105,tail,qiul,(1-3),,1,
163799,106,snake,zisu,(1-3),,47,
163800,106,snake,lisu,(3),,47,
