id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
642,"Apma (Suru Kavian)","Andrew Gray",app,apma1240,"Apma has three dialects. This list is in Suru Kavian, a distinctive and endangered northern dialect.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Andrew Gray","Simon Greenhill","@misc{Gray-642-2009,  author = \"Andrew Gray\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-15.85593000000000074579,168.18897000000001185072
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
165793,1,hand,lima-,,,1,
165794,2,left,mwei,,,"1,59",
165795,3,right,mwesi,,,5,
165796,4,leg/foot,woko-,,,36,
165797,5,"to walk",ural,,,25,
165798,6,road/path,al,,,1,
165799,6,road/path,ala-,,,1,
165800,7,"to come",vama,,,"23, 1",
165801,8,"to turn",wuukak,,,5,
165802,9,"to swim",kakaa,,,5,
165803,12,skin,kula-,,,10,
165804,12,skin,bwala-,"hard outer covering",,23,
165805,13,back,teku-,,,12,
165806,14,belly,lee|walele-,,,75,
165807,15,bone,su-,,,52,
165808,15,bone,si-,"1PL.INCL, 3SG and 3PL form",,52,
165809,16,intestines,sine-,,,1,
165810,17,liver,ide-,,,32,
165811,18,breast,susu-,,,1,
165812,18,breast,sisi-,"1PL.INCL, 3SG and 3PL form",,1,
165813,19,shoulder,bwesaava-,,,"65,87",
165814,20,"to know, be knowledgeable",ilil,,,8,
165815,21,"to think",vini,,,43,
165816,22,"to fear",mataasi,,,1,
165817,23,blood,da,,,1,
165818,24,head,bwosu-,,,9,
165819,24,head,bwosi-,"1PL.INCL, 3SG and 3PL form",,9,
165820,25,neck,vadale-,"'throat' in other dialects",,42,
165821,26,hair,vilu-,,,31,
165822,27,nose,ngosu-,,,27,
165823,27,nose,ngosi-,"1PL.INCL, 3SG and 3PL form",,27,
165824,28,"to breathe","rap ngongos","rap = pull",,36,
165825,29,"to sniff, smell","rongo buni-","rongo = feel/hear",,"42, 62",
165826,30,mouth,leewa-,"inside of mouth",,50,
165827,30,mouth,bongo-,"external mouth or opening",,41,
165828,31,tooth,lip,,,"1,35",
165829,31,tooth,lewu-,,,"1,35",
165830,32,tongue,mea-,,,7,
165831,33,"to laugh",man,,,51,
165832,34,"to cry",tang,,,1,
165833,35,"to vomit",liait,,,28,
165834,36,"to spit",kasuu,,,19,
165835,37,"to eat",kan,,,1,
165836,39,"to cook",sin,"roast on fire",,14,
165837,40,"to drink",min,,,"1,49",
165838,41,"to bite",kas,,,"1, 55",
165839,43,ear,diling,,,"1, 40",
165840,43,ear,dalinga-,,,"1, 40",
165841,44,"to hear",rong,intransitive,,1,
165842,44,"to hear",rongo,transitive,,1,
165843,45,eye,mata-,,,1,
165844,46,"to see",kit,,,1,
165845,48,"to sleep",mesuu,,,1,
165846,49,"to lie down",en,,,1,
165847,51,"to sit",dok,,,147,
165848,52,"to stand",si,,,68,
165849,53,"person/human being",asi,,,24?,
165850,54,man/male,kuhnubu,,,,
165851,55,woman/female,vaamat,,,37,
165852,56,child,biribirik,"'small one'",,78?,
165853,56,child,nesu-,,,5,
165854,57,husband,aawa-,,,2,
165855,58,wife,kihnesi-,,,,
165856,59,mother,baati-,,,,
165857,60,father,tama-,,,1,
165858,61,house,im,,,1,
165859,61,house,val,,,14,
165860,62,thatch/roof,teguu,"sago palm",,20,
165861,63,name,a-,,,1,
165862,64,"to say",vep,,,"13, 103",
165863,65,rope,kaawa,,,"25, 59",
165864,65,rope,kae-,,,35,
165865,66,"to tie up, fasten",woosi,,,77,
165866,67,"to sew",solo,,,32,
165867,70,"to shoot",vana,,,1,
165868,72,"to hit",ih,,,86,
165869,73,"to steal","lap devak","lap = take",,,
165870,74,"to kill","ih baamete","ih = hit, baamete = cause to die",,"26, 2",
165871,75,"to die, be dead",mat,,,1,
165872,76,"to live, be alive",mwas,,,37,
165873,77,"to scratch",takari,,,"12, 28",
165874,78,"to cut, hack",tas,,,29,
165875,81,sharp,mamkan,,,14,
165876,82,"dull, blunt",mesibwi,,,51,
165877,83,"to work",um,,,1,
165878,84,"to plant",rup,,,9,
165879,86,"to grow",meuu,,,24,
165880,87,"to swell","si sibi",,,40,
165881,89,"to hold",wuh,,,46,
165882,90,"to dig",kil,,,1,
165883,91,"to buy",gele,,,48,
165884,92,"to open, uncover",sangvi,,,40,
165885,94,"to throw",woh,intransitive,,41,
165886,94,"to throw",wohni,transitive,,42,
165887,95,"to fall",iah,,,60,
165888,96,dog,kuli,,L,7,
165889,97,bird,bweeil,,,30,
165890,98,egg,udeli-,,,"1, 66",
165891,99,feather,vilu-,"same as hair",,1,
165892,100,wing,valga-,,,"38, 69",
165893,101,"to fly",kak,,,14,
165894,102,rat,koup,,,3,
165895,105,tail,gere-,,,39,
165896,106,snake,teltel,,,13,
165897,107,"worm (earthworm)",tamwasiski,,,22,
165898,108,louse,kut,,,1,
165899,109,mosquito,tabweken,,,35,
165900,110,spider,tabwakaka,"house spider",,"8, 77",
165901,110,spider,busungos,"big outdoor spider",,4,
165902,111,fish,ik,,,1,
165903,112,rotten,medee,,,27,
165904,113,branch,ra-,,,1,
165905,114,leaf,ru-,,,1,
165906,115,root,libwi-,"soft roots",,18,
165907,115,root,kore-,"hard roots; also 'fence'",,"2, 41",
165908,116,flower,wunga-,,,1,
165909,117,fruit,iwa-,,,"1, 26",
165910,118,grass,velih,,,1,
165911,119,earth/soil,tan,,,1,
165912,120,stone,vat,,,1,
165913,121,sand,on,,,1,
165914,122,water,sileng,,,29,
165915,123,"to flow",rop,,,37,
165916,123,"to flow",sal,,,38,
165917,124,sea,tah,,,1,
165918,125,salt,tah,"same as \"sea\" or \"saltwater\"",,20,
165919,126,lake,nibi,"pool in river",,22,
165920,128,sky,bini,,,29,
165921,129,moon,wul,,,1,
165922,130,star,wamso,,,13,
165923,132,fog,kakap,,,1,
165924,133,rain,wakis,"to rain = is",,1,
165925,134,thunder,"ruu mere","ruu = quake, mere = above",,47,
165926,135,lightning,bili,,,"26, 70",
165927,136,wind,lang,,,"1, 77",
165928,137,"to blow",riri,"of wind",,40,
165929,137,"to blow",up,"with mouth",,"4, 81",
