id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
647,"Halia (Selau)","Malcolm Ross, Helen Tapune, Josephine Wapiu",hla,hali1244,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Buka, Halia","Simon Greenhill",,"@misc{Ross-647-2009,  author = \"Malcolm Ross\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
-5.26602999999999976666,154.66184999999998694875
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
167155,1,hand,lima,arm,,1,
167156,1,hand,lima,arm,,1,
167157,2,left,kerka,,,17,
167158,3,right,madou,,,"5,13",
167159,4,leg/foot,"a mu nen",,,61,
167160,5,"to walk",tatala,"(he) goes",,32,
167161,5,"to walk",la,"(he) goes",,"1, 69",
167162,7,"to come",lama,,,"1,85",
167163,9,"to swim",tsubu,,,,
167164,10,dirty,kokoriana,,,5,
167165,12,skin,"a pempem nen",,,,
167166,13,back,mur,,,3,
167167,14,belly,"a tor nen",,,,
167168,15,bone,"a tsinu nen",,,9,
167169,17,liver,"a kakala nen",,,8,
167170,18,breast,"a su na tawor",chest,,1,
167171,19,shoulder,warwaranen,"nen = his?",,1,
167172,20,"to know, be knowledgeable",atina,,,35,
167173,23,blood,"a rawatsing nen",,,8,
167174,24,head,gono,,,,
167175,25,neck,tongtongolo,,,,
167176,26,hair,kasu,,,,
167177,27,nose,mata,,,,
167178,28,"to breathe",wosa,,,43,
167179,29,"to sniff, smell","soka na ka",,,91,
167180,30,mouth,es,,,,
167181,31,tooth,luwo,"molar tooth",,"1,35",
167182,32,tongue,mia,,,7,
167183,33,"to laugh",gol,,,59,
167184,34,"to cry",ngara,,,5,
167185,35,"to vomit",luwa,,,8,
167186,36,"to spit",könömsö,Spittle,,"14, 22",
167187,37,"to eat",nuna,,,,
167188,38,"to chew",korayia,"(he) chews (betelnut)",,29,
167189,39,"to cook",rakuna,"bakes (in earth oven)",,,
167190,39,"to cook","wuna turu","bakes (over fire)",,54,
167191,39,"to cook","wagollo na turu","boils (in water)",,53,
167192,40,"to drink",wana,,,28,
167193,41,"to bite",wikoto,"(dog) bites",,12,
167194,43,ear,ngorngoro,,,,
167195,44,"to hear",rongono,,,"1, 36",
167196,45,eye,"wuru e kani kasunen",,,,
167197,46,"to see",tara,,,15,
167198,47,"to yawn",mumoa,,,19,
167199,48,"to sleep",sowo,"(he) falls asleep",,13,
167200,50,"to dream","tsuna sowo","a dream",,,
167201,51,"to sit",gumna,"is sitting",,79,
167202,52,"to stand",turna,"is standing",,37,
167203,53,"person/human being",asana,,,,
167204,54,man/male,tson,,,46,
167205,55,woman/female,tawor,,,56,
167206,56,child,"kus tonen",,,,
167207,57,husband,tson,,,56,
167208,58,wife,tawor,,,,
167209,59,mother,tsinanen,,,1,
167210,60,father,tamanen,,,1,
167211,61,house,ruma,,,1,
167212,63,name,soro,,,24,
167213,64,"to say",ranga,,,76,
167214,66,"to tie up, fasten",kits,"(he) ties (a knot)",,20,
167215,73,"to steal",kopna,,,15,
167216,74,"to kill",atung,,,18,
167217,75,"to die, be dead",mati,,,1,
167218,76,"to live, be alive",tutu,"living (pig)",,8,
167219,77,"to scratch",makalana,"an itch",,,
167220,84,"to plant","laba kumal",,,,
167221,86,"to grow","rei galana","94. (plant) grows",,,
167222,88,"to squeeze",pots,,,18,
167223,92,"to open, uncover","kabta matirma",,,,
167224,96,dog,kas,,,31,
167225,97,bird,apena,,,,
167226,98,egg,nuta,,,17,
167227,99,feather,saba,,,8,
167228,100,wing,pakpaka,,,33,
167229,101,"to fly","apena tapara","(bird) flies",,,
167230,102,rat,kiso,,,"3,88",
167231,103,meat/flesh,benu,,,19,
167232,104,fat/grease,"mola nen","fat (on a person)",,"1,65",
167233,105,tail,"wusun kas",,,44,
167234,106,snake,kotsi,,,,
