id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
655,"Palembang Malay","Sindi Idwin",zlm,mala1479,"This language is spoken in Palembang, the capital of South Sumatera Province of Western Indonesia",,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay","Sindi Idwin",,"@misc{Idwin-655-2009,  author = \"Sindi Idwin\",  date = \"2009\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
169028,1,hand,tangan,,,18,
169029,2,left,kiri,,,"1,42",
169030,3,right,kanan,,,"1,73",
169031,4,leg/foot,kaki,,,1,
254370,4,leg/foot,sekel,,,"24,60",
169032,5,"to walk",bejalan,,,21,
169033,6,road/path,jalan,,,1,
169034,7,"to come",datang,,,14,
254369,7,"to come",dateng,,,14,
169035,8,"to turn",belok,,,24,
169036,9,"to swim",berenang,,,23,
169037,10,dirty,kotor,,,31,
169038,11,dust,debu,,,58,
169039,12,skin,kulit,,,1,
169040,13,back,belakang,,,27,
169041,14,belly,perut,,,32,
169042,15,bone,tulang,,,1,
169043,16,intestines,usus,"ult. < Javanese",L,24,
169044,17,liver,ati,,,1,
169045,18,breast,dado,"X = 'chest'",,12,
169046,19,shoulder,bahu,"ult. < SKT",L,17,
169047,20,"to know, be knowledgeable",tau,,,1,
169048,21,"to think",bepikir,"ult. < AR",,22,
169049,22,"to fear",takut,,,1,
169050,23,blood,darah,,,1,
169051,24,head,palak,"ult. < SKT",L,45,
169052,25,neck,leher,,,1,
169053,26,hair,rambut,,,20,
169054,27,nose,idung,,,1,
169055,28,"to breathe",benapas,"ult. < AR",L,29,
169056,29,"to sniff, smell",isap,"'to suck in'?",,121,
169057,30,mouth,mulut,,,27,
169058,31,tooth,gigi,,,17,
169059,32,tongue,lidah,,,"4,31",
169060,33,"to laugh",tetawo,,,1,
169061,34,"to cry",nagis,,,,
254368,34,"to cry",nangis,,,1,
169062,35,"to vomit",muntah,,,1,
169063,36,"to spit",tusuk,,,111,
254367,36,"to spit",bluda,"SA: *bə(r)-ludah",,1,
169064,37,"to eat",makan,,,1,
169065,38,"to chew",ngunyah,,,16,
169066,39,"to cook",masak,,,19,
169067,40,"to drink",minum,,,1,
169068,41,"to bite",gigit,,,21,
169069,42,"to suck",isap,,,1,
169070,43,ear,kuping,,,15,
169071,44,"to hear",ndenger,,,1,
169072,45,eye,mato,,,1,
169073,46,"to see",ngeliat,,,23,
254366,46,"to see",nyingok,,,50,
169074,47,"to yawn",nguap,,,19,
254365,47,"to yawn",angop,,,19,
169075,48,"to sleep",tiduk,,,"1,70",
254364,48,"to sleep",tedok,,,"1,70",
169076,49,"to lie down",beguling,,,54,
169077,50,"to dream",mimpi,,,"1,37",
169078,51,"to sit",duduk,,,35,
169079,52,"to stand",bediri,,,1,
