id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
656,"Dusun Tuhauon (Tambunan)","Gordian Pius",kzt,tamb1254,,,"Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Dusunic, Dusun, Central","Gordian Pius",,"@misc{Pius-656-2009,  author = \"Gordian Pius\",  date = \"2009\",  howpublished = \"personal communication\"}"
latitude,longitude
5.68283999999999966946,116.37260000000000559339
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
169241,1,hand,longon,,,37,
169242,2,left,gibang,,,24,
169243,3,right,wanan,,,1,
169244,4,leg/foot,gakod,,,,
169245,5,"to walk",mamanau,,,2,
169455,6,road/path,ralan,,,,
169456,6,road/path,talun-alun,,,,
169247,7,"to come",rumikot,,,,
169248,8,"to turn",kumilong,,,63,
169249,9,"to swim",kuma'au,,,,
169250,10,dirty,ayamut,,,,
169251,11,dust,tawu,,,,
169252,12,skin,kulit,,,1,
169253,13,back,likud,,,1,
169254,14,belly,tian,,,1,
169255,15,bone,tulang,,,1,
169256,16,intestines,tinai'i,,,,
169257,17,liver,tokowiyau,,,,
169258,18,breast,susu,,,1,
169259,19,shoulder,liwawaha,,,,
169260,20,"to know, be knowledgeable",koilo,,,,
169261,21,"to think",momusorou,,,,
169262,22,"to fear",orosian,,,,
169263,23,blood,raha,,,1,
169264,24,head,tulu,,,,
169265,25,neck,liou,,,,
169266,26,hair,tobuk,,,,
169267,27,nose,todung,,,,
169268,28,"to breathe",momihobo,,,,
169269,29,"to sniff, smell",moningud,,,,
169270,30,mouth,kabang,,,,
169271,31,tooth,nipon,,,1,
169272,32,tongue,dila,,,4,
169273,33,"to laugh",mongirak,,,,
169274,34,"to cry",mihad,,,,
169275,35,"to vomit",mongilob,,,,
169276,36,"to spit",momodula,,,,
169277,37,"to eat",mangakan,,,1,
169278,38,"to chew",monguyom,,,,
169279,39,"to cook",mogonsok,,,,
169280,40,"to drink",monginum,,,,
169281,41,"to bite",mongokot,,,,
169282,42,"to suck",moniop,,,,
169283,43,ear,tolingo,,,1,
169284,44,"to hear",korongou,,,,
169285,45,eye,mato,,,1,
169286,46,"to see",kokito,,,,
169287,47,"to yawn",moguab,,,19,
169288,48,"to sleep",modop,,,,
169289,49,"to lie down",lumuwi,,,,
169290,50,"to dream",moginipi,,,,
169291,51,"to sit",mirikau,,,,
169292,52,"to stand",mingkakat,,,,
169293,53,"person/human being",tulun,,,,
169294,54,man/male,kusai,,,,
169295,55,woman/female,tondu,,,,
169296,56,child,tanak,,,1,
169297,57,husband,"sawo kusai",,,,
169298,58,wife,"sawo tondu",,,,
169299,59,mother,tama,,,,
169300,60,father,tapa,,,,
169447,61,house,walai,,,14,
169448,61,house,lamin,,,13,
169302,62,thatch/roof,taap,,,1?,
169303,63,name,ngaran,,,1,
169304,64,"to say",momboros,,,,
169687,65,rope,lukug,,,,
169305,66,"to tie up, fasten",kagasan,,,,
169306,67,"to sew",monombir,,,,
169307,68,needle,dalat,,,,
169308,69,"to hunt",magasu,,,,
169309,70,"to shoot",monimbak,,,49,
169310,71,"to stab, pierce",monobok,,,,
169311,72,"to hit",momobog,,,,
169312,73,"to steal",mamanau,,,,
169313,74,"to kill",mamatai,,,,
169314,75,"to die, be dead",napatai,,,,
169315,76,"to live, be alive",napasi,,,,
169316,77,"to scratch",mongukut,,,,
169451,78,"to cut, hack",managad,,,,
169452,78,"to cut, hack",momutul,,,,
169318,79,stick/wood,kayu,,,1,
169319,80,"to split",mamalapak,,,,
169320,81,sharp,alawis,"pointed",,,
176736,81,sharp,atarom,"sharp",,,
169686,82,"dull, blunt",olompod,,,,
169321,83,"to work",mindahu,,,,
169322,84,"to plant",mananom,,,2,
169323,85,"to choose",momili,,,1,
169324,86,"to grow",sumuni,,,,
169325,87,"to swell",lumonit,,,,
169326,88,"to squeeze",momisak,,,,
169327,89,"to hold",mongigit,,,,
169328,90,"to dig",mongukad,,,,
169329,91,"to buy",momoli,,,,
169330,92,"to open, uncover",mongukab,,,28,
169331,93,"to pound, beat",monutu,,,20,
169453,94,"to throw",momigod,,,,
169454,94,"to throw",papataam,,,,
169333,95,"to fall",naratu,,,,
169334,96,dog,tasu,,,1,
169335,97,bird,tombolog,,,,
169336,98,egg,tontolu,,,,
169337,99,feather,hulu,,,1,
169338,100,wing,talad,,,,
169339,101,"to fly",tumulud,,,,
169340,102,rat,tikus,,,22,
169341,103,meat/flesh,daging,,,26,
169342,104,fat/grease,lunok,,,,
169343,105,tail,tikiu,,,1,
169344,106,snake,tulanut,,,,
169345,107,"worm (earthworm)",tongiluang,,,,
169346,108,louse,lios,,,,
169347,109,mosquito,togonok,,,,
169348,110,spider,korut,,,,
169349,111,fish,sada,,,,
169350,112,rotten,napasa,,,,
169351,113,branch,ra'an,,,,
169352,114,leaf,roun,,,1,
169353,115,root,gamut,,,3,
169354,116,flower,bunga,,,1,
169355,117,fruit,tuah,,,,
169356,118,grass,sakot,,,23,
169357,119,earth/soil,tanah,,,1,
169358,120,stone,watu,,,1,
169359,121,sand,togis,,,,
169360,122,water,waig,,,,
169361,123,"to flow",lumuyung,,,,
169362,124,sea,rahat,,,,
169363,125,salt,tusi,,,,
169364,126,lake,wotis,,,,
169365,127,woods/forest,talun,,,30,
169366,128,sky,tawan,,,,
169367,129,moon,tulan,,,,
169368,130,star,rombituon,,,,
169369,131,cloud,haun,,,,
169685,132,fog,tawun,,,,
169370,133,rain,rasam,,,,
169371,134,thunder,tumparak,,,,
169372,135,lightning,gonit,,,,
169373,136,wind,ribut,,,24,
169374,137,"to blow",monompugi,,,,
169375,138,warm,alasu,,,,
169376,139,cold,osogit,,,,
169683,140,dry,otuu,,,,
169377,141,wet,oyopos,,,,
169378,142,heavy,awagat,,,,
169379,143,fire,tapui,,,,
169380,144,"to burn",tutudai,,,,
169381,145,smoke,lisun,,,19,
169382,146,ash,towu,,,,
169383,147,black,oitom,,,1,
169384,148,white,opurak,,,,
169385,149,red,aragang,,,,
169386,150,yellow,osilou,,,,
169387,151,green,otomou,,,,
169388,152,small,okoro,,,,
169389,153,big,agayo,,,,
169390,154,short,osiriba,,,,
169391,155,long,anaru,,,,
169392,156,thin,agahui,,,,
