id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
663,Sumbawa,"James Ryan",smw,sumb1241,"Spoken by around 300 000 people in the western part of Sumbawa Island",,"Austronesian, Malayo-Polynesian, Bali-Sasak-Sumbawa, Sasak-Sumbawa","James Ryan","Simon Greenhill","@misc{Ryan-663-2010,  author = \"James Ryan\",  date = \"2010\",  howpublished = \"personal communication\"}"
latitude,longitude
-8.71918999999999932982,117.47199000000000523869
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
173600,1,hand,ima,,,"1,65",
173601,2,left,kidang,,,56,
173602,3,right,kanan,,,"1,73",
173603,4,leg/foot,ene,,,,
173604,5,"to walk",belangan,,,21,
173605,6,road/path,ola,,,,
173606,7,"to come",datang,,,14,
173607,8,"to turn",mengko,,,,
173608,9,"to swim",nange,,,,
173609,10,dirty,lesek,,,,
173610,11,dust,au,,,1,
173611,12,skin,luket,,,,
173612,13,back,bungkak,,,,
173613,14,belly,pusat,,,,
173614,15,bone,tolang,,,,
173615,17,liver,ate,,,1,
173616,18,breast,susu,,,1,
173617,19,shoulder,belikat,,,,
173618,20,"to know, be knowledgeable",sandro,,,,
173619,22,"to fear",ketaket,,,1,
173620,23,blood,getih,,,18,
173621,24,head,otak,,,,
173622,25,neck,korok,,,,
173623,26,hair,bulu,,,31,
173624,27,nose,idung,,,1,
173625,28,"to breathe",iak,,,,
173626,29,"to sniff, smell",iduk,,,,
173627,30,mouth,boa,,,1,
173628,31,tooth,isit,,,,
173629,32,tongue,ela,,,4,
173630,33,"to laugh",rengingi,,,,
173631,34,"to cry","ai mata",,,,
173632,35,"to vomit",utah,,,1,
173633,36,"to spit",betisu,,,,
173634,37,"to eat",bekake,,,,
173635,38,"to chew",ngonat,,,,
173636,39,"to cook",mongka,,,,
173637,40,"to drink",nyinim,,,,
173638,41,"to bite",ngesit,,,,
173639,42,"to suck",ades,,,,
173640,43,ear,kuping,,,15,
173641,44,"to hear",menong,,,,
173642,45,eye,mata,,,1,
173643,46,"to see",ingo,,,,
173644,47,"to yawn",ngelit,,,,
173645,48,"to sleep",tunong,,,,
173646,49,"to lie down",ngulang,,,,
173647,50,"to dream",beripi,,,,
173648,51,"to sit",tokal,,,,
173649,52,"to stand",manang,,,,
173650,53,"person/human being",tawu,,,1,
173651,54,man/male,salaki,,,,
173652,55,woman/female,sawai,,,,
173653,56,child,tode,,,,
173654,57,husband,basalaki,,,,
173655,58,wife,basawai,,,,
173656,59,mother,ina,,,1,
173657,60,father,bapak,,,5,
173658,61,house,bale,,,14,
173659,62,thatch/roof,pongo,,,,
173660,63,name,singin,,,,
173661,64,"to say",beling,,,,
173662,66,"to tie up, fasten",sat,,,,
173663,67,"to sew",ngejit,,,,
173664,68,needle,jarum,,,1,
173665,69,"to hunt",ngebajo,,,,
173666,70,"to shoot",manak,,,1,
173667,71,"to stab, pierce",teruk,,,,
173668,72,"to hit",pukil,,,27,
173669,72,"to hit",rumpok,,,,
173670,73,"to steal",nyoro,,,,
173671,74,"to kill",samate,,,,
173672,75,"to die, be dead",mate,,,1,
173673,76,"to live, be alive",telas,,,,
173674,77,"to scratch",kerok,,,,
173675,78,"to cut, hack",tetak,,,3,
173676,79,stick/wood,puin,,,,
173677,80,"to split",tebok,,,,
173678,81,sharp,tayam,,,,
173679,82,"dull, blunt",tumpel,,,,
173680,83,"to work",orong,,,,
173681,84,"to plant",nanam,,,2,
173682,85,"to choose",ete,,,,
173683,86,"to grow",sarango,,,,
173684,87,"to swell",bara,,,1,
173685,88,"to squeeze",pesat,,,,
173686,89,"to hold",enti,,,,
173687,90,"to dig",kowar,,,,
173688,91,"to buy",pemali,,,,
173689,92,"to open, uncover",uleng,,,,
173690,93,"to pound, beat",nuja,,,,
173691,94,"to throw",pelentong,,,,
173692,95,"to fall",nyeripik,,,,
