id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
667,Khmer,"Robert K. Headley, Phana Chhim",khm,cent1989,"Also known as Cambodian. Source: Headley, Robert K. Modern Cambodian-English dictionary. Dunwoody Press, 1997. Available for free on http://sealang.net/khmer/dictionary.htm",,"Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Khmer","Andrew C. Hsiu",,"@book{313809,  address               = {Kensington},  note                  = {Includes bibliographical references (p. xxv-xxx)},  pages                 = {xxx+1674},  publisher             = {Dunwoody Press},  title                 = {Modern Cambodian-English dictionary},  year                  = {1997},  bibtexkey             = {chim-headley-soeum_modern-cambodian1997},  class_loc             = {PL4326},  document_type         = {B},  hhtype                = {dictionary},  inlg                  = {English [eng]},  isbn                  = {0-931745-78-0},  macro_area            = {Eurasia},  mpi_eva_library_shelf = {PL 4326 HEA 1997},  src                   = {mpieva},  srctrickle            = {mpieva#Headley1997ModernCa},  subject_headings      = {Khmer language–Dictionaries–English, Khmer language–Dictionaries–English},  author                = {Headley, Robert K. and Chim, Rath and Soeum, Ok}}"
latitude,longitude
11.45490000000000030411,104.49336999999999875399
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
175268,1,hand,day,,,,
175270,2,left,cveeŋ,,,,
175269,3,right,sdam,,,,
175271,4,leg/foot,cəəŋ,,,,
175272,5,"to walk",daə,,,,
175273,6,road/path,pləv,,,,
175274,7,"to come",mɔɔk,,,1,
175275,8,"to turn",bɑt,,,,
175276,9,"to swim",hael,,,,
175277,10,dirty,kɔkrih,,,,
175278,11,dust,tʰuulii,Sanskrit,L,,
175279,12,skin,sbaek,,,,
175280,13,back,knɑɑŋ,,,,
175281,14,belly,pʊəh,,,,
175282,15,bone,cʔəŋ,,,2?,
175283,16,intestines,"pʊəh viən pʊəh taŋ",,,,
175284,17,liver,tlaəm,,,,
175285,18,breast,dɑh,,,,
175286,19,shoulder,smaa,,,1?,
175287,20,"to know, be knowledgeable",ceh,,,,
175288,21,"to think",kɨt,,,,
175289,22,"to fear",kraeŋ,,,,
175290,23,blood,cʰiem,,,,
175291,24,head,kbaal,"from Sanskrit: \"kepala\"",L,,
175292,25,neck,kɑɑ,,,,
175293,26,hair,sɑk,,,2?,
175294,27,nose,crɑmoh,,,,
175295,28,"to breathe","dɑɑk dɑŋhaəm",,,,
175296,29,"to sniff, smell",hət,,,,
175297,30,mouth,moat,,,,
175298,31,tooth,tmɨɲ,,,,
175299,32,tongue,ʔɑndaat,,,,
175300,33,"to laugh",saǝc,,,,
175301,34,"to cry",yum,,,,
175302,35,"to vomit",kʔuət,,,1,
175303,36,"to spit",sdɑh,,,,
175304,37,"to eat",sii,,,,
175305,38,"to chew",tumpie,,,,
175306,39,"to cook",cʔən,"root: \"to be cooked\"",,1?,
175307,40,"to drink",pʰək,,,,
175308,41,"to bite",cək,,,,
175309,42,"to suck",cʊəɲcoap,,,1,
175310,43,ear,trɑciək,,,,
175311,44,"to hear",lɨɨ,,,,
175312,45,eye,pnɛɛk,,,,
175313,46,"to see",kʰəəɲ,,,,
175314,47,"to yawn",sŋaap,,,1,
175315,48,"to sleep",deɛk,,,,
175316,49,"to lie down",deɛk,,,,
175484,50,"to dream",yʊəlsɑp,,,,
175485,50,"to dream",sɑp,,,1,
175318,51,"to sit",ʔɑŋkuy,,,,
175319,52,"to stand",cʰɔɔ,,,,
175320,53,"person/human being",mɔnuh,"Sanskrit \"manusia\"",L,,
175321,54,man/male,boʔrɑh,"Sanskrit \"purusha\"",L,,
175322,55,woman/female,srǝy,,,,
175323,56,child,koon,"compare Vietnamese \"con\"",,,
175324,57,husband,pdəy,Sanskrit,L,,
175325,58,wife,prɑpʊən,Sanskrit,L,,
175326,59,mother,mae,,,,
175482,60,father,paa,,,,
175483,60,father,"ʔəv puk",,,,
175328,61,house,pteah,,,2?,
175329,62,thatch/roof,dɑmbool,,,,
175330,63,name,cmʊəh,,,,
175331,64,"to say",tʰaa,,,,
175332,65,rope,ksae,,,,
175333,66,"to tie up, fasten",cɑɑŋ,,,,
175334,67,"to sew",dee,,,1?,
175335,68,needle,mcul,,,,
175336,69,"to hunt","baɲ sat","literally \"shoot animals\"",,,
175337,70,"to shoot",baɲ,,,1,
175338,71,"to stab, pierce",cak,,,1,
175339,72,"to hit",viey,,,,
175340,73,"to steal",luǝc,,,,
175341,74,"to kill",sɑmlap,,,,
175342,75,"to die, be dead",taay,,,1,
175343,76,"to live, be alive",rʊəh,,,,
175344,77,"to scratch",keh,,,1,
175345,78,"to cut, hack",kap,,,,
175346,79,stick/wood,cʰəə,"also means tree, wood",,,
175347,80,"to split",puh,,,1?,
175348,81,sharp,mut,,,,
175349,82,"dull, blunt",rɨl,,,,
175350,83,"to work",tvəə,,,,
175351,84,"to plant",dam,,,,
175352,85,"to choose",rəəh,,,,
175353,86,"to grow",doh,,,,
175354,87,"to swell",paoŋ,,,,
182168,87,"to swell",haəm,,,,
