id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
686,Sinauna,"Fe Aldave Yap",agv,remo1247,"ISO 639-3: agv Source: Yap, Fe Aldave. The Tagalog Region: Lexicon of the Languages and Dialects / Rehiyong Tagalog: Lexicon ng mga Wika at Diyalekto. Manila, Philippines: University of Santo Tomas, 2009.Sinauna is a highly endangered Central Luzon language spoken in Rizal province, Luzon.","Lack of pronouns in source.","Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sinauna","Andrew C. Hsiu",,"@book{Yap2009,  address       = {Manila},  publisher     = {University of Santo Tomas},  title_english = {The Tagalog Region: Lexicon of the Languages and Dialects},  year          = {2009},  hhtype        = {grammar},  inlg          = {Mandarin Chinese [cmn]},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#g:Liang:Pubiao},  title         = {Rehiyong Tagalog: Lexicon ng mga Wika at Diyalekto},  author        = {Yap, Fe Aldave}}"
latitude,longitude
14.62541000000000046555,121.45323000000000490672
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
178030,1,hand,alíma,,,1,
178749,2,left,kaliwá',,L,67,
178750,2,left,háyin,,,,
178032,3,right,kánan,"from Tagalog",L,,
178033,4,leg/foot,bití'is,,,23,
178034,5,"to walk",lumagpun,,,,
178035,6,road/path,bakás,,,,
178036,8,"to turn",lumyakág,"to revolve",,,
178037,9,"to swim",gunnátaw,,,,
178038,10,dirty,matukas,,,,
178039,11,dust,abú,,,1,
178769,12,skin,balát,,,21,
178770,12,skin,barat,,,21,
178041,13,back,ulúd,,,,
178042,14,belly,pitú',,,,
178043,15,bone,but'i,,,,
178044,16,intestines,bitúka,,,21,
178045,17,liver,atáy,,,1,
178046,18,breast,susu,,,1,
178047,19,shoulder,baríkat,,,,
178048,20,"to know, be knowledgeable",mi'kilála,"to know a person",,18,
178049,22,"to fear",mi'tári',,,,
178050,23,blood,dugú',"from Tagalog",L,,
178051,24,head,útak,"brain? LAR",,,
178052,25,neck,ta'án,,,,
178053,27,nose,a'dong,,,"1,83",
178054,29,"to sniff, smell",dúnut,,,,
178055,30,mouth,ngúsu',,,2,
178730,31,tooth,ngípɨn,,,"1,48",
178731,31,tooth,ngípon,,,"1,48",
178771,32,tongue,díla',,,4,
178772,32,tongue,dira',,,4,
178058,33,"to laugh",nangarisngís,,,,
178059,34,"to cry",lulúha',,,,
178060,35,"to vomit",úta',,,1,
178061,36,"to spit",túmpa,,,44,
178062,37,"to eat",mangán,,,"1,14",
178063,39,"to cook",miglutu',,,20,
178064,40,"to drink",inúm,,,1,
178065,41,"to bite",sa'ngáb,,,72,
178066,42,"to suck",sipsip,"from Tagalog",L,,
178067,43,ear,talínga,,,1,
178068,44,"to hear",landap,,,,
178069,45,eye,bulíga',,,,
178070,46,"to see",mi'sul'áng,,,,
178071,48,"to sleep",matungdu',,,,
178072,50,"to dream",ngang'ádep,noun,,,
178073,51,"to sit",mamasná,,,,
178074,52,"to stand",tayó',"from Tagalog",L,,
178075,53,"person/human being",áta,,,4,
178076,54,man/male,ráki,,,2,
178077,55,woman/female,báyi,,,1,
178078,56,child,úbon,,,,
178079,57,husband,sáma,,,,
178773,58,wife,asáwa,,,1,
178774,58,wife,sáwa,,,1,
178775,59,mother,nánay,,,"1,73",
178776,59,mother,ráyra,,,,
178767,60,father,ráma,,,1,
178768,60,father,tatay,,,19,
178083,61,house,baláy,,,14,
178084,62,thatch/roof,atap,,,1,
178085,63,name,ngaran,,,1,
178086,64,"to say",migsábi,"from Tagalog",L,,
178777,65,rope,táli',,,1,
178778,65,rope,tári',,,1,
178088,66,"to tie up, fasten",táli',,,26,
178779,67,"to sew",tahí',,,1,
178780,67,"to sew",migtahi',,,1,
178090,68,needle,kadáyum,,,1,
178091,69,"to hunt",mangasu,"asu = dog",,36,
178092,71,"to stab, pierce",tustusákan,,,,
178093,73,"to steal",mignákaw,,,1,
178094,74,"to kill",patayan,,,2,
178095,77,"to scratch",kakamutan,,,,
