id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
692,"Proto-Hlai (Norquest)","Peter K. Norquest",,hlai1238,"Norquest, Peter K. A Phonological Reconstruction of Proto-Hlai. Ph.D dissertation. Department of Anthropology, University of Arizona, 2007.Cognacy judgments are based from Norquest's lists of Proto-Hlai / Proto-Austronesian comparisons.","Proto-Greater Hlai, Proto-Central Hlai, etc. are given when there is no Proto-Hlai form.","Tai-Kadai, Hlai","Andrew C. Hsiu",,"@phdthesis{141426,  pages      = {618},  publisher  = {University of Arizona},  school     = {University of Arizona},  series     = {Unpublished PhD thesis},  title      = {A phonological reconstruction of Proto-Hlai},  year       = {2007},  asjp_name  = {Jiamao},  bibtexkey  = {norquest_reconstruction-hlai2007},  fn         = {eurasia\norquest_proto-hlai2007.pdf},  hhtype     = {overview;comparative;wordlist;phonology},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Eurasia},  src        = {asjp2010, hh},  srctrickle = {asjp2010#2696, hh#hvwphon:Norquest:Proto-Hlai},  author     = {Norquest, Peter K.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
179155,1,hand,*C-mɯ:,"PAN *(qa)lima",,1,
179156,2,left,*hwi:ŋ,"PAN *ka-wiʀi ?",,48,
179157,3,right,*pʰəyʔ,,,,
179158,4,leg/foot,*kʰok,"PAN *qaqay  ?? according to LS",,31,
179348,5,"to walk",*fi:,,,,
179349,5,"to walk",*tɕa:mɦ,,,,
179160,6,road/path,*ku:n,,,,
179161,7,"to come",*hmɯ:n,,,,
179162,8,"to turn",*Ciʔəy,,,,
179163,9,"to swim",*p-li:,,,,
179164,10,dirty,*C-nɯmɦ,filth,,,
179165,11,dust,*fu:ŋʔ,"Greater Hlai",,,
179166,12,skin,*C-nə:ŋ,"PAN *qaNiC ?",,,
179167,13,back,*tɕʰuɲʔ,,,,
179168,14,belly,*hmok,,,,
179169,15,bone,*Cuɾɯ:k,"PAN *CuqelaN ?",,,
179170,16,intestines,*ɾa:yʔ,"PAN *Cinaqi ?",,,
179350,17,liver,*ɗəy,"PAN *qaCay",,1,
179351,17,liver,*C-ŋa:n,,,,
179172,18,breast,*tɕi:ɦ,,,,
179173,19,shoulder,*ʋa:ɦ,"PAN *qabaʀa",,1,
179174,20,"to know, be knowledgeable",*Curɯ:,,,,
179175,22,"to fear",*ɗa:ʔ,"PAN *ma-takut ?",,,
179176,23,blood,*hla:c,"PAN *daʀaq ?",,,
179177,24,head,*Curəwʔ,"PAN *qulu ?",,1,
179178,25,neck,*ljoŋʔ,"PAN *liqeʀ ?",,,
179179,26,hair,*hnom,,,,
179180,27,nose,*kʰət,,,,
179181,28,"to breathe",*hwɯp,"to inhale",,,
179182,29,"to sniff, smell",*ɦa:y,,,,
179344,30,mouth,*fa:k,"PMP *baqbaq ?",,,
179345,30,mouth,*hməmʔ,,,,
179184,31,tooth,*fjən,"PAN *nipen ?",,,
179185,32,tongue,*hli:nʔ,,,36,
179186,33,"to laugh",*ɾja:w,"PAN *Cawa ?",,,
179187,34,"to cry",*C-ŋi:ʔ,"PAN *Caŋis",,1,
179188,35,"to vomit",*fa:k,"PAN *utaq ?",,1?,
179189,36,"to spit",*pʰ[w]iɦ,,,,
179190,37,"to eat",*kʰən,"PAN *kaen",,1,
179191,38,"to chew",*hŋa:ɲʔ,,,,
179192,40,"to drink",*ru:nɦ,"PMP *inum ?",,,
179193,41,"to bite",*hŋa:ɲʔ,,,,
179194,43,ear,*ljəy,"PAN *Caliŋa ?",,,
179195,44,"to hear",*p-lɯ:,"to listen",,,
179196,45,eye,*tʃʰa:,"PAN *maCa",,1,
179197,46,"to see",*C-la:yʔ,"PAN *kita ?",,,
179340,47,"to yawn",*hŋa:p,"PAN *ma-Suab, *ma-Suaw",,,
179341,47,"to yawn",*ka:w,,,,
179199,48,"to sleep",*hŋu:ɦ,,,,
179200,49,"to lie down",*hŋu:ɦ,,,,
179201,50,"to dream",*fən,"PAN *Sepi",,,
179202,51,"to sit",*tɕoŋʔ,"PMP *tudan or Chinese ?",,,
179203,52,"to stand",*tɕu:n,"Chinese ?",,,
179204,53,"person/human being",*[ʔ]a:w,"PAN *Cau",,1,
179352,54,man/male,*pʰa:ʔ,,,,
179353,54,man/male,*C-ma:n,,,,
179206,55,woman/female,*hmi:ʔ,"PAN *bahi ?",,,
179354,56,child,*hlɯ:k,"PAN *aNak",,1,
179355,56,child,*C-lik,,,,
179208,58,wife,*hmi:ʔ,"= woman",,,
179209,59,mother,*hmi:ʔ,"= woman",,,
179210,60,father,*pʰa:ʔ,,,,
179346,61,house,*rɯ:n,"PAN *ʀumaq ?",,,
179347,61,house,*p-loŋʔ,,,,
179212,63,name,*pʰa:ŋ,,,,
179213,64,"to say",*ɾi:n,,,,
179214,65,rope,*ɗə:y,"PAN *CaliS ?",,,
179215,67,"to sew",*C-ɲəp,"PAN *taSiq ?",,,
179216,68,needle,*hŋuc,,,,
179217,70,"to shoot",*hɲɯ:,"PAN *panaq ?",,,
179218,72,"to hit",*tʰa[:]yɦ,,,,
179219,73,"to steal",*ljok,"PAN *Cakaw ?",,,
179220,74,"to kill",*C-ɦu:ʔ,,,,
179221,75,"to die, be dead",*hla:wɦ,,,,
179222,76,"to live, be alive",*Cuɾi:p,"PAN *ma-qudip",,1,
179223,77,"to scratch",*tʰa:w,,,,
