id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
697,Proto-Lakkja,"Theraphan L. Thongkum",lbc,lakk1238,"ISO 639-3: lbc The Lakkja are also known as the Cha Shan Yao (Tea Mountain Yao), and reside in northeastern Guangxi. Source: Theraphan L. Thongkum. 1992. \"A Preliminary Reconstruction of Proto-Lakkja (Cha Shan Yao).\" In The Mon-Khmer Studies Journal, 20: 57-90.These preliminary reconstructions were based on the three Lakkja dialects of Jintian, Liula, and Jinxiu.","Only 243 preliminary reconstructions are given.","Tai-Kadai, Kam-Tai, Lakkja","Andrew C. Hsiu",,"@article{184494,  journal    = {Mon-Khmer Studies},  pages      = {57-90},  title      = {A preliminary reconstruction of Proto-Lakkja (Cha Shan Yao)},  volume     = {20},  year       = {1991},  bibtexkey  = {l-thongkum_lakkja-shan1991},  hhtype     = {comparative},  inlg       = {English [eng]},  src        = {zurich},  srctrickle = {zurich#Theraphan1991},  author     = {L.-Thongkum, Theraphan}}"
latitude,longitude
24.11692000000000035698,110.10580000000000211458
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
180282,1,hand,"*miə A2",,,1,
180283,2,left,"*klei C1",,,47,
180284,3,right,"*wa: A2",,,1?,
180285,4,leg/foot,"*puk D1",,,41,
180286,5,"to walk","*pai A1","to go",,54,
180287,6,road/path,"*tsa:ŋ A1",,,26?,
180288,12,skin,"*bei A2",Chinese,L,,
180289,14,belly,"*bɔ:ŋ A1",,,,
180290,16,intestines,"*kla:i C1",,,47,
180291,17,liver,"*tap D1",,,1?,
180292,18,breast,"*ʔnɛ:n C1",,,37,
180293,22,"to fear","*hɛ: A1",frightened,,50,
180294,23,blood,"*liət D2",,,28,
180295,24,head,"*kleu A1",,,33,
180296,25,neck,"*ʔŋɛn A1",,,49,
180401,26,hair,"*glom A1",,,49,
180402,26,hair,"*kle:ŋ A1",,,49,
180298,27,nose,"*ʔnaŋ A1",,,1,
180299,30,mouth,"*tei C1",,,17,
180300,31,tooth,"*wan A2",,,1,
180301,32,tongue,"*ŋwa: A2",,,2,
180302,33,"to laugh","*he:m C1",,,71,
180303,34,"to cry","*piə A1",,,40,
180304,35,"to vomit","*ʔjok D1",,,24,
180305,36,"to spit","*phui A1",,,66,
180306,37,"to eat","*tsen A1",,,27,
180307,39,"to cook","*tɔ: C1",,,62,
180308,40,"to drink","*hɔ:p D1",Chinese,L,39,
180309,41,"to bite","*kat D1",,,1,
180310,43,ear,"*ja A2",,,28,
180311,45,eye,"*pla A1",,,1,
180312,46,"to see","*ʔwei B1",,,66,
180313,48,"to sleep","*hep D1",,,17,
180314,51,"to sit","*ʔniŋ B1",,,64,
180315,52,"to stand","*ʔju:n A1",,,45,
180316,53,"person/human being","*ɲun A2",Chinese,L,,
180317,54,man/male,"*klei A1",,,,
180318,55,woman/female,"*kl-Na:u C1","young girl",,22,
180319,56,child,"*lak D2",,,1,
180320,61,house,"*liək D2",,,24,
180321,63,name,"*ʔja:n A","PAN *ŋajan",,8,
180322,66,"to tie up, fasten","*fat D1",,,,
180323,68,needle,"*them A1",,,26,
180324,70,"to shoot","*dziə B2",Chinese,L,,
180325,73,"to steal","*glak D2","PAN *Cakaw ?",,34,
180326,75,"to die, be dead","*plei A1",,,1,
180327,76,"to live, be alive","*ɲeu A2",,,47,
180328,77,"to scratch","*ʔjau A1",,,,
180329,78,"to cut, hack","*klam B1",,,93?,
180330,79,stick/wood,"*ʔmi: C2",,,8?,
180331,81,sharp,"*rei B2",,,47,
180332,87,"to swell","*wok D2",swollen,,54,
180405,88,"to squeeze","*glan C2",,,,
180406,88,"to squeeze","*ʔnam B1",,,,
180334,90,"to dig","*ʔwe:t D1",,,32,
180335,91,"to buy","*wlei C2","PAN *beli",,1,
180336,92,"to open, uncover","*ha:i A1",Chinese,L,,
180337,96,dog,"*kh-Nuə A1",,,,
180338,97,bird,"*ʔmlok D1",,,1,
180339,98,egg,"*lɔ:m B2",,,45,
180340,100,wing,"*wiət D2",,,54,
180341,101,"to fly","*pən B1",,,54,
180342,102,rat,"*kliu C1",,,59?,
180343,103,meat/flesh,"*mɔm B2",,,57,
180407,104,fat/grease,"*bui A2",,,62,
180408,104,fat/grease,"*ka:u A1",oil,,,
180345,105,tail,"*kliəŋ A1",,,51,
180346,106,snake,"*ɲiə A2",,,51,
180347,111,fish,"*phla: A1",,,64,
180348,113,branch,"*tsh-Nɛ: B",,,26,
180349,114,leaf,"*ʔwa: A1",,,2?,
180350,115,root,"*kan A1",,,30,
180351,117,fruit,"*lak D2",,,,
180352,118,grass,"*khla:k D1",,,10,
180353,120,stone,"*fa:ŋ A1",,,5,
180354,122,water,"*num C2",,,1,
180355,125,salt,"*kliə A1",,,21,
180356,128,sky,"*ʔbən A1",,,51,
180357,129,moon,"*ʔbiən A1",,,1?,
180358,130,star,"*ʔblet D1","PAN *bituqen",,44,
180359,131,cloud,"*hwa: C1",,,72,
180360,133,rain,"*fen A1",,,37,
180361,134,thunder,"*pla: B",,,60,
180362,136,wind,"*jom A2",,,64,
180363,137,"to blow","*phu: B1",,,54,
180364,138,warm,"*khla:n C1",,,66,
180365,139,cold,"*khl-Ni:t D1",,,71?,
180366,142,heavy,"*tsak D1",,,44,
180367,143,fire,"*pui A1",,,1,
180368,145,smoke,"*ʔɲi:n A1",,,,
180369,146,ash,"*bleu C",,,39,
180370,147,black,"*ʔlam A",,,1,
180371,148,white,"*biək D2",Chinese,L,61,
180372,149,red,"*kɔ:ŋ B1",,,62,
180373,153,big,"*ʔbok D1",,,62,
180374,155,long,"*rai A",,,65,
180403,156,thin,"*khuən C1",,,,
180404,156,thin,"*ʔwa:ŋ A1",,,39,
180376,157,thick,"*ts-Na: A",,,47,
180377,158,narrow,"*je:p D2",,,45,
180378,160,"painful, sick","*tse:t D1",,,61,
180379,163,new,"*w-Nai B2",,,30?,
180380,164,good,"*ʔlai A1",,,87?,
180381,166,"correct, true","*duk D2",,,49?,
180382,167,night,"*mblau A2",,,54,
180383,168,day,"*wan A2",,,41,
180384,169,year,"*pei A1",,,52,
180385,171,"to hide","*tsheu A1",,,,
180386,172,"to climb","*bla: A2","to ascend",,,
180387,179,near,"*dzɛn C",,,50,
180388,180,far,"*ba: A2",,,53,
180389,183,thou,"*ma: A2",,,1,
180390,197,One,"*ʔŋin C1",,,11,
180391,198,Two,"*hou C1","could be set 1 (LS)",,14,
180392,199,Three,"*sa:m A1",Chinese,L,,
180393,200,Four,"*sei B1",Chinese,L,,
180394,201,Five,"*ʔŋɔ C2",Chinese,L,,
180395,202,Six,"*lɔk D2",Chinese,L,,
180396,203,Seven,"*thet D1",Chinese,L,,
180397,204,Eight,"*pa:t D1",Chinese,L,,
180398,205,Nine,"*tseu C1",Chinese,L,,
180399,206,Ten,"*dzep D2",Chinese,L,,
180400,209,"One Hundred","*pɛ:k D1",Chinese,L,,
