id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
706,Yonamine,"Shiro Hattori",,,"Hattori, S. (1961) A Glottochronological Study on Three Okinawan Dialects. International Journal of American Linguistics. 27, 52-62.",,"Japonic, Ryukyuan, Amami-Okinawan, Northern Amami-Okinawan","Thomas M Dougherty",,"@book{95839,  address               = {International Journal of American Linguistics, 27(1)},  pages                 = {1-21},  publisher             = {52-62},  title                 = {A Glottochronological Study on Three Okinawan Dialects},  year                  = {1961},  asjp_name             = {Okinawan, Central Shuri, Kunigami, Okinawan, Central Naha, Japanese Kyoto dialect},  bibtexkey             = {hattori_glottochronological-okinawan1961},  document_type         = {P},  hhtype                = {dialectology},  inlg                  = {English [eng]},  inlg_code             = {eng},  macro_area            = {Eurasia},  mpi_eva_library_shelf = {please ask library staff},  src                   = {asjp2010, mpieva},  srctrickle            = {asjp2010#2691, asjp2010#3436, asjp2010#3467, asjp2010#4485, mpieva#Hattori1961Abstract},  author                = {Hattori, Shiro}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
181252,1,hand,ʔudii,arm,,,
181537,1,hand,tii,,,38,
181627,2,left,πizai,,,,
181762,3,right,zirii,"right (hand)",,,
181497,4,leg/foot,pisaa,foot,,,
181632,4,leg/foot,pisaa,leg,,,
182022,5,"to walk",ʔaccun,,,,
181767,6,road/path,micii,road,,,
181347,7,"to come",Sun,,,,
182002,8,"to turn",magaarun,,,,
181927,9,"to swim",ʔuizun,,,,
181382,10,dirty,pagoosen,,,,
181407,11,dust,puκui,,,,
181842,12,skin,haa,,,,
181267,13,back,nagaarii,,,,
181277,14,belly,waτaa,,,,
181312,15,bone,puni,,,,
181527,16,intestines,waτaa,guts,,,
181647,17,liver,cimuu,,,,
181317,18,breast,nii,,,,
181607,20,"to know, be knowledgeable",siccun,"to know",,,
181962,21,"to think",kangeerun,,,,
181452,22,"to fear","huτurusaa sun",,,,
181302,23,blood,cii,,,,
181547,24,head,cinbu,,,,
181702,25,neck,κubii,,,,
181532,26,hair,kii,,,,
181722,27,nose,panaa,,,,
181322,28,"to breathe","ʔici sun",,,,
181682,30,mouth,kucii,,,,
181997,31,tooth,paa,,,,
181992,32,tongue,subaa,,,,
181617,33,"to laugh",waren,,,,
181357,34,"to cry",nacun,,,,
182017,35,"to vomit",pacun,,,,
181877,36,"to spit",pacizasun,,,,
181422,37,"to eat",κen,,,,
181352,39,"to cook",nun,,,,
181392,40,"to drink",numin,,,,
181292,41,"to bite",κuurun,,,,
181917,42,"to suck",sipuurun,,,,
181412,43,ear,mimii,,,,
181552,44,"to hear",hicun,,,,
181432,45,eye,mii,,,,
181807,46,"to see",mjun,,,,
181852,48,"to sleep",ninbin,,,,
181637,49,"to lie down",ninτun,"to lie",,,
181832,51,"to sit",iccun,,,,
181897,52,"to stand",taccun,,,,
181742,53,"person/human being",cuu,person,,,
181662,54,man/male,iκigaa,man,,,
182087,55,woman/female,inaaguu,woman,,,
181332,56,child,waraabii,,,,
181587,57,husband,uττuu,,,,
182072,58,wife,tuzii,,,,
181677,59,mother,ʔamu,,,,
181447,60,father,caacaa,,,,
181687,63,name,naa,,,,
181792,64,"to say",ʔyun,,,,
181872,64,"to say","panaasi sun","to speak",,,
181777,65,rope,cinaa,,,,
181987,66,"to tie up, fasten",musiibin,"to tie",,,
181817,67,"to sew",noorun,,,,
181582,69,"to hunt",?,,,,
181822,70,"to shoot",ʔin,,,,
181892,71,"to stab, pierce",siκκunsun,"to stab",,,
181562,72,"to hit",pisiizun,,,,
181602,74,"to kill",kuruusun,,,,
181372,75,"to die, be dead",sinun,"to die",,,
181642,76,"to live, be alive",hicicun,"to live",,,
181797,77,"to scratch",hacun,,,,
181362,78,"to cut, hack",cin,"to cut",,,
181907,79,stick/wood,bunziri,stick,,,
181882,80,"to split",saκirun,,,,
182147,81,sharp,tacun,,,,
181402,82,"dull, blunt",taτanu,dull,,,
182097,83,"to work",paτaaracun,,,,
181922,87,"to swell",puκκin,,,,
181887,88,"to squeeze",simirun,,,,
181567,89,"to hold",mucun,,,,
181377,90,"to dig",pun,,,,
181982,94,"to throw",nagirun,,,,
181437,95,"to fall",huτirun,,,,
181387,96,dog,ʔinnuκwaa,,,,
181287,97,bird,gaatui,,,,
182127,98,egg,huga,,,,
181457,99,feather,panii,,,,
182082,100,wing,panii,,,,
181487,101,"to fly",tubin,,,,
181667,103,meat/flesh,sii,meat,,,
181932,105,tail,zuu,,,,
181867,106,snake,?,,,,
182102,107,"worm (earthworm)",musii,worm,,,
181657,108,louse,siraami,,,,
181577,109,mosquito,pyaakuu,hundred,,,
181467,111,fish,ʔyuu,,,,
182142,112,rotten,κuccuinu,,,,
181622,114,leaf,paa,,,,
181772,115,root,nii,,,,
181482,116,flower,panaa,,,,
181507,117,fruit,nai,,,,
181517,118,grass,kusaa,,,,
181417,119,earth/soil,micaa,earth,,,
181912,120,stone,ʔisii,,,,
181787,121,sand,sinaa,,,,
182032,122,water,mizii,,,,
181477,123,"to flow",nagaarin,,,,
181802,124,sea,ʔumi,,,,
181782,125,salt,masu,,,,
181612,126,lake,?,,,,
182092,127,woods/forest,?,woods,,,
181847,128,sky,tinτoo,,,,
181672,129,moon,hicuu,,,,
181902,130,star,pusii,,,,
181337,131,cloud,κumuu,,,,
181492,132,fog,cirii,,,,
181747,133,rain,"ʔamii-nu pun","to rain",,,
182077,136,wind,hazii,,,,
181307,137,"to blow",pucun,,,,
182027,138,warm,nuκusen,,,,
181342,139,cold,piisen,,,,
181397,140,dry,haaracuinu,,,,
182037,141,wet,diiτuinu,,,,
181557,142,heavy,ʔubuusen,,,,
181462,143,fire,πii,,,,
181327,144,"to burn",muirun,"to burn (itr)",,,
181862,145,smoke,kibuusi,,,,
181257,146,ash,pee,ashes,,,
181297,147,black,κurusen,,,,
182057,148,white,sirusen,,,,
181752,149,red,haкaasen,,,,
182117,150,yellow,"ʔawaa ʔiru",,,,
181522,151,green,ʔoosen,,,,
181857,152,small,gumaasen,,,,
181282,153,big,magisen,,,,
181827,154,short,ʔincasen,,,,
181652,155,long,nagaasen,,,,
181957,156,thin,πissen,,,,
181952,157,thick,haciisen,,,,
181692,158,narrow,ʔibaasen,,,,
182067,159,wide,πirusen,,,,
181732,162,old,purusen,,,,
181707,163,new,miisen,,,,
181512,164,good,yuτaasen,,,,
181272,165,"bad, evil",wassen,bad,,,
181757,166,"correct, true",yuтaasen,"right (correct)",,,
181712,167,night,yuruu,,,,
181367,168,day,πiruu,,,,
182112,169,year,tusii,,,,
182047,170,when?,hicii,when,,,
181262,173,at,-nee,,,,
181597,174,"in, inside",nee,in,,,
181967,177,this,hurii,,,,
181942,178,that,ʔarii,,,,
181697,179,near,hicaasen,,,,
181442,180,far,tuusen,,,,
182052,181,where?,daa,where,,,
182132,182,I,wanuu,,,,
181972,183,thou,ʔyaa,,,,
181542,184,he/she,ʔanucuu,he,,,
182152,185,we,waττaa,,,,
182107,186,you,ʔiττaa,ye,,,
181947,187,they,ʔariτaa,,,,
182042,188,what?,nuu,what,,,
182062,189,who?,taruu,who,,,
182137,190,other,biciinu,,,,
181242,191,all,muruu,,,,
181247,192,and,-τu,,,,
181592,193,if,musi,,,,
181572,194,how?,cansi,how,,,
181727,195,"no, not",neenu,not,,,
182122,196,"to count",yumin,,,,
181737,197,One,τiici,,,,
182012,198,Two,τaaci,,,,
181977,199,Three,miici,,,,
181502,200,Four,yuuci,,,,
181472,201,Five,hiciccii,,,,
181837,202,Six,muuci,,,,
181812,203,Seven,nanaccii,,,,
181427,204,Eight,yaaci,,,,
181717,205,Nine,kukunucci,,,,
181937,206,Ten,tuu,,,,
182007,207,Twenty,nizuu,,,,
