id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
709,Proto-Bisayan,"David Paul Zorc",,bisa1268,"Zorc, David Paul. The Bisayan Dialects of the Philippines: Subgrouping and Reconstruction. Canberra, Australia: Dept. of Linguistics, Research School of Pacific Studies, Australian National University, 1977.ø = Absence of a consonant in positions where consonants typically occur (Zorc 1977:206).",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan","Andrew C. Hsiu",,"@book{27594,  address               = {Canberra},  note                  = {Includes index Bibliography: p. 313-328},  pages                 = {xxi+328},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {The Bisayan Dialects of the Philippines: Subgrouping and Reconstruction},  volume                = {44},  year                  = {1977},  bibtexkey             = {zorc_bisayan-philippines1977},  class_loc             = {PL5629},  document_type         = {CF},  fn                    = {papua\zorc_bisayan1977_o.pdf},  fnnote                = {pdf, 3,01 MB},  hhtype                = {overview;comparative},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831575},  macro_area            = {Papua},  mpi_eva_library_shelf = {please ask library staff for CD-ROM \"Pacific linguistics C + D\"},  mpifn                 = {bisayan_zorc1977_o.pdf},  src                   = {hh, mpieva},  srctrickle            = {hh#hv:Zorc:Bisayan, mpieva#Zorc1977TheBisay},  subject_headings      = {Bisayan languages–Dialects, Bisayan languages–Grammar, Bisayan languages–Classification, Proto-Bisayan language, Bisayan languages–Dialects – Bisayan languages–Grammar – Bisayan languages–Classification – Proto-Bisayan language},  author                = {Zorc, R. David Paul}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
182599,2,left,*waláh,,,"25,68",
182600,3,right,*tuqúh,,,"5,25",
182601,5,"to walk",*baktas,"alternative: *bágtas",,,
182602,6,road/path,*q<al>agiø-an,,,,
182715,7,"to come",*qabút,,,,
182716,7,"to come",*kanhi,,,,
182604,10,dirty,*hígkəq,,,,
182605,12,skin,*pánit,,,,
182606,13,back,*likúd,,,1,
182717,20,"to know, be knowledgeable",*sáyud,,,,
182718,20,"to know, be knowledgeable",*[hi-]badúø,,,107,
182719,21,"to think",*qísip,,,46,
182720,21,"to think",*palánduŋ,"to consider, think over",,,
182609,22,"to fear",*hadlək,,,16,
182610,23,blood,*dugúq,,,16,
182611,24,head,*qúluh,,,1,
182612,25,neck,*taŋkəgəq,"nape of the neck",,,
182613,28,"to breathe",*ginháwa,,,"1,70",
182614,30,mouth,*baqbaq,,,1,
182615,32,tongue,*dílaq,,,4,
182616,35,"to vomit",*digwaq,,,,
182617,37,"to eat",*káqən,,,"1,14",
182721,38,"to chew",*mamáq,,,1,
182722,38,"to chew",*qúsap,,,"17,18",
182619,39,"to cook",*lútuq,,,20,
182620,40,"to drink",*qinúm,,,1,
182723,41,"to bite",*qáŋkab,,,,
182724,41,"to bite",*paŋút,,,,
182725,44,"to hear",*batíq,,,20,
182726,44,"to hear",*památiq,,,20,
182623,45,eye,*matáø,,,1,
182624,46,"to see",*kítaq,,,1,
182625,47,"to yawn",*huyqab,,,"19,38",
182727,48,"to sleep",*dudúg,,,,
182728,48,"to sleep",*qúbay,,,,
182627,49,"to lie down",*kuláŋ,,,,
182628,50,"to dream",*dámgu,,,21,
182729,51,"to sit",*liŋkud,,,45,
