id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
711,"Kalinga (Minangali)","Kenneth S. Olson, et. al.",kml,lowe1412,"ISO 639–3: kml Source: Olson, Kenneth S., Glenn Machlan, and Nelson Amangao. \"Minangali (Kalinga) Digital Wordlist: Presentation Form.\" In Language Documentation & Conservation, Vol. 2, No. 1 (June 2008), pp. 141-156. University of Hawai'i, 2008.Recorded in 2006 at the SIL Center in Bagabag, Nueva Vizcaya Province, Philippines.","ḻ = IPA /ð̞/","Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, North Central Cordilleran, Kalinga-Itneg, Kalinga","Andrew C. Hsiu",,"@article{olson2008,  title   = {Minangali (Kalinga) Digital Wordlist: Presentation Form.},  journal = {Language Documentation & Conservation},  volume  = {2},  pages   = {141-156},  year    = {2008},  number  = {1},  author  = {Olson, Kenneth S. and Machlan, Glenn and Amangao, Nelson}}"
latitude,longitude
17.34406999999999854367,121.31148000000000308773
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
182927,1,hand,ima,,,"1,65",
182928,2,left,dawigi,"*R > Kla /l/",L,,
182929,3,right,dawinan,,,"1,75",
182930,4,leg/foot,uki,,,71,
182931,5,"to walk",anaddaḻan,"morphology: aN-CVCdálan",,21,
182932,6,road/path,kaḻsa,Spanish,L,,
182933,7,"to come",umali,,,1,
182934,8,"to turn",amballigus,,,128,
182935,9,"to swim",ankiyat,,,37,
182936,10,dirty,kaissaw,,,56,
183098,11,dust,tapuk,"dust on trail",,47,
183099,11,dust,gabu,"dust in yard",,59,
182938,12,skin,kublit,,,"1,76",
182939,13,back,odog,,,21,
182940,14,belly,buwang,,,51,
182941,15,bone,tung-aḻ,,,1,
182942,16,intestines,botak,,,,
182943,17,liver,agtoy,,L,,
182944,18,breast,baḻukung,chest,,,
182945,20,"to know, be knowledgeable",igammu,,,"25,28",
182946,21,"to think",somsomok,,,44,
182947,22,"to fear",makimut,,,,
182948,23,blood,daḻa,,,1,
182949,24,head,uḻu,,,1,
182950,25,neck,bagang,,,73,
182951,26,hair,buuk,,,"1,65",
