id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
715,Proto-Kam-Sui,"Graham Thurgood",,kams1241,"Source: Thurgood, Graham. 1988. \"Notes on the reconstruction of Proto-Kam-Sui.\" In Jerold A. Edmondson and David B. Solnit (eds.), Comparative Kadai: Linguistic studies beyond Tai, 179-218. Summer Institute of Linguistics Publications in Linguistics, 86. Dallas: Summer Institute of Linguistics and the University of Texas at Arlington.Proto-Kam-Sui tones:1 = Tone *A, voiceless2 = Tone *A, voiced3 = Tone *C, voiceless4 = Tone *C, voiced5 = Tone *B, voiceless6 = Tone *B, voiced7 = Tone *D, voiceless8 = Tone *D, voiced","Thurgood's reconstructions are still preliminary and are derived from limited data sets.","Tai-Kadai, Kam-Tai, Kam-Sui","Andrew C. Hsiu",,"@incollection{64879,  booktitle  = {Comparative Kadai: Linguistic Studies Beyond Tai},  pages      = {179-218},  publisher  = {The Summer Institute of Linguistics and the University of Texas at Arlington},  series     = {Summer Institute of Linguistics: Publications in Linguistics},  title      = {Notes in the Reconstruction of Proto-Kam-Sui},  volume     = {86},  year       = {1988},  bibtexkey  = {thurgood_kam-sui1988},  country    = {China [CN]},  fn         = {eurasia\thurgood_kam-sui1988.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Eurasia},  sil_id     = {22230},  src        = {hh, sil16},  srctrickle = {hh#hv:Thurgood:Proto-Kam-Sui, sil16#22230},  subject    = {Comparative and historical studies [CHL]},  author     = {Thurgood, Graham},  editor     = {Edmondson, Jerold A. and Solnit, David B.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
183775,1,hand,*k-mja1-t,,,1,
183776,3,right,*hwa1,,,1?,
183884,4,leg/foot,*kwa1,leg,,42,
183885,4,leg/foot,*ti:n1,foot,,12,
183886,5,"to walk",*pa:i1,"to go, walk",,54,
183887,5,"to walk",*cha:m3,"to walk, crawl",,75,
183888,7,"to come",*hma1,"to arrive",,1,
183889,7,"to come",*taŋ1,reach,,4,
183780,12,skin,*hŋra1,,,,
183890,13,back,*hla:i1,back[bone],,63,
183891,13,back,*lun2,"back, behind",,,
183782,14,belly,*luŋ2,,,59,
183783,15,bone,*tla:k7,,,4,
183784,16,intestines,*khja:i3,,,47,
183785,17,liver,*tap7,,,1?,
183786,23,blood,*phla:t7,,,28,
183787,24,head,*kru3-f,,,1,
183788,26,hair,*pram1,,,47,
183789,27,nose,*ʔnaŋ1,,,1,
183790,29,"to sniff, smell",*nun4,,,38,
183791,30,mouth,*pa:k7,,,1?,
183792,31,tooth,*pjwan1,,,1,
183793,32,tongue,*ma2,,,1,
183794,33,"to laugh",*kru1,,,72,
183795,34,"to cry",*ʔȵe3-i,,,51,
183796,35,"to vomit",*trwak7,,,1,
183797,37,"to eat",*ca:n1,,,1,
183892,38,"to chew",*hma:k7,,,38,
183893,38,"to chew",*hna:i5,,,40,
183799,40,"to drink",*trwap7,,,,
183800,41,"to bite",*krip7,,,29,
183801,43,ear,*khra1,,,8,
183802,45,eye,*thla1,,,1?,
183894,46,"to see",*ʔlun1,,,,
183895,46,"to see",*ɗai3,,,68,
183804,48,"to sleep",*nu:n2,,,66,
183805,50,"to dream",*pwjan1,,,8,
183806,51,"to sit",*dzu:i6-t,Chinese,L,,
183807,53,"person/human being",*la:k8,"= child",,,
183808,54,man/male,*mpa:n1,,,52,
183809,55,woman/female,*ɓja:k7,,,,
183810,56,child,*la:k8,,,1,
183811,57,husband,*ʔre1,,,35,
183812,61,house,*hra:n1,,,46,
183813,65,rope,*ʔla:k7,,,30,
183814,72,"to hit",*dai2,,,,
183815,73,"to steal",*hljak7,,,34,
183816,75,"to die, be dead",*pjai1,,,1,
183817,76,"to live, be alive",*ɗip7,"raw, live",,1,
183896,78,"to cut, hack",*kat7,,,,
183897,78,"to cut, hack",*ka:t7,,,,
183898,80,"to split",*pha5,,,58,
183899,80,"to split",*hma:k7,,,,
183820,81,sharp,*hra:i5,"to be sharp",,47?,
183821,82,"dull, blunt",*dip8,,,,
183900,84,"to plant",*mpra1,,,1,
183901,84,"to plant",*ljum2,,,,
183902,84,"to plant",*ʔdram1,"to transplant (rice seedlings)",,,
183823,85,"to choose",*la:i6,,,26,
183824,91,"to buy",*trai3,,,35,
183903,95,"to fall",*tuk7,"to drop",,76,
183904,95,"to fall",*lai4,fall,,,
183826,96,dog,*k-hma1,,,61,
183827,97,bird,*mluk8,,,1,
183828,98,egg,*krai5,,,41,
183829,100,wing,*pwa5,,,53,
183830,102,rat,*hnu3,,,59,
183831,103,meat/flesh,*na:n4,,,58,
183832,104,fat/grease,*man2,oil,,1,
183833,105,tail,*khjut7,,,,
183834,106,snake,*dzu:i2,,,52,
183835,107,"worm (earthworm)",*dzan4,,,44,
183836,108,louse,*nan1'',,,,
183905,111,fish,*mprai3,,,64,
183906,111,fish,*pa1,,,64,
183907,111,fish,*mum6,,,63,
183838,112,rotten,*na:u6,,,34,
183908,113,branch,*ʔŋa5,,,29,
183909,113,branch,*ciŋ5,,,,
183840,114,leaf,*pwa5,,,2?,
183841,115,root,*kja:ŋ1,,,,
183842,116,flower,*nuk7'',,,22,
183843,119,earth/soil,*di6,,,58,
183844,120,stone,*pra1,,,27,
183845,122,water,*ȵam3-ti,,,1?,
183846,127,woods/forest,*ɗuŋ1,,,,
183847,128,sky,*ɓun1,,,51,
183848,129,moon,*nüa:n1'',,,1,
183910,130,star,*hmlut7,,,,
183911,130,star,*ʔdra:u1,,,1?,
183850,131,cloud,*m-xwa3,,,72,
183851,132,fog,*muk8,,,53,
183852,133,rain,*xwin1,,,37,
183912,134,thunder,*pra3,,,60,
183913,134,thunder,*lai6,,,,
183914,134,thunder,*ti:n3,,,,
183854,135,lightning,*ʔdla:p7,,,55,
183855,136,wind,*hlwum1,,,63,
183915,137,"to blow",*hwa:t7,"to blow (wind)",,,
183916,137,"to blow",*dzup8,,,1?,
183857,139,cold,*hnu1,,,72,
183858,141,wet,*ʔrak7,,,60?,
183859,143,fire,*pwai1,,,1,
183917,146,ash,*phwu:k7,,,38,
183918,146,ash,phla:u5,,,39,
183861,147,black,*ʔnam1,,,1,
183862,154,short,*thrin3,,,64,
183863,155,long,*ʔra:i3,,,65,
183864,156,thin,*ɓwa:ŋ1,,,39?,
183865,157,thick,*ʔna1,,,47,
183866,162,old,*ka:u5-v,"old (of things)",,93,
183867,163,new,*hmai5,,,34,
183868,164,good,*ɗa:i1,,,87,
183869,165,"bad, evil",*hwa:i6-t,Chinese,L,,
183870,167,night,*ʔȵam5,evening,,55,
183871,168,day,*hŋwan1,,,41?,
183872,169,year,*mpe1,,,52,
183873,172,"to climb",*cha5,"to ascend",,26,
183874,176,below,*te3,,,50,
183875,177,this,*na:i6,,,1,
183876,179,near,*phlai5,,,73,
183877,180,far,*kla:i1-v,,,54,
183878,185,we,*tra:u1,inclusive,,11,
