id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
724,"Ong Be (Lincheng)","Liang Min",onb,ling1262,"ISO 639-3: onb Also called Lingao (临高) in China. The Lincheng (临城) dialect, which is the prestige/standard one, is used.Source: 梁敏/Liang, Min. 临高語研究/Lingao yu yan jiu (A Study of Lingao). 上海/Shanghai: 上海远东出版社/Shanghai yuan dong chu ban she, 1997.Tones (source does not use 5 or 6 for Lincheng):1 = /213/2 = /55/3 = /33/4 = /11/7 = /33/ - Tone *D8 = /55/ - Tone *D",,"Tai-Kadai, Kam-Tai, Lakkja","Andrew C. Hsiu",,"@book{150187,  address       = {Shanghai},  pages         = {335},  publisher     = {Shanghai Far East Publishers},  title         = {Lingao yu yanjiu},  year          = {1997},  bibtexkey     = {liang-zhang_lingao-yanjiu1997},  fn            = {eurasia\liang-zhang_lingao1997.pdf},  hhtype        = {grammar},  inlg          = {Chinese Mandarin [cmn]},  inlg_code     = {eng},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#g:LiangZhang:Lingao},  title_english = {The Lingao language},  author        = {Liang, Min and Zhang, Junru}}"
latitude,longitude
19.86336999999999974875,109.97126000000000090040
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
185765,1,hand,mɔ2,,,1,
185766,4,leg/foot,kok7,foot,,31,
185767,5,"to walk",bɔi1,,,,
185768,6,road/path,sun1,,,,
185965,7,"to come",mia2,,,1,
185966,7,"to come",dɔŋ1,"to arrive",,4,
185770,9,"to swim",ləi2,,,64,
185771,11,dust,"bɔn4 boŋ2",,,7,
185772,12,skin,bau2,(?),,,
185773,13,back,"dau3 lɔi2",,,,
185774,14,belly,boʔ8,,,46?,
185775,15,bone,uaʔ8,,,,
185776,16,intestines,tse4,,,48,
185777,17,liver,dɔp7,,,1?,
185778,18,breast,noʔ7,,,,
185779,19,shoulder,"bik7 via3",,,1,
185967,20,"to know, be knowledgeable",hu4,,,57,
185968,20,"to know, be knowledgeable",tɔk7,,,,
185781,21,"to think",tiaŋ3,Chinese,L,,
185782,22,"to fear",maŋ2,,,,
185783,23,blood,baʔ7,,,,
185784,24,head,hau3,,,1?,
185785,25,neck,liŋ4,,,50,
185969,26,hair,fui1,,,,
185970,26,hair,sɔu3,,,,
185787,27,nose,lɔng1,,,1,
185788,28,"to breathe","liaŋ4 xəi3",,,,
185971,29,"to sniff, smell",hɔm1,,,49,
185972,29,"to sniff, smell",miu3,,,48,
185790,30,mouth,bak7,,,1,
185791,31,tooth,tin1,,,1?,
185792,32,tongue,lin4,,,36,
185793,33,"to laugh",liau1,,,72,
185794,34,"to cry",ŋai3,,,52,
185795,35,"to vomit",duak8,,,1,
185796,36,"to spit",tai1,,,69,
185797,37,"to eat",kɔn1,,,1,
185798,38,"to chew",ŋian2,,,43,
185799,39,"to cook",huŋ2,,,67,
185800,40,"to drink",kɔn1,"= to eat",,21,
185959,41,"to bite",kap8,,,29,
185960,41,"to bite",kaʔ7,,,1,
185802,42,"to suck",maʔ7,,,,
185803,43,ear,sa1,,,8,
185804,44,"to hear",heŋ3,,,,
185805,45,eye,da1,,,1,
185806,46,"to see",dek8,,,,
185973,47,"to yawn","a3 bak7",,,,
185974,47,"to yawn","ȵə2 hu2",,,,
185808,48,"to sleep",lap7,,,69,
185809,49,"to lie down",lap7,,,,
185810,50,"to dream",vɔn2,,,8,
185811,51,"to sit",ŋo1,,,,
185812,52,"to stand",ȵun1,,,43,
185813,53,"person/human being","leŋ1 hun2",,,29,
185814,54,man/male,"da3 xiaŋ4",,,,
185815,55,woman/female,"mai4 lək8",,,61,
185816,56,child,lək8,,,1,
185817,57,husband,"da3 xiaŋ4",,,,
185818,58,wife,"mai4 lək8",,,42,
185819,59,mother,"mai4 lau4",,,39,
185820,60,father,"be2 lau4",,,,
185821,61,house,lan2,,,46,
185822,63,name,nɔi1,,,21,
185975,64,"to say",kaŋ3,,,86,
185976,64,"to say",bo1,,,,
185824,65,rope,dak8,,,,
185825,66,"to tie up, fasten",kat8,,,,
185826,67,"to sew",ȵap8,,,29,
185827,68,needle,ŋaʔ8,,,8?,
185828,70,"to shoot",ȵɔ2,,,,
185829,72,"to hit",kit7,,,,
185830,73,"to steal",lɔk8,,,34,
185831,74,"to kill",ka3,,,38,
185832,75,"to die, be dead",dai1,,,1,
185977,76,"to live, be alive",jɔu3,,,44,
185978,76,"to live, be alive",tiŋ2,,,,
185834,78,"to cut, hack",dam4,"to cut a tree",,93,
185835,79,stick/wood,dun3,"= tree",,16,
185836,80,"to split",fən1,Chinese,L,,
185837,83,"to work","huk7 koŋ1","koŋ1 = Chinese",L,,
185838,84,"to plant",sa1,,,,
185839,85,"to choose",liak8,,,26?,
185840,86,"to grow",ȵɔ3,,,,
185841,87,"to swell",kɔt8,,,,
185842,89,"to hold",ŋan1,,,,
185979,90,"to dig",uat7,"Chinese ?",L?,,
185980,90,"to dig",kuʔ8,,,36,
185844,91,"to buy",vian1,,,,
185845,92,"to open, uncover",xəi2,,,,
185981,93,"to pound, beat",nam2,,,,
185982,93,"to pound, beat",dum4,,,,
185847,96,dog,ma1,,,61,
185848,97,bird,nok8,,,1,
185849,98,egg,ȵum1,,,,
185850,99,feather,vun2,,,,
185851,100,wing,bik7,,,55,
185852,101,"to fly",vin1,,,54?,
185853,102,rat,nu1,,,59,
185854,103,meat/flesh,nan4,,,58,
185855,104,fat/grease,fui2,"Chinese; Qiongshan Ong Be: man5",,62?,
185856,105,tail,tuʔ7,,,,
185857,106,snake,ŋia2,,,50,
185983,107,"worm (earthworm)",nɔu2,earthworm,,,
