id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
736,Sui,"Wei Xuecun",swi,suii1243,"Wei Xuecun and Jerold A. Edmondson. Sui (Shui)-Chinese-Thai-English Dictionary. 2003. Salaya, Thailand: Mahidol University.The source's data was contributed primarily by Wei Xuecun, a native Sui speaker from Miaocao Village (苗草村), Sandu County (三都县), Guizhou, China.Tones:1 = /11/2 = /31/3 = /33/4 = /51/5 = /35/6 = /24/7 = /35/ (long), /55/ (short)8 = /42/ (long), /31/ (short)",,"Tai-Kadai, Kam-Tai, Kam-Sui","Andrew C. Hsiu",,"@book{Xuecun2003,  title     = {Sui (Shui)-Chinese-Thai-English Dictionary},  date      = {2003},  publisher = {Mahidol University},  language  = {en},  address   = {Salaya, Thailand},  author    = {Xuecun, Wei and Edmondson, Jerold A.}}"
latitude,longitude
25.80350999999999928036,108.01286000000000342425
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
188428,1,hand,mjə1,,,1,
188429,2,left,si4,,,46,
188430,3,right,fa1,,,1?,
188431,4,leg/foot,ȶau4,,,,
188628,5,"to walk",saam3,"to stroll",,75,
188629,5,"to walk",fui3,"go for a walk",,86,
188433,6,road/path,khun1,,,27,
188434,7,"to come",taŋ1,"to come, arrive",,4,
188435,8,"to turn","pan5 ⁿdən1",,,55,
188436,9,"to swim",lui2,,,64,
188630,10,dirty,ʔdaan3,,,,
188631,10,dirty,pjek7,,,,
188438,11,dust,vun1,,,33,
188439,12,skin,pi2,Chinese,L,,
188632,13,back,laai1,,,63,
188633,13,back,"ta3 laai1",,,63,
188441,14,belly,loŋ2,,,59,
188442,15,bone,laak7,,,4,
188443,16,intestines,haai4,,,48,
188444,17,liver,tap7,,,1?,
188445,18,breast,tju4,,,39,
188634,19,shoulder,"ku3 ha1",,,,
188635,19,shoulder,"ʔui1 ha1",,,,
188447,20,"to know, be knowledgeable",ɣo4,,,57,
188448,21,"to think",n̥i3,,,,
188449,23,blood,phjaat7,,,28,
188450,24,head,ku3,,,1,
188451,25,neck,qo4,,,52,
188452,26,hair,pjam1,,,47,
188453,27,nose,ʔnaŋ1,,,1,
188454,29,"to sniff, smell",nən4,,,38,
188455,30,mouth,paak7,,,1?,
188456,31,tooth,vjən1,,,1,
188457,32,tongue,"ʔu1 ma2",,,1,
188458,33,"to laugh",ku1,,,72,
188459,34,"to cry",ʔȵe3,,,51,
188460,35,"to vomit",kun5,,,,
188461,36,"to spit",ȶi2,,,69,
188636,37,"to eat",ʔman3,,,,
188637,37,"to eat",tsjə1,,,27,
188463,38,"to chew",m̥aak7,,,38,
188464,39,"to cook",ɕuŋ1,,,,
188638,40,"to drink",ɣəm4,,,37,
188639,40,"to drink",ɣum4,,,37,
188466,42,"to suck",ɕut7,,,,
188467,43,ear,qha1,,,27,
188468,44,"to hear",ŋ̥ai5,,,35,
188469,45,eye,ⁿda1,,,1,
188640,46,"to see",ⁿdo3,,,68,
188641,46,"to see",qau5,,,69,
188471,47,"to yawn",kho1,,,17?,
188472,48,"to sleep",n̥ak7,,,39,
188473,49,"to lie down",n̥ak7,,,,
188474,50,"to dream","sə3 vjan1","PAN *Sepi",,8,
188475,51,"to sit",fui6,,,,
188476,52,"to stand",tau6,,,,
188642,53,"person/human being",tak8,,,,
188643,53,"person/human being",zən1,Chinese,L,,
188644,54,man/male,ᵐbaan1,,,52,
188645,54,man/male,"ʔai3 ʔbaan1",,,52,
188646,55,woman/female,ni4,,,,
188648,56,child,laak8,,,1,
188649,56,child,"qa1 laak8","children, offspring",,1,
188481,57,husband,ʔɣe1,,,35,
188482,58,wife,ɕa3,,,,
188483,59,mother,ni4,,,38,
188484,60,father,pu4,,,26,
188485,61,house,ɣaan2,,,46,
188486,62,thatch/roof,"qum1 ɣaan2",,,,
188487,63,name,ʔdaan1,,,8,
188488,64,"to say",fan2,,,,
188489,65,rope,laak7,,,30,
188490,66,"to tie up, fasten",ⁿdo1,,,,
188491,67,"to sew",tip7,,,29?,
188492,68,needle,sum1,,,26,
188493,69,"to hunt","ho4 naan4",,,21?,
188494,70,"to shoot",peŋ5,,,6,
188650,71,"to stab, pierce",ɣok8,,,,
188651,71,"to stab, pierce",ɕaat7,"to stab, poke, insert",,,
188652,72,"to hit",ta5,,,,
188653,72,"to hit",ta6,,,,
188654,72,"to hit",tui2,,,,
188497,73,"to steal","fe4 ljak7",,,34,
188498,74,"to kill",ʔɣok8,,,,
188499,75,"to die, be dead",tai1,,,1,
188500,76,"to live, be alive",ɕu3,,,49,
188501,77,"to scratch",kwaai4,,,1?,
188502,78,"to cut, hack",pjam3,,,,
188503,79,stick/wood,mai52,,,8,
188504,80,"to split",la5,"to split or hack (firewood)",,,
188505,81,sharp,ɕə1,,,,
188506,82,"dull, blunt",tum1,,,,
188507,84,"to plant",ho4,,,,
188508,85,"to choose",laai6,,,26,
188655,86,"to grow",hum3,,,,
188656,86,"to grow",tum5,,,,
188510,87,"to swell",ʔɣum5,,,,
188657,88,"to squeeze",taak7,,,,
188658,88,"to squeeze",pan3,,,58,
188659,90,"to dig",tsət8,,,,
188660,90,"to dig",qok7,"to carve, dig, engrave, excavate",,,
188513,91,"to buy",ⁿdjai3,,,35,
188514,92,"to open, uncover",kaaŋ5,,,,
188515,93,"to pound, beat","tui2 ʔau4","to pound rice",,,
188516,94,"to throw",pan5,,,,
188517,95,"to fall",tok7,,,76,
188661,96,dog,m̥a1,,,61,
188662,96,dog,ȶhon33,,,,
188663,97,bird,nok8,,,1,
188664,97,bird,"to2 nok8",,,1,
188520,98,egg,kai5,,,41,
188521,99,feather,tsən1,,,,
188522,100,wing,va5,,,53,
188523,101,"to fly",vjən3,,,54,
188524,102,rat,n̥o3,,,59,
188665,103,meat/flesh,naan4,,,58,
188666,103,meat/flesh,ʔbjək7,,,,
188526,104,fat/grease,man2,,,1?,
188527,105,tail,hət8,,,,
188667,106,snake,hui2,,,52,
188668,106,snake,fui2,,,,
