id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
740,Proto-Malayic,"K. Alexander Adelaar",,mala1538,"Adelaar, K. Alexander. 1992. Proto-Malayic: The Reconstruction of its Phonology and Parts of its Lexicon and Morphology. Pacific Linguistics, Series C, no. 119. Canberra: Dept. of Linguistics, Research School of Pacific Studies, the Australian National University.",,"Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East, Malayic","Andrew C. Hsiu","Sander Adelaar","@book{48349,  address               = {Canberra},  note                  = {Includes bibliographical references (p. 236-243) and index.},  pages                 = {xi+253},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Proto malayic: the reconstruction of its phonology and parts of its lexicon and morphology},  volume                = {119},  year                  = {1992},  bibtexkey             = {adelaar_malayic-parts1992},  class_loc             = {PL5109},  document_type         = {B},  fn                    = {eurasia\adelaar_proto-malayic1992.pdf, eurasia\adelaar_proto-malayic1992_o.pdf, papua\adelaar_proto-malayic1992.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858834088},  macro_area            = {Eurasia, Papua},  mpi_eva_library_shelf = {PL 5109 ADE 1992},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Adelaar:Proto-Malayic, mpieva#Adelaar1992Protomal},  subject_headings      = {Proto-Malayan language–Phonology, Proto-Malayan language–Morphology, Reconstruction (Linguistics), Proto-Malayan language–Phonology – Proto-Malayan language–Morphology – Reconstruction (Linguistics)},  author                = {Adelaar, K. Alexander}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
189376,1,hand,*taŋan,,,18,
189574,2,left,*kA-iri,,,"1,42",
189575,2,left,*kibaʔ,,,27,
189378,3,right,*kanan,,,"1,73",
189379,4,leg/foot,*kaki,,,1,
189380,5,"to walk",*((mb)Ar-)jalan,,,21,
189381,6,road/path,*jalan,,,1,
189382,7,"to come",*datəŋ,,,14,
189383,8,"to turn",*biluk,,,24,
189384,9,"to swim",*(mb)A-rənaŋ,,,23,
189576,10,dirty,*kamah,,,35,
189577,10,dirty,*kumuh,,,,
189386,11,dust,*dəbu,,,58,
189387,12,skin,*kulit,,,1,
189388,13,back,*bAlakaŋ,,,27,
189389,14,belly,*pərut,,,32,
189390,15,bone,*tulaŋ,,,1,
189391,16,intestines,*pərut,,,23,
189392,17,liver,*hati,,,1,
189393,18,breast,*susu(ʔ),,,1,
189394,20,"to know, be knowledgeable",*tahu(ʔ),,,1,
189395,22,"to fear",*takut,,,1,
189396,23,blood,*darah,,,1,
189397,24,head,*hulu(ʔ),,,1,
189398,25,neck,*lihər,,,1,
189578,26,hair,*buø(uə)k,,,1,
189579,26,hair,*rambut,,,20,
189400,27,nose,*hiduŋ,,,1,
189401,28,"to breathe",*ñawa,,,1,
189402,30,mouth,*mulut,,,27,
189403,31,tooth,*gigi,,,17,
189404,32,tongue,*dilah,,,4,
189405,33,"to laugh",*tawaʔ,,,1,
189406,34,"to cry",*taŋis,,,1,
189407,35,"to vomit",*mu(n)tah,,,1,
189408,36,"to spit",*ludah,,,1,
189409,37,"to eat",*makan,,,1,
189580,38,"to chew",*kuñah,,,16,
189581,38,"to chew",*mamah,,,1,
189582,39,"to cook",*masak,,,19,
189583,39,"to cook",*tanak,,,1,
189412,40,"to drink",*inum,,,1,
189413,41,"to bite",*gigit,,,21,
189414,42,"to suck",*hi(ŋ)səp,,,1,
189415,43,ear,*tAliŋa(ʔ),,,1,
189416,44,"to hear",*dəŋər,,,1,
189417,45,eye,*mata,,,1,
189418,46,"to see",*lihat,,,23,
189419,47,"to yawn",*uap,,,19,
189420,48,"to sleep",*tidur,,,"1,70",
189584,50,"to dream",*mimpi,,,"1, 37",
189585,50,"to dream",*impi,,,"1, 37",
189422,51,"to sit",*duduk,,,35,
189423,52,"to stand",*diri,,,1,
189424,53,"person/human being",*uraŋ,,,20,
189425,54,man/male,*laki(-laki),,,2,
189426,56,child,*anak,,,1,
189427,57,husband,*laki,,,28,
189428,58,wife,*bini,,,5,
189586,59,mother,*ina,,,1,
189587,59,mother,*induʔ,,,10,
189588,59,mother,*(ə)ma(ʔ),,,35,
189430,60,father,*apa(ʔ),"ult. < Dravidian",L,12,
189431,61,house,*rumah,,,1,
189432,62,thatch/roof,*hatəp,,,1,
189433,64,"to say",*tutur,,,2,
189434,65,rope,*tali,,,1,
189435,66,"to tie up, fasten",*ikət,,,1,
189436,67,"to sew",*jahit,,,2,
189437,68,needle,*jarum,,,1,
189438,69,"to hunt",*buru,,,23,
189589,70,"to shoot",*panah,,,1,
189590,70,"to shoot",*timbak,,,49,
189591,71,"to stab, pierce",*tikəm,,,31,
189592,71,"to stab, pierce",*tusuk,,,1,
189593,72,"to hit",*paluʔ,,,1,
189594,72,"to hit",*pukul,,,27,
189442,73,"to steal",*maliŋ,,,16,
189443,74,"to kill",*bunuh,,,1,
189444,75,"to die, be dead",*mati,,,1,
189445,76,"to live, be alive",*hidup,,,"1,82",
189595,77,"to scratch",*garut,,,44,
189596,77,"to scratch",*garuk,,,20,
189597,77,"to scratch",*garuʔ,,,55,
189598,78,"to cut, hack",*tətək,,,3,
189599,78,"to cut, hack",*tarAs,,,1,
189448,79,stick/wood,*kayuʔ,,,1,
189449,80,"to split",*bəlah,,,1,
189450,81,sharp,*tajəm,,,1,
189451,82,"dull, blunt",*tumpul,,,3,
189452,83,"to work",*(mb)Ar-huma(ʔ),,,1,
189453,84,"to plant",*tanəm,,,2,
189454,85,"to choose",*pilih,,,1,
189455,86,"to grow",*tumbuh,,,1,
189456,87,"to swell",*bəŋkak,,,19,
189600,88,"to squeeze",*pərəs,,,42,
189601,88,"to squeeze",*pərah,,,1,
189458,89,"to hold",*pəgaŋ,,,32,
189459,90,"to dig",*kali,,,1,
189460,91,"to buy",*bəli,,,1,
189461,92,"to open, uncover",*bukaʔ,,,1,
189602,93,"to pound, beat",*tumbuk,,,9,
189603,93,"to pound, beat",*tutuk,,,2,
189604,95,"to fall",*jatuh,,,38,
189605,95,"to fall",*labuh,,,1,
189464,96,dog,*asuʔ,,,1,
189465,97,bird,*buruŋ,,,17,
189466,98,egg,*təlur,,,1,
189467,99,feather,*bulu,,,1,
189468,100,wing,*sayap,,,26,
189469,101,"to fly",*tAr(ə)baŋ,,,18,
189470,102,rat,*tikus,,,22,
189606,103,meat/flesh,*isiʔ,,,10,
189607,103,meat/flesh,*dagiŋ,,,26,
189472,104,fat/grease,*ləmək,,,24,
189473,105,tail,*ikur,,,1,
189474,106,snake,*ulər,,,2,
189608,107,"worm (earthworm)",*hulət,,,36,
189609,107,"worm (earthworm)",*caciŋ,,,23,
189476,108,louse,*kutu,,,1,
189477,109,mosquito,*ñamuk,,,1,
189610,110,spider,*lawaʔ,,,1,
189611,110,spider,*laba(ʔ),,,1,
189479,111,fish,*ikan,,,1,
189480,112,rotten,*busuk,,,56,
189481,113,branch,*dahan,,,1,
189482,114,leaf,*daun,,,1,
189483,115,root,*akar,,,2,
189484,116,flower,*buŋa(ʔ),,,1,
189485,117,fruit,*buah,,,1,
189486,118,grass,*rumput,,,27,
189487,119,earth/soil,*tanah,,,1,
189488,120,stone,*batu,,,1,
189489,121,sand,*pasir,,,18,
189490,122,water,*air,,,2,
189491,123,"to flow",*alir,,,1,
189492,124,sea,*tasik,,,1,
189493,125,salt,*sira,,,1,
189494,126,lake,*danaw,,,1,
189612,127,woods/forest,*hutan,,,7,
189613,127,woods/forest,*rimbaʔ,,,37,
189496,128,sky,*laŋit,,,1,
189497,129,moon,*bulan,,,1,
189498,130,star,*bintaŋ,,,1,
189499,131,cloud,*a(bw)an,,,1,
189500,132,fog,*kabut,,,1,
189501,133,rain,*hujan,,,1,
189614,134,thunder,*guntur,,,30,
189615,134,thunder,*guruh,,,1,
189503,135,lightning,*kilat,,,1,
189504,136,wind,*aŋin,,,1,
189505,137,"to blow",*tiup,,,"1,19",
189506,138,warm,*panas,,,1,
189507,139,cold,*diŋin,,,1,
189508,140,dry,*kəriŋ,,,22,
189509,141,wet,*basah,,,1,
189510,142,heavy,*bərat,,,1,
189511,143,fire,*api,,,1,
189616,144,"to burn",*tunu,,,1,
189617,144,"to burn",*bakar,,,25,
189513,145,smoke,*asəp,,,49,
189514,146,ash,*habu,,,1,
189515,147,black,*hitəm,,,1,
189516,148,white,*putih,,,1,
