id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
745,"Roglai, Northern","Maxwell Cobbey, Vurnell Cobbey",rog,nort2994,"Cobbey, Maxwell and Vurnell Cobbey. 1977. Suraq vungã sanãp Radlai / Nữ-vựng Rơglai / Northern Roglai vocabulary. Huntington Beach, CA: Summer Institute of Linguistics.",,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Highlands, Chru-Northern, Northern Cham","Andrew C. Hsiu",,"@book{161507,  address    = {Manila},  pages      = {163},  publisher  = {Summer Institute of Linguistics},  series     = {Tu sách ngôn-ngũ dân-t ôc thiêu-sô Viêt-Nam},  title      = {Suraq vungã sanãp Radlai = Ngũ-v\textsubdot{u}ng Roglai = Northern Roglai vocabulary},  volume     = {3},  year       = {1977},  bibtexkey  = {cobbey-cobbey_vunga-sanap1977},  country    = {Viet Nam [VN]},  fn         = {eurasia\cobbey-cobbey_northern-roglai1977.pdf},  hhtype     = {dictionary},  inlg       = {English [eng]},  inlg_code  = {rus},  macro_area = {Eurasia},  sil_id     = {15507},  src        = {hh, sil16},  srctrickle = {hh#d:CobbeyCobbey:Roglai, sil16#15507},  subject    = {Dictionaries and vocabularies [DAV]},  author     = {Cobbey, Vurnell and Cobbey, Maxwell E.}}"
latitude,longitude
12.19671999999999911779,108.84860000000000468390
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
190613,1,hand,tangãn,,,18,
190614,2,left,iãu,,,,
190615,3,right,hanuãq,,L,,
190802,5,"to walk",nãu,,,,
190803,5,"to walk",luva:q,,,,
190617,6,road/path,jala:t,,,1,
190618,7,"to come",truh,"to arrive",,,
190619,8,"to turn",weh,,,,
190620,9,"to swim",luai,,,29,
190621,11,dust,thun,,,,
190622,12,skin,cuhnõ:q,,,,
190623,14,belly,tuc,,,,
190624,15,bone,tula:c,,,,
190625,16,intestines,puaiq,,,23,
190626,17,liver,hatai,,,1,
190627,18,breast,tisơu,,,,
190628,19,shoulder,vara,,,1,
190629,20,"to know, be knowledgeable",thơu,,,1,
190630,21,"to think","sinĩng sidơ",,,,
190631,22,"to fear",hueq,,,,
190632,23,blood,darah,,,1,
190633,24,head,acoq,,,,
190634,25,neck,tacuai,,,55,
190635,26,hair,bu:q,,,,
190636,27,nose,idũc,,,,
190637,28,"to breathe","sueq lawa",,,1,
190638,29,"to sniff, smell","chubơ ̃u",,,,
190639,30,mouth,muvah,,,,
190640,31,tooth,digơi,,,,
190641,32,tongue,dilah,,,4,
190642,33,"to laugh",tlau,,,,
190643,34,"to cry",hia,,,18,
190644,36,"to spit",capru,,,,
190645,37,"to eat",bơc,,,,
190646,38,"to chew",mumãh,,,,
190647,39,"to cook",tanãq,,,1,
190648,40,"to drink",dju:q,,,,
190649,41,"to bite",keq,,,,
190650,42,"to suck",cavup,,,,
190651,43,ear,ringiã,,,,
190652,44,"to hear","hmơ ̃q",,,,
190653,45,eye,mata,,,1,
190654,46,"to see",buh,,,,
190655,47,"to yawn",sama-ã:q,,,,
190656,48,"to sleep",pi:q,,,,
190657,49,"to lie down",pi:q,,,,
190658,50,"to dream",lupơi,,,,
190659,51,"to sit",dungõm,,,,
190660,52,"to stand","tagu:q ɗơc","to stand up",,,
190661,53,"person/human being",manũih,Sanskrit,L,,
190662,54,man/male,lacơi,,,2,
190663,55,woman/female,cumơi,,,126,
190664,56,child,anã:q,,,,
190665,57,husband,pisa:c,,,,
190666,58,wife,sidiuq,,,,
190667,59,mother,awơi,,,,
190668,60,father,amã,,,1,
190669,61,house,sa:c,,,,
190670,62,thatch/roof,"ayaq sa:c",,,,
190671,63,name,anãn,,,,
190672,64,"to say",ɗơ:p,,,,
190673,66,"to tie up, fasten",icaq,,,,
190674,67,"to sew",chhi:q,,,,
190675,68,needle,jurup,,,1,
190676,69,"to hunt","nãu san","to hunt with a dog",,,
190677,70,"to shoot",panãh,,,1,
190678,71,"to stab, pierce",tlơq,,,,
190804,72,"to hit",poh,,,,
190805,72,"to hit",ngãq,,,,
190680,73,"to steal",tleq,,,,
190681,74,"to kill",pamatai,,,,
190682,75,"to die, be dead",matai,,,1,
190683,76,"to live, be alive",hadiuq,,,1,
190684,78,"to cut, hack",taq,,,,
190685,79,stick/wood,cayơu,,,,
190686,80,"to split",vlah,,,,
190687,81,sharp,hluơq,,,,
190688,82,"dull, blunt",avơn,,,,
190689,83,"to work",vruãq,,,,
190690,84,"to plant",pila,,,25,
190691,86,"to grow",tumũh,,,1,
190806,88,"to squeeze",iãq,,,,
190807,88,"to squeeze",chapaq,"to press with one's hand",,,
190693,89,"to hold",dja:q,,,,
190808,91,"to buy",vlơi,,,,
190809,91,"to buy",duah,,,,
190810,92,"to open, uncover",puơh,,,,
190811,92,"to open, uncover",poq,,,,
190696,93,"to pound, beat",tơq,,,,
190697,94,"to throw",tla:q,,,,
190812,95,"to fall","tloh leq",,,,
190813,95,"to fall",lavuh,,,,
190814,95,"to fall",jrũh,"to fall, drop (of leaves)",,,
190699,96,dog,asơu,,,1,
190700,97,bird,chip,"Mon-Khmer loanword; chicken = manũq",L,,
190701,98,egg,voh,,,,
190702,99,feather,vilơu,,,,
190703,102,rat,ticuh,,,,
190704,103,meat/flesh,usa,,,31?,
190815,104,fat/grease,manhãq,,,,
190816,104,fat/grease,lumãq,,,,
190706,105,tail,icu,,,,
190707,106,snake,ula,,,2,
190708,107,"worm (earthworm)",lanac,earthworm,,,
190709,108,louse,cutơu,,,,
190710,109,mosquito,jamõq,,,,
190817,110,spider,gavung,,,,
190818,110,spider,"ayac gaq",,,,
190712,111,fish,ica:t,,,,
190713,113,branch,tha:t,,,,
190714,114,leaf,hla:q,,,61,
190715,115,root,ukha,,,,
190716,116,flower,vungã,,,,
190717,117,fruit,voh,,,,
190718,118,grass,rơq,,,,
190719,119,earth/soil,lơt,Sanskrit?,L,,
190720,120,stone,patơu,,,1,
190721,121,sand,chuah,,,,
190722,122,water,ia,,,,
190723,123,"to flow",ɗuaiq,,,,
190724,124,sea,tasi:q,,,,
190725,125,salt,sara,,,1,
190726,126,lake,danau,,,1,
190727,127,woods/forest,caih,,,,
190728,128,sky,langĩ:q,,,,
190729,129,moon,vila:t,,,,
190730,130,star,pituq,,,1,
190731,131,cloud,huan,,,,
190732,132,fog,"canap huan",,,,
190733,133,rain,huja:t,,,,
190734,134,thunder,grơm,,,,
190735,135,lightning,"cacala:q liaq",,,,
190736,136,wind,angĩn,,,1,
190737,137,"to blow",ayu:q,,,1,
190738,138,warm,chau,,,,
190739,139,cold,la-ơt,,,,
190740,140,dry,thu,,,41,
190741,141,wet,pasah,,,1,
190742,142,heavy,tra:q,,,,
190743,143,fire,apui,,,1,
190744,144,"to burn",ghu,,,,
190745,145,smoke,asa:q,,,49,
190746,146,ash,havơu,,,,
190747,147,black,ju:q,,,,
190748,148,white,co:q,,,,
190749,149,red,mariah,,,,
