id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
750,Saek,"William J. Gedney",skb,saek1240,"Gedney, William J. and Thomas John Hudak, ed. 1993. William J. Gedney's the Saek Language: Glossary, Texts, and Translations. Center for South and Southeast Asian Studies, University of Michigan.The Saek tones are:1  = /34/ mid level, slight rise at the end2  = /11/ low level3  = /31/ falling to low, with glottal constriction4  = /454/ high rising-falling5  = /52/ high falling6  = /32/ mid level, with slight fall and glottal constriction",,"Tai-Kadai, Kam-Tai, Tai, Northern","Andrew C. Hsiu",,"@book{56276,  address        = {Ann Arbor},  pages          = {xliv, 989, maps},  publisher      = {Center for South and Southeast Asian Studies, University of Michigan},  series         = {Michigan papers on South and Southeast Asia},  title          = {The Saek language: glossary, texts, and translations},  volume         = {41},  year           = {1993},  bibtexkey      = {gedney_saek-translations1993},  inlg           = {English [eng]},  inlg_code      = {eng},  macro_area     = {Eurasia},  seanote        = {edited by Hudak,, Thomas John},  shelf_location = {UHM ASIA PL4251.S23 G4 1993 and UCB Main PL4251.S23 G4 1993},  src            = {sala},  srctrickle     = {sala#3092},  author         = {Gedney, William J.}}"
latitude,longitude
17.48292000000000001592,104.82034000000000162345
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
191327,1,hand,mɯ:4,,,1,
191328,2,left,vɛ:l6,,,,
191329,3,right,khwa:4,,,1,
191491,4,leg/foot,kwa:1,leg,,42,
191492,4,leg/foot,ɣe:ŋ5,foot,,,
191493,5,"to walk",ɲa:ŋ5,,,,
191494,5,"to walk",pay1,"to go",,,
191332,6,road/path,tha:ŋ4,,,,
191495,7,"to come",ma:2,"to come, return",,,
191496,7,"to come",thaŋ4,"to arrive, reach",,,
191334,8,"to turn",ʔwa:y6,,,,
191335,11,dust,phun5,,,,
191336,12,skin,naŋ2,,,56,
191337,13,back,laŋ2,,,,
191338,14,belly,thuŋ6,,,,
191339,15,bone,rɔ:k6,,,,
191340,17,liver,tap4,,,,
191341,19,shoulder,va:6,,,1,
191342,20,"to know, be knowledgeable",rɔ:6,,,,
191497,21,"to think",khɯt6,,,,
191498,21,"to think",ŋɤʔ4,,,,
191344,23,blood,luat5,,,,
191345,24,head,thraw3,,,1,
191346,25,neck,ɣɔ:4,,,,
191347,26,hair,phram2,,,,
191348,27,nose,daŋ1,,,1,
191349,29,"to sniff, smell",dam1,,,,
191350,30,mouth,pa:k6,,,,
191351,31,tooth,nɛ:ŋ1,,,,
191352,32,tongue,li:n6,,,36,
191353,33,"to laugh",ruaw2,,,,
191354,35,"to vomit",ruak5,,,,
191355,36,"to spit",plu:t6,,,,
191356,37,"to eat",kin1,,,1,
191357,38,"to chew",ɲam3,,,,
191358,39,"to cook",ruŋ2,,,,
191359,41,"to bite",ɣap6,,,,
191360,42,"to suck",du:t6,,,,
191361,43,ear,rua4,,,,
191362,44,"to hear",ɲia2,,,,
191363,45,eye,pra:1,,,1,
191364,46,"to see",rɛn2,,,,
191365,47,"to yawn",ra:w2,,,,
191366,48,"to sleep",nu:n4,,,,
191367,49,"to lie down",nu:n4,,,,
191368,50,"to dream",van4,,,,
191369,51,"to sit",naŋ5,,,,
191370,52,"to stand",yɔŋ4,,,,
191499,53,"person/human being",phu:6,,,,
191500,53,"person/human being",hun4,,,,
191372,54,man/male,phɔ:5,,,,
191373,55,woman/female,bɯk4,,,,
191501,56,child,lɯk6,,,1,
191502,56,child,dɛk4,,,,
191375,58,wife,pha:4,,,,
191376,59,mother,me:5,,,,
191377,60,father,phɔ:5,,,,
191378,61,house,ra:n4,,,,
191379,62,thatch/roof,vɔ:ŋ1,"vreb: to roof",,,
191380,63,name,sɔ:5,,,,
191381,65,rope,sa:k5,,,,
191503,66,"to tie up, fasten",rɛt6,"to bind tightly",,,
191504,66,"to tie up, fasten",hɔ:t6,"to tie a knot",,,
191505,67,"to sew",ɲip6,,,,
191506,67,"to sew",tam3,"to weave",,,
191384,68,needle,kim1,,,,
191507,71,"to stab, pierce",cɔʔ4,"to pierce",,,
191508,71,"to stab, pierce",thrɔ:k5,"to stab",,,
191386,72,"to hit",mɔk6,,,,
191387,74,"to kill",ka:3,,,,
191388,75,"to die, be dead",pra:y1,,,1,
191389,76,"to live, be alive",rip4,"raw, unripe",,1,
191509,77,"to scratch",kaw1,"to scratch (generic)",,,
191510,77,"to scratch",khuaw4,"to scratch an itch, to claw",,,
191391,78,"to cut, hack",tɛk4,,,,
191392,79,stick/wood,may6,wood,,,
191393,81,sharp,ɣam4,,,,
191394,83,"to work",viak5,,,,
191395,84,"to plant",plɔ:k6,,,,
191396,90,"to dig",khut6,,,36,
191397,91,"to buy",sɯ:6,,,,
191511,93,"to pound, beat",thap6,,,,
191512,93,"to pound, beat",tɔ:k6,,,25,
191513,95,"to fall",lɔn6,,,,
191514,95,"to fall",tɔk4,,,,
191400,96,dog,ma:2,,,,
191401,97,bird,nɔk6,,,1,
191402,98,egg,tlɤ:ŋ3,,,,
191403,99,feather,pul1,"PMP *bulu",,1,
191404,100,wing,viat5,,,,
191405,101,"to fly",bɯl1,,,,
191406,103,meat/flesh,mlɔ:5,,,,
191515,104,fat/grease,man4,oil,,,
191516,104,fat/grease,phu:y4,fat,,,
191408,105,tail,ruaŋ2,,,,
191409,106,snake,ŋua4,,,,
191410,107,"worm (earthworm)",nɔ:l2,,,,
191411,108,louse,raw2,,,1,
191412,109,mosquito,ɲuŋ4,,,,
191413,110,spider,"mɛ:ŋ4 mum4",,,,
191414,111,fish,pla:1,,,,
191415,112,rotten,naw5,,,,
191517,114,leaf,bɤ:1,,,,
191518,114,leaf,rɔ:ŋ2,"big leaf, esp. banana leaf",,,
191417,116,flower,blɔ:k6,,,22,
191418,117,fruit,ma:k7,,,,
191419,118,grass,ɲua3,,,,
191420,119,earth/soil,bal1,,,,
191421,120,stone,ri:l2,,,,
191422,121,sand,yo:y4,,,,
191423,122,water,nam6,,,1,
191424,125,salt,tlua1,,,,
191425,126,lake,nɔ:ŋ2,,,,
191426,127,woods/forest,thual5,,,,
191427,128,sky,bɯn1,,,,
191428,129,moon,blian1,"PAN *bulan",,1,
191429,130,star,tra:w1,,,1,
191430,131,cloud,via3,,,,
191431,133,rain,vɯn2,,,,
191432,134,thunder,phra:3,,,,
191433,136,wind,lum4,,,,
191434,137,"to blow",pliw1,,,,
191519,138,warm,ru:l6,"to be hot",,,
191520,138,warm,lɔ:k5,"to be hot",,,
191436,139,cold,nɛk4,,,,
191521,140,dry,hɯ:6,,,,
191522,140,dry,hɯat6,,,,
191438,142,heavy,nak4,,,,
191439,143,fire,vi:4,,,1,
191523,144,"to burn",phraw2,,,,
191524,144,"to burn",ham2,,,,
191441,145,smoke,ɣɔn4,,,,
191442,147,black,ram1,,,1,
191443,148,white,ha:w2,,,,
191444,149,red,ri:ŋ1,,,,
191445,150,yellow,va:ŋ4,Chinese,L,,
191446,151,green,he:w2,,,,
191447,152,small,nɔ:y5,,,,
191448,153,big,bɯk4,,,,
191449,155,long,ray4,,,,
191450,156,thin,va:ŋ1,,,,
191525,160,"painful, sick",ke:t6,pain,,,
191526,160,"painful, sick",ʔo:m3,sick,,,
191452,162,old,ta:1,"old man",,,
191453,163,new,mɔ:6,,,,
191527,164,good,di:1,,,,
191528,164,good,cop4,,,,
191455,166,"correct, true",thɯk6,,,,
191529,167,night,ɣɯn4,night,,,
191530,167,night,ɣam5,evening,,,
191531,168,day,van4,,,,
191532,168,day,mɯ:6,"day (period of time)",,,
191533,169,year,pi:1,,,,
191534,169,year,khuap6,,,,
191459,173,at,nɛn2,,,,
191460,174,"in, inside",da:ŋ1,,,,
191535,175,above,khɯn4,,,,
191536,175,above,sa:ŋ2,,,,
191462,176,below,tɤ:3,,,,
191463,177,this,ni:6,,,1,
191464,178,that,nan6,,,1,
191465,179,near,tlɤ:3,,,,
191466,180,far,tlay1,,,,
191467,181,where?,nɤ:1,,,,
191537,182,I,ku:1,intimate,,1,
191538,182,I,hɔ:y6,formal,,,
191539,183,thou,mɯŋ4,intimate,,1,
191540,183,thou,caw3,formal,,,
191470,184,he/she,man4,,,,
191541,185,we,ro:4,,,,
191542,185,we,pru:1,,,,
191472,186,you,su:2,,,1,
191473,187,they,raw2,,,,
191474,189,who?,dɤ:1,,,,
191475,190,other,ʔɯ:n6,,,,
191476,191,all,thɯŋ4,,,,
191477,192,and,leʔ4,,,,
191543,193,if,he:5,,,,
191544,193,if,khan4,,,,
191479,195,"no, not",bo:6,,,,
191480,196,"to count",nap6,,,,
191481,197,One,nɯŋ5,,,,
191482,198,Two,sɔ:ŋ2,,,,
191483,199,Three,sam2,Chinese,L,,
191484,200,Four,si:6,Chinese,L,,
191485,201,Five,ha:3,Chinese,L,,
191486,202,Six,rɔk4,Chinese,L,,
191487,203,Seven,cɛt4,Chinese,L,,
191488,204,Eight,pe:t6,Chinese,L,,
191489,205,Nine,ku:3,Chinese,L,,
191490,206,Ten,sip6,Chinese,L,,
