id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
757,"Pa-Hng (Gundong)","Mao Zongwu, Li Yunbing",pha,pahn1237,"毛宗武, 李云兵 / Mao Zongwu, Li Yunbing. 巴哼语研究 / Baheng yu yan jiu (A Study of Baheng [Pa-Hng]). Shanghai: 上海远东出版社 / Shanghai yuan dong chu ban she, 1997.The selected dialect is spoken in Gundong (滾董), Liping County (黎平县), Guizhou, China.The Gundong Pa-Hng tones are:1 = /35/2 = /33/3 = /22/4 = /22/5 = /55/6 = /44/7 = /53/8 = /31/",,"Hmong-Mien, Hmongic, Pa-hng","Andrew C. Hsiu",,"@book{95864,  address       = {Shanghai},  pages         = {344},  publisher     = {Shanghai Far East Publishers},  title         = {Bahengyu Yanjiu},  year          = {1997},  bibtexkey     = {li-mao_bahengyu-yanjiu1997},  fn            = {eurasia\mao-li_baheng1997.pdf},  hhtype        = {grammar},  inlg          = {Chinese Mandarin [cmn]},  inlg_code     = {eng},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#g:MaoLi:Baheng},  title_english = {The Baheng language},  author        = {Mao, Zongwu and Li, Yunbing}}"
latitude,longitude
23.31561999999999912347,105.21752999999999644842
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
193106,1,hand,"qa44 pu22",,,,
193107,2,left,"pu22 khaŋ22",,,,
193108,3,right,"pu22 kwɛ31",,,,
193109,4,leg/foot,"qa44 lu35",,,,
193288,5,"to walk",tɕa44,"to go",,,
193289,5,"to walk",ȵi33,,,,
193111,6,road/path,qo22,,,,
193290,7,"to come",tei33,,,,
193291,7,"to come",noŋ55,"to arrive",,,
193113,10,dirty,"pɛ53 lɛ53",,,,
193114,11,dust,"qa22 mu22",,,,
193115,12,skin,"qa22 lju55",,,,
193116,14,belly,"a33 ŋ ̥ŋ22",,,,
193117,15,bone,"qa22 soŋ22",,,,
193118,16,intestines,"taŋ35 ŋ ̥ŋ22","small intestines",,,
193119,17,liver,"a33 hjeŋ35",,,,
193120,18,breast,mei35,,,,
193121,19,shoulder,"tja55 ko31",,,,
193292,20,"to know, be knowledgeable","ko53 pi35","to know",,,
193293,20,"to know, be knowledgeable",ȵa55,"to be knowledgable about",,,
193123,21,"to think",saŋ22,Chinese,L,,
193124,22,"to fear","ȵ ̥ɛ55",afraid,,,
193125,23,blood,"ȵ ̥ei22",,,,
193126,24,head,"a33 toŋ33 ti22",,,,
193127,25,neck,"a33 ŋɔŋ22",,,,
193128,26,hair,ti35,,,,
