id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
758,"Proto-East Mindanao","Andrew Gallman",,,"Gallman, Andrew Franklin. 1997. Proto East Mindanao and its Internal Relationships. Philippine Journal of Linguistics, Special Monograph Issue No. 44. Manila, Philippines: Linguistic Society of the Philippines.Apostrophes signify stress, not glottal stops. Proto-forms given in Gallman (1997) are often only reconstructed for lower-level branches.PNEM = Proto-North East Mindanao (ancestral to Surigaonon, Tausug, Butuanon, Mamanwa)PCEM = Proto-Central East Mindanao (ancestral to Kamayo, Davawenyo)PSEM = Proto-South East Mindanao (ancestral to the Mansakan languages of Mansaka, Mandaya, Kalagan)",,"Austronesian, Malayo-Polynesian, Philippine","Andrew C. Hsiu",,"@book{97611,  address               = {Manila},  note                  = {Revision of the author's thesis (Ph.D.–University of Texas at Arlington, 1983) Includes bibliographical references (p. 278-285)},  pages                 = {xi+285},  publisher             = {Linguistic Society of the Philippines},  series                = {Philippine journal of linguistics : special monograph issue},  title                 = {Proto East Mindanao and its internal relationships},  volume                = {44},  year                  = {1997},  bibtexkey             = {gallman_mindanao-relationships1997},  class_loc             = {PL5912},  document_type         = {B},  fn                    = {papua\gallman_mindanao1983_o.pdf},  hhtype                = {comparative},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9789717800004},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5912 GAL 1997},  mpifn                 = {mindanao_gallman1983_o.pdf},  src                   = {mpieva},  srctrickle            = {mpieva#Gallman1997ProtoEas},  subject_headings      = {Mindanao Island (Philippines)–Languages–Grammar, Sangil language–Dialects–Philippines–Mindanao Island–Grammar, Mindanao Island (Philippines)–Languages–Grammar – Sangil language–Dialects–Philippines–Mindanao Island–Grammar},  author                = {Gallman, Andrew Franklin}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
193300,1,hand,*ʔalima,"PNEM, PCEM. Reid reconstruction",,1,
193301,2,left,*wala,,,,
193302,4,leg/foot,*siki,"foot, lower leg",,24,
193303,5,"to walk",*panaw,,,2,
193304,6,road/path,*dalan,,,,
193479,8,"to turn",*likuq,PCEM,,21,
193480,8,"to turn",*birik,"PCEM, PNEM",,"4,75",
193306,9,"to swim",*laŋuy,,,1,
193307,10,dirty,*ripaq,,,,
193308,11,dust,*abug,,,,
193309,12,skin,*panit,"PCEM, PNEM",,,
193310,13,back,*likud,,,1,
193481,14,belly,*tiyan,"PCEM, PNEM",,,
193482,14,belly,*dɨbdɨb,"PNEM, PSEM",,,
193312,15,bone,*bɨ'kɨg,,,16,
193313,16,intestines,*tinaqi,,,1,
193314,17,liver,*atay,,,1,
193315,18,breast,*susu,,,1,
193316,19,shoulder,*abaga,,,1,
193317,20,"to know, be knowledgeable",*tigaw,"PCEM, PSEM",,,
193483,21,"to think",*isip,"PCEM, PNEM",,23,
193484,21,"to think",*dɨmdɨm,"thought, PNEM, PSEM",,13,
193485,22,"to fear",*hadlɨk,,,,
193486,22,"to fear",*talaw,"to be afraid to do something, PNEM, PSEM",,34,
193320,23,blood,*duguq,,,1,
193321,24,head,*ulu,,,1,
193322,25,neck,*liqɨg,,,1,
193323,26,hair,*buhuk,,,"1,65",
193324,27,nose,*iruŋ,,,1,
193325,28,"to breathe",*-hawa,PNEM,,1,
193326,29,"to sniff, smell",*simhut,PNEM,,"31,82",
193327,30,mouth,*baqbaq,,,1,
193328,31,tooth,*untu,"PCEM, PSEM",,52,
193329,32,tongue,*dilaq,,,4,
193330,33,"to laugh",*katawa,"PCEM, PNEM",,1,
193331,34,"to cry",*tiyahuq,PCEM,,,
193487,35,"to vomit",*suka,,,9,
193488,35,"to vomit",*digwaq,PNEM,,,
193333,36,"to spit",*lɨdaq,PNEM,,1,
193334,37,"to eat",*kaqan,"PCEM, PSEM",,1,
193335,38,"to chew",*sɨpaq,"to chew something",,17,
193336,39,"to cook",*lutuq,,,20,
193337,40,"to drink",*inɨm,,,"1,56",
193489,41,"to bite",*baŋaq,,,33,
193490,41,"to bite",*kɨtkɨt,"to gnaw",,21,
193339,42,"to suck",*sɨpsɨp,,,1,
193340,43,ear,*taliŋa,,,1,
193341,44,"to hear",*dɨŋɨg,,,1,
193342,45,eye,*mata,,,1,
193343,46,"to see",*kitaq,,,1,
193344,47,"to yawn",*sigqab,"PCEM, PNEM",,,
193345,48,"to sleep",*turug,,,1,
193346,49,"to lie down",*kulaŋ,"PNEM, PSEM",,,
193347,50,"to dream",*-inɨp,"PNEM, PSEM",,"30,57",
193348,51,"to sit",*(l)iŋkud,,,45,
193349,52,"to stand",*(t)indɨg,,,20,
193350,54,man/male,*ɨsɨg,,,,
193491,55,woman/female,*babayi,PCEM,,"1,105",
193492,55,woman/female,*bubayi,PCEM,,"1,105",
193352,56,child,*anak,offspring,,1,
193353,57,husband,*bana,,,1,
193354,58,wife,*asawa,,,1,
193355,59,mother,*inaq,,,"1,76",
193356,60,father,*amaq,,,"1,18",
193357,61,house,*balay,,,14,
193358,62,thatch/roof,*a'tɨp,,,1,
193359,63,name,*ŋaran,,,1,
193360,65,rope,*lubid,,,21,
193493,66,"to tie up, fasten",*bɨgkɨt,,,111,
193494,66,"to tie up, fasten",*hɨkɨt,,,1,
193362,67,"to sew",*tahiq,,,1,
193363,68,needle,*dagɨm,,,"1,34",
193364,69,"to hunt",*anup,,,1,
193495,71,"to stab, pierce",*duŋgab,,,,
193496,71,"to stab, pierce",*tigbak,"PCEM, PNEM",,,
193366,73,"to steal",*kawat,,,24,
193497,74,"to kill",*patay,,,2,
193498,74,"to kill",*bunuq,,,1,
193368,76,"to live, be alive",*buhiq,"PCEM, PNEM",,"14,74",
193369,77,"to scratch",*kalut,,,"37,78",
193370,78,"to cut, hack",*tigbas,PNEM,,106,
193371,79,stick/wood,*kahuy,tree,,1,
193372,80,"to split",*bɨlaq,"PNEM, PSEM",,,
193373,82,"dull, blunt",*dɨmpɨr,PNEM,,3,
193374,84,"to plant",*tanɨm,,,2,
193375,85,"to choose",*piliq,,,1,
193376,86,"to grow",*tubuq,"PCEM, PNEM",,1,
193377,87,"to swell",*hubag,PCEM,,"1,72",
193499,88,"to squeeze",*pisgaq,,,,
193500,88,"to squeeze",*kɨpɨg,PNEM,,,
193379,89,"to hold",*kaput,PCEM,,25,
193380,90,"to dig",*kabut,"PCEM, PNEM",,,
193501,91,"to buy",*bili,,,1,
193502,91,"to buy",*palit,,,53,
193503,92,"to open, uncover",*ukab,,,28,
193504,92,"to open, uncover",*bukas,PSEM,,"1,63",
193505,93,"to pound, beat",*bayu,,,1,
193506,93,"to pound, beat",*bunal,,,1,
193384,94,"to throw",*timbag,,,34,
193385,95,"to fall",*hulug,,,,
193386,96,dog,*iduq,,,21,
193387,97,bird,*laŋgam,"PCEM, PSEM",,72,
193388,98,egg,*itlug,,,1,
193507,99,feather,*bulbul,,,"1,68",
193508,99,feather,*lawi,,,14,
193509,99,feather,*barhibu,"PCEM, PNEM",,21,
193390,100,wing,*kapay,"PNEM, PSEM",,,
193391,101,"to fly",*lɨpad,PNEM,,21,
193392,102,rat,*ambaw,,,38,
193393,104,fat/grease,*tabaq,,,23,
193394,105,tail,*ikug,,,1,
193510,106,snake,*halas,PNEM,,26,
193511,106,snake,*sawa,python,,25,
193512,107,"worm (earthworm)",*wa'ti,earthworm,,1,
193513,107,"worm (earthworm)",*ulud,"PNEM, PSEM",,21,
193397,108,louse,*kutu,,,1,
193398,110,spider,*lawaq,,,1,
193399,111,fish,*isdaq,,,18,
193400,113,branch,*saŋa,"PNEM, PSEM",,2,
193401,114,leaf,*dahun,,,1,
193402,115,root,*gamut,,,3,
193514,116,flower,*bulak,,,22,
193515,116,flower,*burak,,,22,
193404,117,fruit,*buŋa,,,9,
