id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
759,"Puyuma (Nanwang Cq)","Josiane Cauquelin",pyu,puyu1239,"Cauquelin, Josiane. 1991. Dictionnaire Puyuma-Français. Paris: Ecole française d'Extrême Orient.The only available dictionary for Nanwang (the most conservative dialect of Puyuma) is currently in French.Cauquelin's orthography uses \"e\" for /ə/, and horizontal lines slashed through letters to represent retroflex consonants.",,"Austronesian, Puyuma","Andrew C. Hsiu",,"@article{s_Cauquelin_Puyuma,  title            = {The Puyuma Language},  journal          = {Bijdragen tot de Taal-, Land- en Volkenkunde},  volume           = {147},  number           = {1},  pages            = {17-60},  year             = {1991},  fn               = {papua\cauquelin_puyuma1991_o.pdf},  glottolog_ref_id = {33442},  hhtype           = {grammar_sketch},  inlg             = {English [eng]},  lgcode           = {Puyuma [pyu]},  macro_area       = {Papua},  author           = {Cauquelin, Josiane}}"
latitude,longitude
22.64301999999999992497,120.99630999999999403371
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
193537,1,hand,ɭima,,,"1,64",
193538,2,left,tarawili,,,1,
193539,3,right,tarawalan,,,"1,68",
193540,4,leg/foot,kukuɖ,,,29,
193541,5,"to walk",kemakawang,,,91,
193542,6,road/path,daran,,,1,
193722,7,"to come",ɖua,,,38,
193723,7,"to come",aɭamo,,,37,
193544,9,"to swim",langue,,,1,
193724,10,dirty,miakiʈar,,,40?,
193725,10,dirty,dursi,,,92,
193726,10,dirty,rikesikesis,,,,
193546,11,dust,ʈumbul,,,,
193547,12,skin,ɭubiʈ,,,61,
193548,13,back,paɖek,,,,
193549,14,belly,tial,,,1,
193550,15,bone,ukak,,,19,
193551,16,intestines,ʈinaqi,,,1,
193552,17,liver,rami,,,29,
193553,18,breast,susu,,,1,
193554,19,shoulder,qiab,,,53,
193555,20,"to know, be knowledgeable",saigu,,,,
193556,21,"to think",kemianger,,,57,
193557,23,blood,damuk,,,20,
193558,24,head,ʈangeru,,,36,
193559,25,neck,niqen,,,94,
193560,26,hair,arbu,*qaRbu,,16,
193561,27,nose,tingran,,,45,
193562,28,"to breathe",mengaɖ,,,61,
193563,29,"to sniff, smell",ʈaul,,,60,
193564,30,mouth,indan,,,70,
193565,31,tooth,wali,,,2,
193566,32,tongue,sema,,,1,
193567,33,"to laugh",saqeru,,,78,
193568,34,"to cry",maʈangis,,,1,
193569,35,"to vomit",ɖelia,,,26,
193570,36,"to spit",temama,,,79,
193571,37,"to eat",kan,,,1,
193572,38,"to chew",meleqeɭ,,,2,
193573,39,"to cook",deru,"to boil",,74,
193574,40,"to drink",tekeɭ,,,44,
193575,42,"to suck",sipsip,,,44,
193576,43,ear,ʈangiɭa,,,"1,72",
193577,45,eye,maʈa,,,1,
193578,46,"to see",naqu,,,76,
193579,47,"to yawn",maiyai,,,20,
193580,48,"to sleep",alepe,,,76,
