id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
760,"Pazih LTs (Auran)","Paul Jen-kuei Li, Shigeru Tsuchida",uun,kulo1237,"Li, Paul Jen-kuei and Shigeru Tsuchida. 2001. Pazih Dictionary (巴宰語詞典). Taipei, Taiwan: Institute of Linguistics, Academia Sinica.Unless indicated otherwise, the Auran (Ailan 愛蘭) dialect is used.",,"Austronesian, Northwest Formosan","Andrew C. Hsiu",,"@book{135332,  address               = {Taipei},  note                  = {Includes bibliographical references and index},  pages                 = {xii+391},  publisher             = {Institute of Linguistics (Preparatory office)},  series                = {Language and linguistics monographs series; A2},  title                 = {Pazih dictionary Bazai yu ci dian (Pazih dictionary)},  volume                = {Language and linguistics monographs series},  year                  = {2001},  bibtexkey             = {li-tsuchida_pazih-bazai2001},  class_loc             = {PL6158.54},  document_type         = {B},  hhtype                = {dictionary},  inlg                  = {Chinese-Mandarin [cmn]},  inlg_code             = {cmn},  isbn                  = {9789576717901},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6158 .54 LI 2001},  src                   = {mpieva},  srctrickle            = {mpieva#Li2001Pazihdic},  subject_headings      = {Pazeh language–Dictionaries–Chinese, Pazeh language–Dictionaries–English, Pazeh language–Dictionaries–Chinese – Pazeh language–Dictionaries–English},  author                = {Li, Paul Jen-kuei and Tsuchida, Shigeru}}"
latitude,longitude
23.75623999999999824695,120.97576999999999713964
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
193758,1,hand,rima,,,"1,64",
193759,2,left,ixi,,,1,
193760,3,right,anan,,,1,
193761,4,leg/foot,karaw,,,64,
193762,5,"to walk",zakay-,,,3,
193763,6,road/path,daran,,,1,
193966,7,"to come",alu,,,46,
193967,7,"to come",paudah,,,,
193765,8,"to turn",sinawnaw-,,,,
193766,9,"to swim",languy-,,,1,
193767,10,dirty,daki,,,1,
193968,11,dust,burabur,,,14,
193969,11,dust,bahabu,"Kaxabu Dialect",,14,
193769,12,skin,rapay,"skin (of animals). also means bark",,24,
193970,13,back,bukun,,,2,
193971,13,back,bukul,,,2,
193771,14,belly,tial,,,1,
193772,15,bone,bul,,,44,
193773,16,intestines,hirut-,,,62,
193774,17,liver,asay,,,1,
193775,18,breast,nunuh,,,3,
193776,19,shoulder,abaxa,,,1,
193777,20,"to know, be knowledgeable",baza-,,,2,
193972,21,"to think",hinis,,,,
193973,21,"to think",kela-,,,27,
193974,22,"to fear",ngesel-,,,61,
193975,22,"to fear",ngesen-,,,61,
193780,23,blood,damu,,,20,
193781,24,head,punu,,,34,
193782,25,neck,hahur,,,59,
193783,26,hair,bekes,,,1,
193784,27,nose,muzing,,,26,
193785,28,"to breathe",hinis,,,28,
193786,29,"to sniff, smell",sazek-,,,1,
193976,30,mouth,rahal,,,67,
193977,30,mouth,rahan,,,67,
193788,31,tooth,lepeng,,,"1,35",
193978,32,tongue,dahama,,,38,
193979,32,tongue,zahama,,,38,
193790,33,"to laugh",hatan-,,,40,
193980,34,"to cry",angit-,,,"1,56",
193981,34,"to cry",kiliw-,,,,
193792,35,"to vomit",uta-,,,1,
193793,36,"to spit",xepes-,,,,
193794,37,"to eat","kan- ~ ken-",,,1,
193795,38,"to chew",ata-,,,,
193796,39,"to cook",sumay,"also means cooked rice",,,
193982,40,"to drink",haruk-,,,,
193983,40,"to drink",daux-,"to drink (water or wine)",,42,
193984,41,"to bite",ngarangar-,,,,
193985,41,"to bite",ngazip-,,,65,
193986,42,"to suck",hihip-,,,44,
193987,42,"to suck",zezep-,,,1,
193800,43,ear,sangira,,,"1,72",
193801,44,"to hear",tumala,,,2,
193802,45,eye,daurik,"from Bunun",,2,
193803,46,"to see",kita-,,,1,
193804,47,"to yawn",suaw-,,,1,
193805,48,"to sleep",idem-,,,27,
193988,49,"to lie down",haras-,,,81,
193989,49,"to lie down",ngayah-,"to lie on one's back",,,
193990,49,"to lie down",babat-,"to lie on one's back",,,
193807,50,"to dream",sipi-,,,1,
193808,51,"to sit",tuku-,,,90,
193809,52,"to stand",kizex-,"to stand up",,76,
193991,53,"person/human being",sau,,,1,
193992,53,"person/human being",saw,,,1,
