id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
766,Mulao,"Bo Wenze",,gela1264,"薄文泽 / Bo Wenze. 木佬语硏究 / Mulao yu yan jiu (A Study of Mulao). Beijing: 中央民族大学出版社 / Zhong yang min zu da xue chu ban she, 2003.Mulao (木佬), a Kra language, is not to be confused with a Kam-Sui language of the same name (仫佬) which is alternatively called Mulam. Mulao is closely related to Gelao and is spoken in Longli (龙里), Majiang (麻江), Guizhou, China.  However, it is not documented on Ethnologue (see http://lingweb.eva.mpg.de/numeral/Mulao.htm for more information).",,"Tai-Kadai, Kadai, Ge-Chi","Andrew C. Hsiu",,"@book{g_Bo_Mulao,  title            = {Mùlăo yŭ yánjiū},  publisher        = {Beijing: The Nationalities Press},  address          = {Beijing},  pages            = {195},  year             = {2003},  fn               = {eurasia\bo_mulao2003.pdf, eurasia\bo_mulao2003v3_o.pdf, eurasia\bo_mulao2003v2.pdf, eurasia\bo_mulao2003_o.pdf, eurasia\bo_mulao2003v2_o.pdf},  glottolog_ref_id = {88233},  hhtype           = {grammar},  inlg             = {Chinese Mandarin [cmn]},  lgcode           = {Mulao = Mulao [giu]},  macro_area       = {Eurasia},  title_english    = {A study of Mulao},  author           = {Bo, Wenze}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
195335,1,hand,"le24 ȵo31",,,,
195336,2,left,qhai33,,,48,
195337,3,right,lai24,,,,
195502,4,leg/foot,kuŋ24,foot,,,
195503,4,leg/foot,"pə33 kau55",leg,,42,
195504,5,"to walk",tsa53,"to walk",,,
195505,5,"to walk",pi24,"to go",,,
195340,6,road/path,xe33,,,,
195506,7,"to come",mo24,"to come",,,
195507,7,"to come",lo53,"to arrive",,,
195342,10,dirty,au24,,,,
195343,11,dust,"le53 zau33",,,,
195344,12,skin,"pau53 xu33",,,,
195345,13,back,"li24 kuŋ33",,,,
195346,14,belly,"luŋ24 qei55",,,,
195347,15,bone,"ku24 za53",,,,
195348,16,intestines,"pə33 za53",,,,
195349,18,breast,nu33,,,,
195350,19,shoulder,"pə33 tsɯ24",,,,
195351,20,"to know, be knowledgeable",lau33,,,,
195352,21,"to think",ɕaŋ33,Chinese,L,,
195353,22,"to fear",po53,,,,
195354,23,blood,pa55,,,,
195355,24,head,"li24 xi24",,,,
195356,26,hair,"xi24 se31",,,,
195357,27,nose,"mi53 ȵe55",,,,
195358,29,"to sniff, smell",xi31,,,,
195359,30,mouth,"li24 me53",,,,
195360,31,tooth,"li24 suŋ24",,,,
195361,32,tongue,"pə33 fə31",,,,
195362,33,"to laugh",sə31,,,,
195363,34,"to cry",ŋeŋ53,,,,
195364,37,"to eat",ku24,,,,
195365,38,"to chew",ȵa55,,,,
195366,39,"to cook",taŋ24,,,,
195367,40,"to drink",xa24,,,,
195368,41,"to bite",xɯ53,,,,
195369,43,ear,"le53 ɣo31",,,,
195370,44,"to hear",xa53,,,,
195371,45,eye,"li33 zo31",,,1,
195372,46,"to see",khe31,,,,
195373,48,"to sleep","ȵi33 xu53",,,,
195374,50,"to dream",tso53,,,,
195375,51,"to sit",zaŋ31,,,,
195376,53,"person/human being",ɣo53,,,,
195377,54,man/male,"le53 pə33",,,,
195378,55,woman/female,"le53 mi53",,,,
195379,56,child,lai53,offspring,,,
195380,57,husband,"pə33 ʑi31",,,,
195381,58,wife,"mi53 lau24",,,,
195382,59,mother,mi53,,,,
195383,60,father,pə33,,,,
195384,61,house,"le53 xa24",,,,
195385,64,"to say",tsu53,,,,
195386,65,rope,"li24 tɕy31",,,,
195508,66,"to tie up, fasten",qo33,"to tie",,,
195509,66,"to tie up, fasten",ve53,"to bind",,,
195388,67,"to sew",pie55,,,,
195389,68,needle,"pə33 lai33",,,,
195390,72,"to hit",qui24,,,,
195391,73,"to steal",li53,,,,
195392,74,"to kill",ʑi53,,,,
195393,75,"to die, be dead",tɕi55,,,,
195394,77,"to scratch",ɣau53,,,,
195395,78,"to cut, hack",ti55,,,,
195396,80,"to split",pau24,,,,
195397,83,"to work",tau31,,,,
195398,84,"to plant",to31,,,,
195399,85,"to choose",pɯ53,,,,
195400,90,"to dig",quŋ24,,,,
195401,91,"to buy",ɬy24,,,,
195402,92,"to open, uncover",fy53,,,,
195403,93,"to pound, beat",ty33,,,,
195404,95,"to fall",tau53,"to fall (as of teeth)",,,
195405,96,dog,naŋ24,,,,
195406,97,bird,zau53,,,1,
195407,98,egg,ʑe31,,,,
195408,99,feather,ȵy33,,,,
195409,100,wing,"pau33 fau31",,,,
195410,101,"to fly",vai33,,,,
195510,102,rat,mə53,,,,
195511,102,rat,mu53,,,,
195512,102,rat,mau53,,,,
195412,103,meat/flesh,u33,,,,
195413,104,fat/grease,zai31,oil,,,
195414,105,tail,"ȵo53 me31 ɬe33",,,,
195415,106,snake,ŋo31,,,,
195416,107,"worm (earthworm)","pə33 qai33",,,,
195417,108,louse,"xi24 tai53",,,,
195418,109,mosquito,"fuŋ31 fe31",,,,
195419,111,fish,lo31,,,,
195420,112,rotten,khuŋ33,,,,
195421,114,leaf,"le53 lu31",,,,
195422,115,root,"pə33 və31",,,,
195423,116,flower,ŋo33,,,,
195424,117,fruit,vai53,,,,
195425,118,grass,qa33,,,,
195426,119,earth/soil,ɬu31,,,,
195513,120,stone,"qo53 y24",,,,
195514,120,stone,a55,,,,
195428,121,sand,"li24 la33",,,,
195429,122,water,uŋ33,,,40,
195430,123,"to flow",la24,,,,
195431,125,salt,ȵə31,,,,
195432,127,woods/forest,kaŋ31,,,,
195433,128,sky,"li24 fə31",,,,
195515,129,moon,"kə33 va31",moon,,,
195516,129,moon,ɬa31,month,,,
195435,130,star,"tso53 zə31",,,,
195436,131,cloud,ve53,,,,
195437,133,rain,me31,,,,
195438,134,thunder,"ko33 zəŋ31",,,,
195439,135,lightning,"lau53 zo31 va31",,,,
195440,136,wind,fai33,,,,
195441,137,"to blow",mo24,"to blow (of wind)",,,
195442,138,warm,ty24,,,,
195517,139,cold,"ka31 ʑi33",,,,
195518,139,cold,ʑi24,,,,
195444,140,dry,ʑi24,,,,
195445,141,wet,ɬu33,,,,
195446,142,heavy,qai24,,,,
195447,143,fire,va31,,,1,
195519,144,"to burn",tsə33,,,,
195520,144,"to burn","tau31 va31","to burn (of wildfires)",,,
195449,145,smoke,aŋ24,,,,
195450,147,black,ȵaŋ31,,,,
195451,148,white,u55,,,,
195452,149,red,zau31,,,,
195453,150,yellow,ŋau31,,,,
195521,151,green,ŋai31,,,,
195522,151,green,lu31,,,,
195455,152,small,ȵi55,,,,
195456,153,big,luŋ24,,,,
195457,154,short,ŋe33,,,,
195458,155,long,ɣa53,,,,
195459,156,thin,vau53,,,,
195460,157,thick,zo31,,,,
195461,158,narrow,tɕaŋ31,,,,
195462,159,wide,fa55,,,,
195463,160,"painful, sick",ɣa53,,,,
195464,162,old,qei24,,,,
195465,163,new,zau31,,,,
195466,164,good,ei24,,,,
195467,165,"bad, evil",tsa55,,,,
195523,166,"correct, true",xo53,correct,,,
195524,166,"correct, true",ŋo33,true,,,
195469,167,night,"lai31 la55",,,,
195525,168,day,ve31,day,,,
195526,168,day,"kə33 zə31",sun,,,
195471,169,year,tsə24,,,,
195472,171,"to hide","ʑo53 naŋ24",,,,
195473,172,"to climb",li24,"to climb a mountain",,,
195474,173,at,zaŋ33,,,,
195475,177,this,na31,,,,
195527,178,that,pu53,medial,,,
195528,178,that,vu53,distal,,,
195477,180,far,za31,,,,
195478,181,where?,"qa33 nuŋ53","also means 'who'",,,
195479,182,I,zə53,,,,
195480,183,thou,mo31,,,,
195481,184,he/she,ko53,,,,
195482,185,we,zau31,,,,
195483,186,you,"tsɯ53 sau31",,,1,
195484,187,they,"tsɯ53 ko53",,,,
195485,188,what?,"ti33 na31",,,,
195486,189,who?,"qa33 nuŋ53","also means 'where'",,,
195487,195,"no, not",a55,,,,
195529,197,One,ɬe33,,,,
195530,197,One,tsi53,"corrected from typo in book: tsl53",,1,
195489,198,Two,ɬu24,,,1,
195490,199,Three,ta24,,,1,
195491,200,Four,phu24,,,11,
195492,201,Five,mu31,,,1,
195493,202,Six,ȵe31,,,1?,
195494,203,Seven,sau53,,,1?,
195495,204,Eight,ɣau31,,,1,
195496,205,Nine,so24,,,1,
195497,206,Ten,ve53,,,,
195498,207,Twenty,"ɬu24 ve53",,,,
195499,208,Fifty,"mu31 ve53",,,,
195500,209,"One Hundred","tsi55 ze31",,,,
195501,210,"One Thousand","tsi55 seŋ24",,,,
