id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
77,Yapese,"Blust, from Jensen, Corrections from Keira Ballantyne",yap,yape1248,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Yapese","Peng Du","Simon Greenhill","@book{20421,  address               = {Honolulu},  pages                 = {xx+182},  publisher             = {Univ. Press of Hawaii},  series                = {PALI language texts : Micronesia},  title                 = {Yapese-English dictionary},  year                  = {1977},  asjp_name             = {Yapese},  bibtexkey             = {jensen_yapese-dictionary1977},  class_loc             = {PL6341.Z5},  document_type         = {B},  hhtype                = {dictionary},  inlg                  = {English [eng]},  isbn                  = {0-82480-517-8, 9780824805173},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6341 .Z5 JEN 1977},  src                   = {asjp2010, hh, mpieva},  srctrickle            = {asjp2010#3810, hh#d:Jensen:Yapese, mpieva#Jensen1977YapeseEn},  subject_headings      = {Yapese language–Dictionaries–English, English language–Dictionaries–Yap, Yapese language–Dictionaries–English – English language–Dictionaries–Yap},  author                = {Jensen, John Thayer}}"
latitude,longitude
9.59852977216943159533,138.29219082367180249094
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
71409,1,hand,rifrif,,,,
71410,1,hand,paaq,,,8?,
434,2,left,gilaey',,,,
791,3,right,mat'aaw,,,"5,13",1
71486,4,leg/foot,rifrif,,,,1
71487,4,leg/foot,qaay,,,1,1
1505,5,"to walk",yaen,,,,
1862,6,road/path,woq,,,,
2219,7,"to come",yib,,,,
71713,8,"to turn",piig,,,,
71714,8,"to turn",cheleeg,,,,
2933,9,"to swim",noeŋ,,,,?
3290,10,dirty,qaliit,,,,
3647,11,dust,qaab,,,1?,1?
71953,12,skin,yalach,,,34,
71954,12,skin,yarooch,,,34,
71955,12,skin,doew,"\"skin of animal\"",,,
4361,13,back,keeruq,,,,
88017,14,belly,yi-n,his,,,
88018,14,belly,nae-g,my,,"19, 34",
5075,15,bone,yil,,,,?
5432,16,intestines,t'aay,(<+taqi?),,29,
5789,17,liver,qaed,,,1,1
6146,18,breast,thuth,,,1,1
72230,19,shoulder,puu-n,,,98,
72229,19,shoulder,poe-n,,,98,
6860,20,"to know, be knowledgeable",naaŋ,,,,
7217,21,"to think",leam,,,,
72400,22,"to fear",rus,,,,
72401,22,"to fear",magar,,,,
7931,23,blood,rachaq,"(1) from Palauan",L,,
72489,24,head,chug,,,,
72490,24,head,lalug,,,,
8645,25,neck,ŋuroeq,,,,
9002,26,hair,piy,,,,
9359,27,nose,p'eethŋuu-n,,,,
9716,28,"to breathe",pagoofaan,,,,
10073,29,"to sniff, smell",faraay,,,,
72844,30,mouth,l'igi-n,,,,
72845,30,mouth,l'ugu-n,,,,
72846,30,mouth,laŋaa-n,,,,
10787,31,tooth,ŋuwol,,L,,1
72976,32,tongue,balwoth,,,,
72977,32,tongue,yimnoon,,,,
11501,33,"to laugh",minmin,,,,
11858,34,"to cry",yoer,,,,
12215,35,"to vomit",suull'ugun,,,,
12572,36,"to spit",thuw[aeg],,,"19, 88",
73217,37,"to eat",qabiich,,,,
73218,37,"to eat",kaay,intrans?,,"1,44",
13286,38,"to chew",laŋad,,,,
73371,39,"to cook",liith,,,,1
73372,39,"to cook",luum,,,,1
73464,40,"to drink",qunum,,,1,1
73465,40,"to drink",quun,,,1,1
14357,41,"to bite",k'aad,,,1?,1?
73633,42,"to suck",fil[fil],,,,
73634,42,"to suck",[pin]piniŋ,,,,
90073,43,ear,teel,his,,1?,1?
90074,43,ear,lii-g,my,,,
15428,44,"to hear",ruŋqag,,,1?,1?
90117,45,eye,qawochean,,,,
90118,45,eye,miit,3.sg.poss,,1,1
16142,46,"to see",guy,,,,
16499,47,"to yawn",ŋuluq,,,,
16856,48,"to sleep",mool,,,,
172543,49,"to lie down","thig nga but",,,,
17570,50,"to dream",[ma]lik'aey,,,,
17927,51,"to sit",paer,,,,
18284,52,"to stand",saak'iy,,,,
74144,53,"person/human being",giidiiq,,,,
74145,53,"person/human being",giirdiiq,,,,
18998,54,man/male,moqon,,,1,1?
19355,55,woman/female,[b]piin,,,"1,106",1
19712,56,child,btiir,,,,
20069,57,husband,figir,,,,
20426,58,wife,lëq,,,,
20783,59,mother,chii-tin-ŋiin,,,1,1
21140,60,father,chii-tam-ŋiin,,,1,1
21497,61,house,naqun,,,,
21854,62,thatch/roof,chig,,,,
74703,63,name,ŋachol,,,1?,?
74704,63,name,ŋuchol,,,1?,?
22568,64,"to say",yoeg,,,,
74884,65,rope,gof,,,,1
74885,65,rope,tael,,,1,1
23282,66,"to tie up, fasten",m'aag,,,,
23639,67,"to sew",yip',,,,
75147,68,needle,raasam,,L,,
75148,68,needle,thuuk,,L,,
179367,69,"to hunt",makool,,,,
24710,70,"to shoot",yiin',,,,
25067,71,"to stab, pierce",rugöy,,,,
25424,72,"to hit",guul,,,,
75459,73,"to steal",[qir]qiriŋ,,,,
75460,73,"to steal",saath,,,,
26138,74,"to kill",liiq,,,,
26495,75,"to die, be dead",yiim',,,,
26852,76,"to live, be alive",fas,,,,
75627,77,"to scratch",guruuy,,,1?,
75628,77,"to scratch",(ker)keer,,,,
27566,78,"to cut, hack",doedöy,,,,
27923,79,stick/wood,leak',,,1,
28280,80,"to split",masëy,,,,
28637,81,sharp,"[m'uth] m'uuth",,,,
75979,82,"dull, blunt",boqogol,,,,
75980,82,"dull, blunt",muqgug,,,,
29351,83,"to work",märweel,,,,
76102,84,"to plant",miyuuq,,,,
76103,84,"to plant",yuuŋ,,,,
30065,85,"to choose",meel'eeg,,,1?,
76214,86,"to grow",tuguul,,,1,
76215,86,"to grow",tugiil,,,1,
30779,87,"to swell",mathow,,,,
31136,88,"to squeeze",qudiy,,,,
31493,89,"to hold",koel,,,,
31850,90,"to dig",[ker]keer,,,1,
32207,91,"to buy",chuwaey',,,,
32564,92,"to open, uncover",biiŋ,,,,
32921,93,"to pound, beat",pardëq,,,,
104367,94,"to throw",muun,(intrans.),,,
104368,94,"to throw",paag,(tns),,,
33635,95,"to fall",muul,,,,
76910,96,dog,kuus,,L,,
76911,96,dog,pilis,,L,,
34349,97,bird,qarcheaq,,,,
34706,98,egg,faak,,,9?,
35063,99,feather,wul,,,1,1
209509,100,wing,bon,,,,
35777,101,"to fly",chaŋëg,,,33,
36134,102,rat,boroq,,,,
36491,103,meat/flesh,qufin,,,,
77282,104,fat/grease,maam,,,,
77283,104,fat/grease,mam,,,,
37205,105,tail,buuk',"his tail",,,
37562,106,snake,parchooyog,,,,
37919,107,"worm (earthworm)",qäloelaey,,,,
38276,108,louse,thiil,"louse, egg, nit",,,
38633,109,mosquito,neeŋ,,,1?,?
38990,110,spider,goenöw,,,,
39347,111,fish,niig,,,1?,1
77644,112,rotten,meal,,,1,1
