id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
771,"She (Haifeng)","Hiroki Nakanishi",shx,shee1238,"Nakanishi, Hiroki. 畬語海豐方言基本詞彙集 / She yu Haifeng fang yan ji ben ci hui ji [A She Vocabulary: Haifeng Dialect]. Kyōto: 京都大學人文科學研究所 / Kyōto Daigaku Jinbun Kagaku Kenkyūjo, 2003.The selected dialect is that of Haifeng (海豐), Shanwei (汕尾), Guangdong, China. The Haifeng She tones are:1 = /22/2 = /31/3 = /44/4 = /54/5 = /11/6 = /35/7a = /22/7b = /11/8a = /44/8b = /35/",,"Hmong-Mien, Ho Nte","Andrew C. Hsiu",,"@book{nakanishi2003a,  unknown       = {畬語海豐方言基本詞彙集 / She yu Haifeng fang yan ji ben ci hui ji},  title_english = {A She Vocabulary: Haifeng Dialect},  publisher     = {Kyōto Daigaku Jinbun Kagaku Kenkyūjo},  date          = {2003},  address       = {Kyōto: 京都大學人文科學研究所},  author        = {Nakanishi, Hiroki}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
196506,1,hand,k'ua54,,,,
196507,2,left,kɔi54,,,,
196508,3,right,hiaŋ22,,,,
196696,4,leg/foot,tɔ11,,,,
196697,4,leg/foot,k'a31,,,,
196510,5,"to walk","ŋ̊ŋ54 ka44",,,,
196511,6,road/path,ka44,,,,
196512,7,"to come",lɤ54,,,,
196513,8,"to turn","ŋ̊ŋ22 kuan22 van44","kuan22 van44 < Chinese zhuan3 wan1",L,,
196514,10,dirty,"e22 ŋiɔ35",,,,
196515,12,skin,k'ɤ11,,,,
196516,13,back,"ke35 kɔŋ22",,,,
196698,15,bone,sɤŋ44,,,,
196699,15,bone,"sɤŋ44 kɔ44",,,,
196518,16,intestines,ŋiɔ44,,,,
196519,17,liver,hin22,,,,
196520,18,breast,"ŋiŋ44 kɔ44",,,,
196521,19,shoulder,"ka22 pe35",,,,
196700,20,"to know, be knowledgeable",ti11,,,,
196701,20,"to know, be knowledgeable","ti11 tu11",,,,
196523,21,"to think",siɔŋ11,,,,
196524,22,"to fear",ha22,,,,
196525,23,blood,si44,,,,
196702,24,head,kɔ44,,,,
196703,24,head,"kuaŋ35 k'ɤ11",,,,
196704,25,neck,"ka22 kin22",,,,
196705,25,neck,"ka22 kin22 ka44",,,,
196528,26,hair,"kuaŋ35 k'ɤ11 pi22",,,,
196529,27,nose,"k'ɤŋ44 piu54",,,,
196530,28,"to breathe","t'i11 k'i35",,,,
196531,29,"to sniff, smell",kɤŋ11,,,,
196532,30,mouth,tiɔ31,,,,
196533,31,tooth,mun44,,,,
196534,32,tongue,pi35,,,,
196535,33,"to laugh",kɤ35,,,,
196536,34,"to cry",ŋin44,,,,
196706,35,"to vomit","ka22 si35",,,,
196707,35,"to vomit",p'un44,,,,
196708,36,"to spit",p'ui54,,,,
196709,36,"to spit",p'i54,,,,
196539,37,"to eat",lɤŋ31,,,,
196540,38,"to chew","ka22 za11",,,,
196541,39,"to cook",ti44,,,,
196542,40,"to drink",hɔ35,Chinese,L,,
196543,41,"to bite",t'ɤ35,,,,
196544,42,"to suck",tse35,,,,
196545,43,ear,"ka31 k'ɤŋ44",,,,
196546,44,"to hear",kɤŋ11,"also means \"to sniff/smell\"",,,
196547,45,eye,"ka22 k'ɔ44",,,,
196548,46,"to see",mɔ35,,,,
196549,47,"to yawn","kia54 tiɔ31 lɤ11",,,,
196550,48,"to sleep",ŋiŋ35,,,,
196551,50,"to dream","tɔ54 lan31",,,,
196552,51,"to sit",ŋiŋ22,,,,
196553,52,"to stand",sɤ44,,,,
196554,53,"person/human being",le31,,,,
196555,54,man/male,"le31 pɤ44",,,,
196556,55,woman/female,"le31 va44",,,,
196557,56,child,"le31 taŋ22",,,,
196710,57,husband,pɤ44,,,,
196711,57,husband,"a22 pɤ44",,,,
196712,58,wife,va44,,,,
196713,58,wife,"a22 va44",,,,
196714,59,mother,"a22 me35",,,,
196715,59,mother,me35,,,,
196561,60,father,"a22 pa44",,,,
196562,61,house,"liu31 tɤŋ35",,,,
196563,62,thatch/roof,"liu31 t",,,,
196564,63,name,mui31,,,,
196565,65,rope,li11,,,,
196566,66,"to tie up, fasten","k'uaŋ31 pɔk22 kɔ44","to tie a knot",,,
196567,67,"to sew",ŋɤŋ31,,,,
196568,68,needle,kiɔŋ22,,,,
196569,70,"to shoot",sa35,,,,
196570,72,"to hit",k'uaŋ31,,,,
196571,73,"to steal","ka35 ŋin54",,,,
196716,74,"to kill",ta11,,,,
196717,74,"to kill",sat22,Chinese,L,,
196573,75,"to die, be dead",t'a54,,,1,
196574,76,"to live, be alive",ŋiɔ54,,,,
196575,77,"to scratch",va35,,,,
196576,78,"to cut, hack",pe35,,,,
196577,80,"to split",p'a11,,,,
