id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
772,"Hlai (Baoding)","Ouyang Jueya, Zheng Yiqing",lic,hlai1239,"欧阳觉亚, 郑贻青 / Ouyang Jueya, Zheng Yiqing. 黎语简志 / Li yu jian zhi (A Sketch of Li [Hlai]). Beijing: 民族出版社: 新华书店发行 / Min zu chu ban she: Xin hua shu dian fa xing, 1980.ISO 639-3: lic Also called Li. The Baoding/Ha (prestige) dialect is used.Tones:1 = /53/2 = /55/3 = /11/7 = /55/8 = /11/9 = /53/",,"Tai-Kadai, Hlai","Andrew C. Hsiu",,"@book{87089,  address               = {Beijing},  edition               = {Dai 1 ban},  pages                 = {137},  publisher             = {National Minorities Publ.},  series                = {Zhongguo shaoshu minzu yuyan jianzhi congshu},  title                 = {Li-yu jianzhi},  year                  = {1980},  bibtexkey             = {ouyang_li-jianzhi1980},  class_loc             = {PL4251.L5},  document_type         = {B},  fn                    = {eurasia\ouyang_li1980.pdf, eurasia\ouyang_li1980v2.pdf, eurasia\ouyang_li1980_o.pdf},  hhtype                = {grammar_sketch},  inlg                  = {Chinese-Mandarin [cmn]},  inlg_code             = {cmn},  macro_area            = {Eurasia},  mpi_eva_library_shelf = {PL 4251 .L5 OUY 1980},  src                   = {hh, mpieva},  srctrickle            = {hh#s:Ouyang:Li, mpieva#Ouyang1980Liyujian},  subject_headings      = {Li language, Li language},  title_english         = {Description of the Li language},  author                = {Ouyang, Jueya}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
196746,1,hand,meɯ1,,,1,
196932,2,left,hwi:ŋ1,,,48,
196933,2,left,ɬum3,,,,
196934,3,right,teȵ2,,,,
196935,3,right,khu:ŋ1,,,,
196936,4,leg/foot,ha1,leg,,42,
196937,4,leg/foot,khok7,foot,,31,
196938,5,"to walk",fei1,"to walk",,86,
196939,5,"to walk",hei1,"to go",,28,
196751,6,road/path,ku:n1,,,27?,
196940,7,"to come",pɯ:n1,"to come",,1?,
196941,7,"to come",da:n3,"to arrive",,4,
196942,10,dirty,"re:k7 ȵei3",,,,
196943,10,dirty,ȵaŋ3,,,,
196754,11,dust,fu:ŋ3,,,33,
196755,12,skin,no:ŋ1,,,56,
196756,13,back,"tsɯ(2) tshuȵ3",,,,
196757,14,belly,pok7,,,46,
196758,15,bone,vɯ:k7,,,1?,
196759,16,intestines,ra:i3,,,46,
196760,17,liver,ŋa:n1,,,,
196761,18,breast,tsei1,,,39,
196762,19,shoulder,"tsɯ(2) va2",,,1,
196944,20,"to know, be knowledgeable","khu:ŋ1 gweɯ1","to know (things)",,54,
196945,20,"to know, be knowledgeable",khu:ŋ1,"be knowledgeable",,54,
196764,21,"to think",ŋop7,,,,
196765,22,"to fear",da3,,,11,
196766,23,blood,ɬa:ȶ7,,,28,
196767,24,head,gwou3,,,1,
196768,25,neck,"tsɯ(2) zoŋ3",,,50,
196769,26,hair,"dan2 gwou3",,,,
196770,27,nose,khat7,,,13,
196771,29,"to sniff, smell",ha:i1,,,58,
196772,30,mouth,pom3,,,19,
196773,31,tooth,fan1,,,1,
196774,32,tongue,ɬi:n3,,,36,
196775,33,"to laugh",ra:u1,,,72,
196776,34,"to cry",ŋai3,,,52,
196777,35,"to vomit",fe:k7,,,2,
196778,36,"to spit",phi2,,,70,
196779,37,"to eat",la2,,,,
196780,38,"to chew",te:k7,,,39,
196781,39,"to cook",ro:ŋ2,,,61,
