id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
777,Proto-Koiarian,"Thomas Edward Dutton",,koia1260,"Dutton, Thomas Edward. 2010. Reconstructing Proto Koiarian: the history of a Papuan language family. Canberra: Pacific Linguistics.Koiarian consists of two branches: Koiaric and Baraic. Unless otherwise indicated by \"PKr\" or \"PBc,\" all reconstructions are Proto-Koiarian.PKr = Proto-KoiaricPBc = Proto-Baraic",,"Trans-New Guinea, Southeast Papuan, Koiarian","Andrew C. Hsiu",,"@book{33063,  address    = {Canberra},  pages      = {128},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics},  title      = {Reconstructing Proto Koiarian: The history of a Papuan language family},  volume     = {610},  year       = {2010},  bibtexkey  = {dutton_reconstructing-koiarian2010},  fn         = {papua\dutton_koiarian2010.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Dutton:Proto-Koiarian},  author     = {Dutton, Tom}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
197739,1,hand,*ada,"arm, hand, branch, wing",,,
197740,4,leg/foot,*díʔ-,"PBc: 'leg'",,,
197741,6,road/path,*ɣuma,"PKr: 'path, road'",,,
197742,7,"to come",*roɣo-,,,,
197743,9,"to swim","*(e,i)so-",,,,
197744,12,skin,*vata,,,,
197745,15,bone,*(ʔ)adV,PBc,,,
197746,16,intestines,*de,"stomach, intestines, feces",,,
197747,17,liver,*va,PBc,,,
197867,18,breast,*amu,,,,
197868,18,breast,"*m(u,o)sV",PBc,,,
197869,19,shoulder,"*bag(u,i,o)",PKr,,,
197870,19,shoulder,*sirefi,PBc,,,
197750,21,"to think",*ɣuɣu-,,,,
197751,22,"to fear",*juhu-,"PBc: 'to be afraid'",,,
197752,23,blood,*taɣo,blood,,,
197753,24,head,*kina,PKr,,,
197871,25,neck,*seno,,,,
197872,25,neck,*tu,"PKr: 'nape of neck'",,,
197755,27,nose,*uri,,,,
197756,30,mouth,*irV,PBc,,,
197757,31,tooth,*gubai,PBc,,,
197873,32,tongue,*neme,"PKr: 'middle tongue'",,,
197874,32,tongue,*bitarV,PBc,,,
197759,33,"to laugh",*ki(jo)-,PBc,,,
197760,34,"to cry",*ni[na]-,,,,
197761,35,"to vomit",*edo(ɣo)-ɣa-,PKr,,,
197762,37,"to eat",*i-,"to eat, drink",,,
197763,38,"to chew",*nana-,,,,
197875,39,"to cook",*amufa-,"to cook (in ground on hot stones), mumu",,,
197876,39,"to cook",*muru-,"PBc: 'to cook on hot stones'",,,
197765,40,"to drink",*i-,"to eat, drink",,,
197877,41,"to bite",*ua-ɣa-,PKr,,,
197878,41,"to bite",*jaʔi-,PBc,,,
197767,43,ear,*gada,PBc,,,
197768,44,"to hear",*ifi-,"to hear, understand, feel",,,
197769,45,eye,*ni,,,,
197879,46,"to see",*ere-ɣa-,PKr,,,
197880,46,"to see",*aga-,PBc,,,
197881,48,"to sleep",*ya-ɣa-,"PKr: 'to sleep, lie down'",,,
197882,48,"to sleep",*ni(n)a-,"PBc: 'to sleep'",,,
197772,49,"to lie down",*ya-ɣa-,"PKr: 'to sleep, lie down'",,,
197883,51,"to sit",*(u)gurama-,"PKr: 'to sit down'",,,
197884,51,"to sit",*fi-,"PBc: 'to sit' (singular subjects)",,,
197885,51,"to sit",*kari-,"PBc: 'to sit' (plural subjects)",,,
197774,52,"to stand",*ra-mi-,"singular subject only",,,
197886,53,"person/human being",*bia,"people (of)",,,
197887,53,"person/human being",*e,PBc,,,
197888,54,man/male,*ata,"PKr: 'man'",,,
197889,54,man/male,*mo,"PKr: 'male, boy, male child'",,,
197777,55,woman/female,*maɣina,,,,
197778,56,child,*ɣami,,,,
197779,57,husband,*baru,"PBc: 'man, husband'",,,
197780,58,wife,*mabara,,,,
197781,59,mother,*neina,PKr,,,
197890,60,father,*baba,"term of address",,,
197891,60,father,*mama,"term of reference",,,
197783,61,house,*arV,"PBc: 'house, place, land'",,,
197784,63,name,*ifí,,,,
197892,64,"to say","*ro(i,u)-","to say, speak, talk",,,
197893,64,"to say",*kua-,"PBc: 'to talk, speak'",,,
197894,65,rope,*ɣote,"PKr: 'vine, string, rope'",,,
197895,65,rope,*kai,"PBc: 'string, rope'",,,
197787,66,"to tie up, fasten",*tumu-,,,,
197788,67,"to sew",*sigu-,"to sew up",,,
197896,72,"to hit",*ɣa-ma-,,,,
197897,72,"to hit",*kan-,PBc,,,
197790,75,"to die, be dead",*vati-,PKr,,,
197791,77,"to scratch",*tumu-,"to scratch (skin)",,,
197898,78,"to cut, hack",*afa-,"to cut, chop (wood)",,,
197899,78,"to cut, hack",*vej-,"PBc: 'to chop, cut down'",,,
197793,79,stick/wood,*idí,"tree, stick, pole, log",,,
197794,83,"to work",*me,noun,,,
197795,84,"to plant",*va-,"to plant (garden)",,,
197900,90,"to dig",*karo-,"to dig up, dig out, harvest (yams)",,,
197901,90,"to dig",*rofo-,"PKr: 'to dig (hole)'",,,
