id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
785,Proto-Ongan,"Juliette Blevins",,,"Blevins, Juliette. 2007. \"A Long Lost Sister of Proto-Austronesian? Proto-Ongan, Mother of Jarawa and Onge of the Andaman Islands.\" Oceanic Linguistics, Volume 46, Number 1, June 2007, pp. 154-198.Proto-Ongan is ancestral to Onge and Jarawa, both spoken in the Andaman Islands.",,"Andamanese, Ongan","Andrew C. Hsiu",,"@article{hv_Blevins_Sister,  title            = {A Long Lost Sister of Austronesian? Proto-Ongan, Mother of Jarawa and Onge of the Andaman Islands},  journal          = {Oceanic Linguistics},  volume           = {46},  number           = {1},  pages            = {154-198},  year             = {2007},  fn               = {eurasia\blevins_ongan2007.pdf},  glottolog_ref_id = {83264},  hhtype           = {overview;comparative},  inlg             = {English [eng]},  lgcode           = {Önge [oon], Jarawa (India) [anq]},  macro_area       = {Eurasia},  author           = {Blevins, Juliette}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
199918,1,hand,*-ome,,,,
199919,4,leg/foot,*uge,"< *-uke",,,
199920,6,road/path,*icala,,,,
199921,7,"to come",*alema,,,,
199922,9,"to swim",*kwara,,,,
199923,12,skin,*-ati,,,,
199924,15,bone,*daŋ,,,,
199925,17,liver,*-oracu,,,,
199926,18,breast,*-akak,,,,
199927,19,shoulder,*-ala,,,,
200002,20,"to know, be knowledgeable",*-iliɲe,"to see, know",,,
200003,20,"to know, be knowledgeable",*-yaba,"to see",,,
200004,23,blood,*-aceŋ,,,,
200005,23,blood,*ceŋ,,,,
199930,24,head,*-otab,"head, face",,,
199931,25,neck,*-aŋito,,,,
199932,26,hair,*-ode,"hair, feather",,,
199933,27,nose,*-iɲjan-ipo,,,,
199934,30,mouth,*-alaŋ,,,,
199935,31,tooth,*-akwed,,,,
199936,32,tongue,*-adalaŋ,,,,
199937,33,"to laugh",*-eni,,,,
199938,34,"to cry",*wana,,,,
200006,37,"to eat",*-ita,,,,
200007,37,"to eat",*-ata,dbl.,,,
199940,40,"to drink",*-iɲco,,,,
199941,43,ear,*-ikwag,,,,
199942,45,eye,*-ecebo,"< *eca-ipo",,,
199943,46,"to see",*-iliɲe,"to see, know",,,
199944,48,"to sleep",*omok,"< *omuk",,,
199945,49,"to lie down",*tule,,,,
199946,51,"to sit",*antek,,,,
199947,52,"to stand",*doka,,,,
200008,53,"person/human being",*eŋ,,,,
200009,53,"person/human being",*əŋ,"< *en",,,
199949,54,man/male,*day,"boy, son",,,
200010,56,child,*ale,,,,
200011,56,child,*ecele,,,,
199951,58,wife,*-aŋa,,,,
199952,59,mother,*-aya,"term of address",,,
199953,63,name,*-atiba,,,,
199954,75,"to die, be dead",*peca-me,,,,
199955,79,stick/wood,*kayiw,"forest; stick",,,
199956,81,sharp,*-icale,"sharp edge (of knife)",,,
200012,96,dog,*weme,,,,
200013,96,dog,*wem,(?),,,
199958,97,bird,*nuk,,,1,
199959,98,egg,*gane,,,,
199960,99,feather,*-ode,"hair, feather",,,
199961,101,"to fly",*ugike-,,,,
199962,103,meat/flesh,*ipo,,,,
199963,105,tail,*-ukicele,,,,
199964,108,louse,*kuhi,,,,
199965,111,fish,*napo,,,,
199966,113,branch,*-ipil,"2nd word: hand, arm, branch, appendage",,,
199967,114,leaf,*bebe,,,,
199968,115,root,*ici-taŋ,"tree root",,,
199969,116,flower,*okw,,,,
199970,117,fruit,*otu,"seed, fruit",,,
199971,119,earth/soil,*bela,,,,
199972,120,stone,*uli,,,,
199973,122,water,*iŋ,,,,
199974,127,woods/forest,*kayiw,"forest; stick",,,
199975,128,sky,"*(p,b)aŋnan","flat (surface)",,,
199976,138,warm,*kulu,hot,,,
199977,139,cold,*jom,,,,
199978,143,fire,*tuke,,,,
199979,144,"to burn",*nam,"ignite fire, burn firewood; firewood",,,
199980,145,smoke,*bel,,,,
199981,147,black,*kiru,,,,
199982,148,white,*kala,,,,
199983,149,red,*gidu,,,,
199984,151,green,*-ele,green/blue,,,
199985,152,small,*baya,,,,
199986,153,big,*uma,,,,
199987,155,long,*talu,"long, big",,,
199988,160,"painful, sick",*-bule,,,,
199989,164,good,*baro,,,,
199990,165,"bad, evil","*(p,b)iti",,,,
199991,168,day,*eke,,,,
199992,177,this,*li,,,,
199993,178,that,*lu,,,,
199994,182,I,*mi,,,,
199995,183,thou,*ŋi,,,,
199996,184,he/she,*ekw-,"3pl. subject prefix",,,
199997,185,we,*eti,,,,
199998,188,what?,*one,,,,
199999,195,"no, not",*nadema,,,,
200000,197,One,*waya,,,,
200001,198,Two,*naga,,,,
