id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
787,Proto-Sino-Tibetan,"Hwang-cherng Gong (2003)",,sino1245,"Li, Paul Jen-kuei. 2004. \"Establishing Genetic Relationship between Language Families in Southeast Asia.\" In 林英津 / Yingjin Lin, et. al (eds.) 2004. 漢藏語研究: 龔煌城先生七秩壽慶論文集 [Studies on Sino-Tibetan languages: Papers in honor of Professor Hwang-cherng Gong on his Seventieth birthday].Li's tables use Sino-Tibetan reconstructions from Hwang-cherng Gong.",,Sino-Tibetan,"Andrew C. Hsiu",,"@incollection{73544,  address    = {Taipei},  booktitle  = {Studies on Sino-Tibetan Languages: Papers in Honor of Professor Hwang-Cherng Gong on his Seventieth Birthday},  pages      = {11-42},  publisher  = {Institute of Linguistics, Academia Sinica},  series     = {Language and Linguistics Monograph},  title      = {Establishing genetic relationship between language families in Southeast Asia},  volume     = {W-4},  year       = {2004},  bibtexkey  = {li_establishing-families2004},  fn         = {eurasia\li_seasia2004.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Eurasia},  src        = {hh},  srctrickle = {hh#hv:Li:SEAsia},  author     = {Li, Paul Jen-Kuei},  editor     = {Lin, Ying-chin and Hsu, Fang-min and Lee, Chun-chih and Sun, Jackson T.-S. and Yang, Hsiu-fang and Ho, Dah-an}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
200238,1,hand,**-ək,,,,
200239,4,leg/foot,**-jid,,,,
200240,5,"to walk",**-jag,,,,
200324,14,belly,**-jəkw,belly,,,
200325,14,belly,**-jət,stomach,,,
200326,17,liver,**-al,,,,
200327,17,liver,**sjin,,,,
200243,18,breast,**njug,"breast, milk",,,
200244,21,"to think",**-jəm,,,,
200245,22,"to fear",**-ang,,,,
200246,23,blood,**-hwit/d,,,,
200247,24,head,**-agw,"head, brains",,,
200248,25,neck,**-ul,,,,
200249,26,hair,**-jag,"hair, feather",,,
200250,28,"to breathe",**-jək,,,,
200251,30,mouth,**-ug,,,,
200252,32,tongue,**mljat/d,,,,
200253,34,"to cry",**-jəp,,,,
200328,37,"to eat",**-jək,,,,
200329,37,"to eat",**-jag,,,,
200330,37,"to eat",**-jəm,,,,
200255,40,"to drink",**-jəm,,,,
200256,42,"to suck",**-uk,,,,
200257,43,ear,**-jəg,,,,
200258,46,"to see",**-ag,,,,
200259,48,"to sleep",**-jim,"lie down, sleep",,,
200260,49,"to lie down",**-jim,"lie down, sleep",,,
200261,50,"to dream",**-jəng,,,,
200262,52,"to stand",**-jəp,,,,
200263,55,woman/female,**-jag,,,,
200264,56,child,**-jəg,,,,
200265,57,husband,**-jag,,,,
200266,59,mother,**-əg,,,,
200267,60,father,**-jag,,,,
200268,61,house,**-jim,,,,
200269,62,thatch/roof,**-ap,"thatch, cover",,,
200270,63,name,**-jing,,,,
200331,67,"to sew",**-juat,,,,
200332,67,"to sew",**-ag,,,,
200272,70,"to shoot",**-ək/g,"arrow; PTB: *b-la",,,
200333,72,"to hit",**-ung,,,,
200334,72,"to hit",**-uk,,,,
200274,73,"to steal",**-ug,,,,
200335,74,"to kill",**-iat,,,,
200336,74,"to kill",**-um,,,,
200337,75,"to die, be dead",**sjid,,,,
200338,75,"to die, be dead",**-jut,,,,
200339,79,stick/wood,**sjing,"tree, wood",,,
200340,79,stick/wood,**-ar,"stick, pole",,,
200341,88,"to squeeze",**-jik,"to strangle",,,
200342,88,"to squeeze",**-ik,squeeze,,,
200279,90,"to dig",**-jət,,,,
200280,99,feather,**-jag,"hair, feather",,,
200281,100,wing,**-ək,,,,
200343,101,"to fly",**-jur,,,,
200344,101,"to fly",**-jagw,,,,
200283,104,fat/grease,**-agw,,,,
200284,105,tail,**-jəd,,,,
200285,106,snake,**smrjul,,,,
200286,108,louse,**-jik,"head louse",,,
200287,111,fish,**-jag,,,,
200288,115,root,**-ul,,,,
200289,122,water,**-jud,,,,
200290,129,moon,**-jag/k,,,,
200345,132,fog,**-mjug/k,,,,
200346,132,fog,**-jang,,,,
200292,139,cold,**-jang,,,,
200293,140,dry,**-an,,,,
200294,143,fire,**-əd,,,,
200295,144,"to burn",**-jər,,,,
200296,147,black,**-ək,"black, ink",,,
200297,148,white,**-ar,,,,
200298,153,big,**-ad,,,,
200299,156,thin,**-ak/g,,,,
200300,160,"painful, sick",**-ung,,,,
200301,162,old,**-agw,,,,
200347,163,new,**-jing,,,,
200348,163,new,**-jar,,,,
200303,164,good,**-jang,,,,
200304,165,"bad, evil",**-ak,,,,
200305,167,night,**-un,"evening, night",,,
200349,168,day,**njid/t,sun,,,
200350,168,day,**-ang,sun,,,
200351,168,day,**-juk,day,,,
200307,169,year,**ning,,,,
200308,177,this,**-jag,,,,
200309,180,far,**-ag,,,,
200352,182,I,**ŋag/ŋ,,,,
200353,182,I,**-ad,,,,
200311,186,you,**njag/ŋ,,,,
200312,188,what?,**-ag,"how, why, what",,,
200313,194,how?,**-ag,"how, why, what",,,
200314,196,"to count",**-uar,,,,
200315,197,One,**-jit,,,,
200316,198,Two,**-jid,,,,
200317,199,Three,**-um,,,,
200354,200,Four,**-jid,,,,
200355,200,Four,**-id,,,,
200319,201,Five,**-ag,,,,
200320,202,Six,**-jəkw,,,,
200321,203,Seven,**-jit,,,,
200322,204,Eight,**-ʔiat,,,,
200323,205,Nine,**kjəgw,,,,
