id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
804,"Bunun (Takbanuaz)","Li (2004)",bnn,bunu1267,"Li, Paul Jen-kuei. 2004. \"Basic Vocabulary for Formosan Languages and Dialects.\" In Li, Paul Jen-kuei. 2004. Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, Bunun","Andrew C. Hsiu","Simon Greenhill","@incollection{459321,  address    = {Taipei, Taiwan},  booktitle  = {Selected Papers on Formosan Languages},  pages      = {1483-1532},  publisher  = {Institute of Linguistics, Academia Sinica},  title      = {Basic Vocabulary for Formosan Languages and Dialects},  year       = {2004},  bibtexkey  = {li_basic-formosan2004},  fn         = {papua\li_basic-formosan2004.pdf, papua\li_formosan2004.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Li:Formosan:2004},  author     = {Li, Paul Jen-Kuei},  editor     = {Li, Paul Jen-Kuei}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
203944,1,hand,ʔima,,,"1,65",
203945,2,left,tanavili,,,1,
203946,3,right,tanavanan,,,1,
203947,4,leg/foot,bantas,,,51,
203948,5,"to walk",mudadaan,,,21,
203949,6,road/path,daan,,,1,
203950,7,"to come",luðaʔ,,,,
203951,7,"to come",minsumin,,,29,
203952,8,"to turn",siqaivusvus,,,60,
203953,9,"to swim",ʔapʔap,,,68,
203954,10,dirty,mataqduŋ,,,89,
203955,12,skin,kahuŋ,,,59,
203956,13,back,hikuʔ,,,1,
203957,14,belly,tian,,,1,
203958,15,bone,tuqnað,,,1,
203959,16,intestines,silup,,,50,
203960,17,liver,qatað,,,1,
203961,18,breast,susuʔ,,,1,
203962,19,shoulder,vaʔuʔ,,,48,
203963,20,"to know, be knowledgeable",qansiap,,,70,
203964,21,"to think",miliskin,,,55,
203965,22,"to fear",mapisiŋ,,,55,
203966,23,blood,qaidaŋ,,,36,
203967,24,head,buŋuʔ,,,2,
203968,25,neck,mudan,,,57,
203969,26,hair,qulbuʔ,"*qaRbu, but initial vowel not reconstructable",,16,
203970,27,nose,ŋutus,,,42,
203971,28,"to breathe",sumbaŋ,,,55,
203972,29,"to sniff, smell",saak,,,1,
203973,30,mouth,ŋulus,,,65,
203974,31,tooth,nipun,,,1,
203975,32,tongue,mama,"could be derived from *Sema but expected form would be suma. BB.",,37,
203976,33,"to laugh",maqainan,,,75,
203977,34,"to cry",taŋis,,,1,
203978,35,"to vomit",mutaq,,,1,
203979,36,"to spit",masnipaq,,,74,
203980,37,"to eat",maʔun,,,1,
