id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
816,"Rukai (Mantauran L04)","Li (2004)",dru,ruka1240,"Li, Paul Jen-kuei. 2004. \"Basic Vocabulary for Formosan Languages and Dialects.\" In Li, Paul Jen-kuei. 2004. Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, Rukai","Andrew C. Hsiu","Simon Greenhill","@incollection{459321,  address    = {Taipei, Taiwan},  booktitle  = {Selected Papers on Formosan Languages},  pages      = {1483-1532},  publisher  = {Institute of Linguistics, Academia Sinica},  title      = {Basic Vocabulary for Formosan Languages and Dialects},  year       = {2004},  bibtexkey  = {li_basic-formosan2004},  fn         = {papua\li_basic-formosan2004.pdf, papua\li_formosan2004.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Li:Formosan:2004},  author     = {Li, Paul Jen-Kuei},  editor     = {Li, Paul Jen-Kuei}}"
latitude,longitude
22.83333299999999965735,120.83333299999999610463
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
206475,1,hand,aɭima,,,1,
206476,2,left,iriə,,,1,
206477,3,right,analaə,,,1,
206478,4,leg/foot,okoko,,,46,
206479,5,"to walk",oðaacə,,,23,
206480,6,road/path,vaɭəvaɭəʔaə,,,,
206481,7,"to come",motaʔaləvə,,,,
206482,8,"to turn",ʔinipaɭici,,,103,
206483,9,"to swim",olaŋoi,,,1,
206484,10,dirty,makoðoɭo,,,91,
206485,12,skin,piciŋi,,,63,
206486,13,back,ðəɭəhə,,,71,
206487,14,belly,varaŋə,,,67,
206488,15,bone,paŋoɭo,,,,
206489,16,intestines,voro,"small intestine",,53,
206490,16,intestines,tatosərəkaə,"large intestine",,,
206491,17,liver,asay,,,1,
206492,18,breast,soso,,,1,
206493,19,shoulder,aliaðaŋaaə,,,49,
206494,20,"to know, be knowledgeable",oɭihoʔo,,,72,
206495,21,"to think",apaʔiiðəəðəðəmə,,,"13,58",
206496,22,"to fear",okoloðo,,,57,
206497,23,blood,əray,,,40,
206498,24,head,cokonoro,,,,
206499,25,neck,ɭəʔə,,,1,
206500,26,hair,ioʔo,,,50,
206501,27,nose,ŋoŋoʔo,,,27?,
206502,28,"to breathe",mainəakə,,,59,
206503,29,"to sniff, smell",oʔavaɭi,,,3,
206504,30,mouth,ŋoðoi,,,71,
206505,31,tooth,aliʔi,,,2,
206506,32,tongue,ɭiðamə,,,3,
206507,33,"to laugh",maʔomao,,,,
206508,34,"to cry",otobi,"[v] expected for [b] -EG",,54,
206509,35,"to vomit",oʔoaðə,,,1,
206510,36,"to spit",ʔoŋaɭai,,,3,
206511,37,"to eat",okanə,,,1,
206512,38,"to chew",oapoʔo,"to chew betel",,50,
206513,39,"to cook",osisiʔi,,,76,
206514,40,"to drink",oʔoŋolo,,,45,
206515,41,"to bite",okaʔacə,,,1,
206516,42,"to suck",osəpəsəpə,,,1,
206517,43,ear,caɭiŋa,,,1,
206518,44,"to hear",osialaɭa,,,52,
206519,45,eye,maca,eyeball,,1,
206520,46,"to see",ocəŋklə,,,77,
206521,47,"to yawn",maoʔovo,,,19,
206522,48,"to sleep",oʔapəcə,,,77,
206523,50,"to dream",oʔipi,,,1,
206524,51,"to sit",tolohoɭaə,,,,
206525,52,"to stand",iðiʔi,,,1,
206526,54,man/male,ʔaolay,,,"1,108",
206527,55,woman/female,ʔavay,,,1,
206528,56,child,ɭolay,,,20,
206529,59,mother,ina,"term of reference",,1,
206530,59,mother,inakə,"term of address",,1,
206531,60,father,ama,"term of reference",,1,
206532,60,father,amakə,"term of address",,1,
206533,61,house,ðaʔanə,,,41,
206534,62,thatch/roof,caɭai,,,2,
206535,63,name,aɭacə,,,33,
206536,64,"to say",ʔaovaovaha,,,101,
206537,65,rope,caiʔi,,,1,
206538,66,"to tie up, fasten",oəvəhə,,,72,
206539,67,"to sew",ocikipi,"-ipi? -EG",,57?,
206540,68,needle,inəmay,,,22,
206541,69,"to hunt",oalopo,,,1,
206542,70,"to shoot",opana,,,1,
206543,71,"to stab, pierce",oraʔavahə,,,71,
206544,72,"to hit",otoovoŋo,,,,
206545,72,"to hit",okəɭakəɭaŋə,,,,
206546,73,"to steal",okoʔopa,,,37,
206547,74,"to kill",matəʔətə,,,,
206548,75,"to die, be dead",maʔətə,"L? Would expect medial [s] or [c]. -EG",,,
206549,76,"to live, be alive",moðipi,,,1,
206550,77,"to scratch",okakaʔo,,,1,
206551,78,"to cut, hack",osiavə,,,39,
206552,79,stick/wood,ʔaŋato,"tree, wood",,18,
