id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
821,"Seediq L04 (Toda)","Li (2004)",trv,taro1264,"Li, Paul Jen-kuei. 2004. \"Basic Vocabulary for Formosan Languages and Dialects.\" In Li, Paul Jen-kuei. 2004. Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, Atayalic, Seediq","Andrew C. Hsiu","Simon Greenhill","@incollection{459321,  address    = {Taipei, Taiwan},  booktitle  = {Selected Papers on Formosan Languages},  pages      = {1483-1532},  publisher  = {Institute of Linguistics, Academia Sinica},  title      = {Basic Vocabulary for Formosan Languages and Dialects},  year       = {2004},  bibtexkey  = {li_basic-formosan2004},  fn         = {papua\li_basic-formosan2004.pdf, papua\li_formosan2004.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Li:Formosan:2004},  author     = {Li, Paul Jen-Kuei},  editor     = {Li, Paul Jen-Kuei}}"
latitude,longitude
24.16666700000000034265,121.41666700000000389537
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
207529,1,hand,bawa,,,51,
207530,2,left,iril,,,60,
207531,3,right,narac,,,52,
207532,4,leg/foot,btəriq,,,44,
207533,5,"to walk",mkəsa,,,52,
207534,6,road/path,əlu,,,40,
207535,7,"to come",miyah,,,33,
207536,8,"to turn",tmwiya,,,101,
207537,9,"to swim",lmaŋuy,"to play with water, to wash",,1,
207538,10,dirty,mrutiq,,,88,
207539,12,skin,qraqil,,,3,
207540,13,back,bukuy,,,68,
207541,14,belly,mbuyas,,,66,
207542,15,bone,buc,,,42,
207543,16,intestines,iraq,,,49,
207544,17,liver,rumul,,,27,
207545,18,breast,nunuh,,,3,
207546,19,shoulder,hiraŋ,,,47,
207547,20,"to know, be knowledgeable",mkəla,,,69,
207548,21,"to think",lmŋəluŋ,,,2,
207549,22,"to fear",miicu,,,53,
207550,23,blood,dara,,,1,
207551,24,head,tunux,,,35,
207552,25,neck,waru,,,92,
207553,26,hair,snuunux,,,2,
207554,27,nose,muhiŋ,,,26,
207555,28,"to breathe",pshəŋak,,,54,
207556,29,"to sniff, smell",smkənux,,,2,
207557,30,mouth,quwaq,,,30,
207558,31,tooth,rupun,,,36,
207559,32,tongue,həma,,,1,
207560,33,"to laugh",mhulis,,,74,
207561,34,"to cry",lmiŋis,,,15,
207562,35,"to vomit",pbərih,,,25,
207563,36,"to spit",mssiyaq,,,73,
207564,36,"to spit",tmuyuq,,,80,
207565,37,"to eat",məkan,,,1,
207566,38,"to chew",msəan,,,44,
207567,39,"to cook",hmaŋuc,,,69,
207568,40,"to drink",mimah,,,2,
207569,41,"to bite",qmiyuc,,,50,
207570,42,"to suck",hmuuc,,,41,
207571,43,ear,birac,,,32,
207572,44,"to hear",mbahaŋ,,,43,
207573,45,eye,doriq,,,2,
207574,46,"to see",qmita,,,1,
207575,47,"to yawn",msurak,,,35,
207576,48,"to sleep",mtaqi,,,71,
207577,50,"to dream",msəpi,,,1,
207578,51,"to sit",tluuŋ,,,122,
207579,52,"to stand",mhiyu,,,48,
207580,54,man/male,sənaw,,,56,
207581,55,woman/female,qridil,,,2,
207582,56,child,laqi,,,34,
207583,59,mother,bubu,,,67,
207584,60,father,tama,,,1,
207585,61,house,sapah,,,58,
207586,62,thatch/roof,dnamux,,,54,
207587,63,name,haŋan,,,"1,49",
207588,64,"to say",rməŋaw,,,18,
207589,65,rope,qnrapiʔ,,,43,
207590,66,"to tie up, fasten",məkuy,,,98,
207591,67,"to sew",smais,,,"1,52",
207592,68,needle,qumi,,,29,
207593,69,"to hunt",phuliŋ,,,69,
207594,69,"to hunt",maduk,,,55,
207595,70,"to shoot",cməbu,,,14,
207596,71,"to stab, pierce",metaq,,,81,
207597,72,"to hit",sməbuc,,,102,
207598,72,"to hit",tmutiŋ,,,101,
207599,73,"to steal",umoui,,,,
