id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
822,"Seediq L04 (Hecuo)","Li (2004)",trv,taro1264,"Li, Paul Jen-kuei. 2004. \"Basic Vocabulary for Formosan Languages and Dialects.\" In Li, Paul Jen-kuei. 2004. Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, Atayalic, Seediq","Andrew C. Hsiu","Simon Greenhill","@incollection{459321,  address    = {Taipei, Taiwan},  booktitle  = {Selected Papers on Formosan Languages},  pages      = {1483-1532},  publisher  = {Institute of Linguistics, Academia Sinica},  title      = {Basic Vocabulary for Formosan Languages and Dialects},  year       = {2004},  bibtexkey  = {li_basic-formosan2004},  fn         = {papua\li_basic-formosan2004.pdf, papua\li_formosan2004.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Li:Formosan:2004},  author     = {Li, Paul Jen-Kuei},  editor     = {Li, Paul Jen-Kuei}}"
latitude,longitude
24.16666700000000034265,121.41666700000000389537
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
207743,1,hand,baga,,,51,
207744,2,left,iril,,,60,
207745,3,right,narac,,,52,
207746,4,leg/foot,btəriʡ,,,44,
207747,5,"to walk",mkəsa,,,52,
207748,6,road/path,əlug,,,40,
207749,7,"to come",miyah,,,33,
207750,8,"to turn",tmriya,,,101,
207751,9,"to swim",lmaŋuy,"to play with water, to wash",,1,
207752,10,dirty,mruciʡ,,,88,
207753,12,skin,ʡraʡil,,,3,
207754,13,back,bukuy,,,68,
207755,14,belly,mbuyas,,,66,
207756,15,bone,buc,,,42,
207757,16,intestines,iraʡ,,,49,
207758,17,liver,rumul,,,27,
207759,18,breast,unuh,,,3,
207760,19,shoulder,hiraŋ,,,47,
207761,20,"to know, be knowledgeable",mkəla,,,69,
207762,21,"to think",lmŋəluŋ,,,2,
207763,22,"to fear",meisug,,,53,
207764,23,blood,dara,,,1,
207765,24,head,tunux,,,35,
207766,25,neck,waru,,,92,
207767,26,hair,snuunux,,,2,
207768,27,nose,muhiŋ,,,26,
207769,28,"to breathe",pshəŋak,,,54,
207770,29,"to sniff, smell",smkənux,,,2,
207771,30,mouth,ʡuwaʡ,,,30,
207772,31,tooth,gupun,,,36,
207773,32,tongue,həma,,,1,
207774,33,"to laugh",mhulis,,,74,
207775,34,"to cry",lmiŋis,,,15,
207776,35,"to vomit",pbərih,,,25,
207777,36,"to spit",mshiraw,,,73?,
207778,36,"to spit",tmuyuʡ,,,80,
207779,37,"to eat",məkan,,,1,
207780,38,"to chew",msəkan,,,44,
207781,39,"to cook",hmaŋuc,,,69,
207782,40,"to drink",mimah,,,2,
207783,41,"to bite",ʡmiyuc,,,50,
207784,42,"to suck",hmuguc,,,41,
207785,43,ear,birac,,,32,
207786,44,"to hear",mbahaŋ,,,43,
207787,45,eye,doriʡ,,,2,
207788,46,"to see",ʡmita,,,1,
207789,47,"to yawn",msurak,,,35,
207790,48,"to sleep",mtaʡi,,,71,
207791,50,"to dream",msəpi,,,1,
207792,51,"to sit",tluuŋ,,,122,
207793,52,"to stand",mhiyug,,,48,
207794,54,man/male,sənaw,,,56,
207795,55,woman/female,ʡrijil,,,2,
