id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
826,"Saaroa L04","Li (2004)",sxr,saar1237,"Li, Paul Jen-kuei. 2004. \"Basic Vocabulary for Formosan Languages and Dialects.\" In Li, Paul Jen-kuei. 2004. Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, Tsouic, Saaroa","Andrew C. Hsiu","Simon Greenhill","@incollection{459321,  address    = {Taipei, Taiwan},  booktitle  = {Selected Papers on Formosan Languages},  pages      = {1483-1532},  publisher  = {Institute of Linguistics, Academia Sinica},  title      = {Basic Vocabulary for Formosan Languages and Dialects},  year       = {2004},  bibtexkey  = {li_basic-formosan2004},  fn         = {papua\li_basic-formosan2004.pdf, papua\li_formosan2004.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Li:Formosan:2004},  author     = {Li, Paul Jen-Kuei},  editor     = {Li, Paul Jen-Kuei}}"
latitude,longitude
23.26320000000000000000,120.71100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
208574,1,hand,ramucu,,,4,
208575,2,left,ʔirii,,,1,
208576,2,left,vaciki,,,61,
208577,3,right,ʔaɬanə,,,"1,68",
208578,4,leg/foot,saaə,,,68,
208579,5,"to walk",muasaasala,,,21,
208580,6,road/path,salaʔa,,,1,
208581,7,"to come",mucəkəɬə,,,40,
208582,8,"to turn",takusəələ,,,62,
208583,9,"to swim",makaaɬaŋulu,,,1,
208584,10,dirty,ʔaɬaŋəaŋa,,,113,
208585,12,skin,kulaluŋ,,,67,
208586,13,back,likušu,,,1,
208587,14,belly,civuka,,,68,
208588,15,bone,culaɬə,,,1,
208589,16,intestines,iluʔu,,,55,
208590,17,liver,ʔaciʔi,,,1,
208591,18,breast,ʔušušu,,,1,
208592,19,shoulder,aɬiasa,,,51,
208593,19,shoulder,aɬiaɬa,,,51,
208594,20,"to know, be knowledgeable",macaɬia,,,3,
208595,21,"to think",pacəcəpəŋə,,,59,
208596,22,"to fear",arakicacə,,,,
208597,23,blood,caraʔə,,,1,
208598,24,head,vuŋuʔu,,,2,
208599,25,neck,kuaŋərəɬa,,,53,
208600,26,hair,vəkəə,,,1,
208601,27,nose,ŋɔŋɔru,,,28,
208602,28,"to breathe",murunianiaa,,,1,
208603,29,"to sniff, smell",umavali,,,3,
208604,30,mouth,ŋušuu,2?,,2,
208605,31,tooth,aɬii,,,2,
208606,32,tongue,ʔavasə,,,5,
208607,33,"to laugh",macacaa,,,1,
208608,34,"to cry",tumaŋi,,,1,
