id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
831,"Favorlang OL03","Naoyoshi Ogawa",bzg,babu1240,"Ogawa, Naoyoshi and Paul Jen-kui Li (ed.). 2003. English-Favorlang vocabulary. Tokyo: Research Institute for Languages and Cultures of Asia and Africa.This lexicon was compiled by Paul Jen-kuei Li from Naoyoshi Ogawa's unpublished manuscripts/notebooks. There are a total of 5 undated notebooks dating from sometime around the early 1900's. The notebooks are currently held at ILCAA, TUFS, and Nanzan University (Anthropological Institute), all in Japan. In Ogawa & Li (2003), Some data may have also been derived from Dutch sources (missionary tracts, etc.) dating from the mid-1600's.",,"Austronesian, Western Plains, Central Western Plains, Favorlang-Babuza","Andrew C. Hsiu",,"@book{ogawa2003a,  date      = {2003},  title     = {English-Favorlang vocabulary},  publisher = {Research Institute for Languages and Cultures of Asia and Africa},  language  = {en},  address   = {Tokyo},  editor    = {Ogawa, Naoyoshi and Li, Paul Jen-kui}}"
latitude,longitude
24.00170000000000000000,120.58500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
210107,1,hand,rima,,,"1,64",
210108,2,left,kairi,,,"1,42",
210109,3,right,kallamas,,,35,
210311,4,leg/foot,asiel,,,48,
210312,4,leg/foot,aʂiel,,,48,
210313,5,"to walk",mababat,,,92,
210314,5,"to walk",moas,,,101,
210112,6,road/path,tarran,,,1,
210315,7,"to come",sai,,,52,
210316,7,"to come",ʂai,,,52,
210317,7,"to come",mai,,,1,
210318,7,"to come",ka-mai,,,1,
210319,7,"to come",ka-minai,,,1,
210114,8,"to turn",rummigo,,,,
210115,9,"to swim",summaso,"cf. mebabo 'float'",,70,
210116,10,dirty,miach,,,40,
210117,11,dust,borrabor,,,14,
210320,12,skin,bog,,,65,
210321,12,skin,bogh,,,65,
210119,13,back,sies,,,7,
210322,14,belly,chaan,,,1,
210323,14,belly,choan,,,1,
210121,15,bone,oot,,,20,
210122,16,intestines,oda,,,32,
210324,18,breast,arrabis,,,52,
210325,18,breast,zido,"the breast, nipple, milk from zinido",,45,
210124,19,shoulder,babiar,,,28,
210125,20,"to know, be knowledgeable",maba,,,44,
210326,21,"to think",tumpa,,,60,
210327,21,"to think",esurro,,,,
210328,22,"to fear",ikkil,,,42,
210329,22,"to fear",mikkil,,,42,
210330,22,"to fear",me'il,"to fear, take care, avoid",,42,
210331,23,blood,taḡḡa,"ḡ = pharyngeal consonant",,1,
210332,23,blood,tagga,,,1,
210333,23,blood,taga,,,1,
210129,24,head,oeno,,,34,
210334,25,neck,ri,"throat, neck",,1?,
210335,25,neck,arriborribon,"neck, back part of the head",,,
210336,25,neck,bo-ri,"flesh of the neck, cut off from the bone",,1?,
210337,25,neck,bokkir,throat,,,
210131,26,hair,tau,,,38,
210132,27,nose,not,,,38,
210338,28,"to breathe",chums-an,,,39,
210339,28,"to breathe",pauchar,,,68,
210340,29,"to sniff, smell",ombo,,,40,
210341,29,"to sniff, smell",mibo,,,40,
210342,29,"to sniff, smell",nomosnos,,,61,
210135,30,mouth,ranied,,,78,
210343,31,tooth,sjien,,,7,
210344,31,tooth,shien,,,7,
210345,31,tooth,labies,tusk,,46,
210346,31,tooth,raos,"an eyetooth, or double tooth",,23,
210347,32,tongue,tatsira,,,4,
210348,32,tongue,tazirra,,,4,
210138,33,"to laugh",mais,,,39,
210139,34,"to cry",mirras,,,73,
