id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
832,"Basay L04","Paul Jen-kuei Li",byq,basa1287,"3 papers from Paul Jen-kuei Li were consulted.1) The Linguistic Position of Basay (2001) [in Chinese]2) Origins of the East Formosans (2004)3) Problems in the Basay Language (1999)All 3 papers can be found in Li, Paul Jen-kuei (2004). Selected Papers on Formosan Languages. Taipei, Taiwan: Institute of Linguistics, Academia Sinica.",,"Austronesian, East Formosan, Northern, Basay","Andrew C. Hsiu",,"@book{49679,  address               = {[Taipeh]},  note                  = {Includes bibliographical references and index. Chinese and English},  publisher             = {Institute of Linguistics, Academia Sinica},  series                = {Language and linguistics monograph series},  title                 = {Selected papers on Formosan languages Taiwan nan dao yu yan lun wen xuan ji},  volume                = {C3},  year                  = {[2004]},  bibtexkey             = {li_dao-xuan2004},  class_loc             = {PL6145},  document_type         = {2 B},  hhtype                = {comparative},  inlg                  = {Chinese-Mandarin [cmn]},  inlg_code             = {cmn},  isbn                  = {957-01-8413-2},  mpi_eva_library_shelf = {PL 6145 LI [2004] -...},  src                   = {mpieva},  srctrickle            = {mpieva#Li2004Selected},  subject_headings      = {Taiwan languages, Taiwan languages},  author                = {Li, Paul Jen-kuei}}"
latitude,longitude
25.00460000000000000000,121.85700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
210585,1,hand,cima,,,1,
210586,2,left,ka-wiLi,"Trobiawan dialect",,"1,42",
210587,5,"to walk",c-um-aka-cakay,,,3,
210588,6,road/path,cacan,,,1,
210589,7,"to come",moasali,"to arrive",,33,
210590,9,"to swim",nanuy,,,1,
210591,10,dirty,lakungkung,,,112,
210592,14,belly,tian,,,1,
210593,15,bone,tulan,,,1,
210594,16,intestines,tinai,,,1,
210595,18,breast,cicu,"irregular sound change",,1,
210596,23,blood,cala,,,1,
210689,24,head,ucu,,,1,
210690,24,head,tavan,,,,
210598,26,hair,bukəs,,,1,
210599,31,tooth,bancaw,,,34,
210746,33,"to laugh",tawa,,,1,
210600,34,"to cry",t-um-aŋice,,,1,
210601,36,"to spit",uta,,,,
210602,37,"to eat",k-um-an,,,1,
210603,39,"to cook",m-Likan,,,40,
210604,41,"to bite",harate,"L < Paiwan? -EG",L?,1,
210605,42,"to suck",cəpcəp,,,1,
210606,45,eye,mata,,,1,
210691,46,"to see",zamal,,,107,
210692,46,"to see",zumal,,,107,
210608,48,"to sleep",miip,,,95,
210745,48,"to sleep",iip,,,95,
210609,53,"person/human being",tau,,,1,
210610,55,woman/female,b-in-ay,,,"1,41",
210611,56,child,wanake,,,"1,86",
210693,57,husband,cawaa,"metathesis < *qasawa",,2,
210694,57,husband,maninai,,,66,
210613,58,wife,minai,,,11,
210614,59,mother,tina,,,1,
210615,60,father,tama,,,1,
210695,61,house,kiniyen,home,,55,
210696,61,house,kinian,home,,55,
290401,62,thatch/roof,cakup,"Irreg. L? Cf Pilam. -EG",,51,
210617,63,name,ŋanan,,,1,
210697,64,"to say",kusa,,,125,
210698,64,"to say",sakusa,,,125,
210699,64,"to say",makawas,"past tense",,4,
290402,65,rope,sehəte,,,,
210619,70,"to shoot",pana,"to throw",,1,
210620,72,"to hit",patay,"< *paCay 'to die'",,,
290403,74,"to kill",matai,,,2,
210621,75,"to die, be dead",matai,"Trobiawan dialect",,1,
210622,76,"to live, be alive",malsaosao,alive,,,
210623,77,"to scratch",halaw,"Expected [k] from *k. -EG",,1,
210624,78,"to cut, hack",taktak,"to cut down (a tree)",,3,
210625,80,"to split",cuppe,,,,
210626,84,"to plant",pa-luma,,,23,
210627,85,"to choose",p-am-ici,,,1,
210628,89,"to hold",acap,"< *alap",,82?,
210629,92,"to open, uncover",t-um-angai,,,22,
210630,96,dog,wacu,,,1,
210700,97,bird,manuk,bird,,1,
210701,97,bird,toqoqa,chicken,,,
210632,98,egg,"telud' ~ telod'","would expect ~tetsu(l)",L,,
210633,102,rat,mutun,,,31,
210634,103,meat/flesh,ci,,,1,
210635,108,louse,kutu,,,1,
210636,110,spider,pakaw,,,54,
210702,111,fish,baute,,,31,
210703,111,fish,vautta,"Trobiawan dialect",,31,
210638,114,leaf,bila,,,2,
210639,115,root,lamit,"L from Amis? -EG",L?,3?,
210640,117,fruit,saquL,,,,
210641,119,earth/soil,tapel,soil,,,
210642,120,stone,batu,,,1,
210704,122,water,lanum,,,1,
210705,122,water,zanum,"Trobiawan dialect",,1,
210644,129,moon,bucan,,,1,
210645,133,rain,uran,,,1,
210646,136,wind,baci,,,2,
210647,137,"to blow",siupe,,,1,
210648,139,cold,meneng,,,88,
210649,143,fire,ramar,,,14,
210650,146,ash,abu,,,1,
210651,153,big,qalawia,"Trobiawan dialect",,72,
210652,157,thick,manengke,"thick, fat",,,
210653,160,"painful, sick",habateng,sick,,82,
210654,161,"shy, ashamed",ma-sikat',"*ma-Sikat -EG",,52,
210655,164,good,salak,,,93,
210656,167,night,rabi,"Expect initial [l]. -EG",L?,21,
210706,168,day,cənal,"< *siNaR",,5,
210707,168,day,lien,,,45,
210708,168,day,na,,,,
210658,169,year,tasaw,,,61,
210659,170,when?,kinan,,,52,
210660,171,"to hide",baneng,,,,
210661,173,at,li,,,20,
210662,174,"in, inside",caila,,,,
210663,176,below,moco,,,,
210664,177,this,azai,"Shinshe dialect",,32,
210709,181,where?,inu,,,1,
210710,181,where?,a-inu,,,1,
210666,182,I,yaku,,,1,
210667,183,thou,isu,,,1,
210668,184,he/she,-ia,"nominative case",,1,
210711,185,we,mita,inclusive,,1,
210712,185,we,yami,exclusive,,2,
210670,186,you,imu,,,1,
210671,187,they,-ia,"nominative case",,44,
210672,188,what?,unu,,,41,
210713,189,who?,cuwai,,,,
210714,189,who?,cai-,,,1,
210715,190,other,laheta,"Shinshe dialect",,46,
210716,190,other,laqitia,"Trobiawan dialect",,46,
210747,192,and,ka,,,1,
210675,193,if,nu,,,2,
210676,194,how?,mamkak,,,,
210677,195,"no, not",mia,,,,
210678,196,"to count",bilaŋ,,,1,
210679,197,One,ca,,,1,
210680,198,Two,lusa,,,1,
210681,199,Three,cuu,,,1,
210682,200,Four,səpat,,,1,
210683,201,Five,cima,,,1,
210684,202,Six,anəm,,,1,
210685,203,Seven,pitu,,,1,
210686,204,Eight,wacu,,,3,
210687,205,Nine,siwa,,,5,
210748,206,Ten,labatan,,,6,
210767,207,Twenty,lusabtin,,,2,
210742,209,"One Hundred",rasibu,,,26,
210688,210,"One Thousand",raran,"< *DaDaN",,8,
