id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
850,Chongzuo,"Zhang et al (1999)",zyn,yong1275,"Zhang Junru [张均如], et. al (1999). A Study of Zhuang dialects [壮语方言研究, Zhuàngyǔ Fāngyán Yánjiù]. Chengdu: Sichuan min zu chu ban she [四川民族出版社].Data collected from: Fulu Township 福鹿乡, Chongzuo 崇左, Guangxi, ChinaClassification: Subgroup C (Pittayaporn 2009)Tones:1 = /33/2 = /11/3 = /24/4 = /32/5 = /55/6 = /31/7 = /55/8 = /31/",,"Tai-Kadai, Kam-Tai, Tai, Central","Andrew C. Hsiu",,"@book{65414,  address       = {Chéngdū},  pages         = {938},  publisher     = {Sichuan Nationalities Press},  title         = {Zhuàngyŭ fāngyán yánjiū},  year          = {1999},  bibtexkey     = {li-liang-ouyang-xie-zhang-zheng_zhuangyu-fangyan1999},  fn            = {eurasia\zhang_zhuang1999_o.pdf, eurasia\zhang_zhuang1999.pdf},  hhtype        = {overview;comparative;wordlist;phonology},  macro_area    = {Eurasia},  src           = {hh},  srctrickle    = {hh#hvwphon_Zhangetal_Zhuang},  title_english = {Zhuang dialect research},  author        = {Zhang, Junru and Liang, Min and Ouyang, Jueya and Zheng, Yiqing and Li, Xulian and Xie, Jianyou}}"
latitude,longitude
21.83750000000000000000,107.36220000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
214373,1,hand,moy2,,,1,
214374,2,left,"be:ŋ3 ɬu:i4",,,"46, 52",
214375,3,right,"be:ŋ3 khwa2",,,"1, 49",
214376,4,leg/foot,ha1,,,42,
214377,5,"to walk",phja:i3,,,,
214378,6,road/path,lo6,,,,
214379,7,"to come",ma2,,,,
214380,9,"to swim",jiu2,,,,
214381,10,dirty,"ho:i1 ɬo:i1",,,,
214382,11,dust,"mun6 mo:k8",,,,
214383,12,skin,naŋ1,,,56,
214384,13,back,"ɬe5 laŋ1",,,,
214385,14,belly,tuŋ4,,,,
214386,15,bone,do:k7,,,,
214387,16,intestines,ɬai3,,,,
214388,17,liver,tap7,,,,
214389,18,breast,nəm2,,,,
214390,19,shoulder,"ke:u5 ba5",,,1,
214391,20,"to know, be knowledgeable","lo4 na3",,,,
214392,21,"to think",ɬi:ŋ3,,,,
214393,21,"to think",nam3,,,,
214394,22,"to fear",la:u1,,,43,
214395,23,blood,lu:t8,,,,
214396,24,head,lau3,,,1,
214397,25,neck,ho2,,,,
214398,26,hair,phjəm1,,,,
214399,27,nose,daŋ1,,,1,
214400,29,"to sniff, smell",su:p7,,,,
214401,30,mouth,pa:k7,,,,
214402,31,tooth,he:u3,,,,
214403,32,tongue,lən4,,,36,
214404,33,"to laugh",li:u1,,,,
214405,34,"to cry",hai3,,,,
214406,35,"to vomit",lu:k8,,,1,
214407,36,"to spit",thəm5,,,,
214408,37,"to eat",kən1,,,1,
214409,38,"to chew",khe:u4,,,,
214410,39,"to cook",tsi:n5,,,,
214411,40,"to drink",kən1,,,,
214412,41,"to bite",hap8,,,,
214413,42,"to suck",dət7,"to suck, inhale (air)",,,
214414,43,ear,li2,,,,
214415,44,"to hear",təŋ6,,,,
214416,45,eye,"ma:k7 tha1",,,1,
214417,46,"to see",thən1,,,,
214418,47,"to yawn",ha:u1,,,,
214419,48,"to sleep",no:n2,,,,
214420,50,"to dream",phan1,,,,
214421,51,"to sit",naŋ6,,,,
214422,53,"person/human being",hun2,,,,
214423,54,man/male,"to:i1 po6",,,,
214424,55,woman/female,"to:i1 me6",,,,
214425,56,child,"lak8 dək7",,,1,
214426,57,husband,"tu1 po6",,,,
214427,58,wife,"tu1 me6",,,,
214428,59,mother,pa3,,,,
214429,59,mother,"me6 la:u4",,,,
214430,60,father,"ke5 la:u4",,,,
214431,61,house,lu:n2,,,,
214432,64,"to say",ka:ŋ3,,,,
214433,65,rope,tsa:k8,,,,
214434,66,"to tie up, fasten",tsu:k8,,,,
214435,67,"to sew",ȵap8,,,,
214436,68,needle,həm1,,,,
214437,69,"to hunt","ti6 ȵən1",,,,
214438,70,"to shoot",noy2,,,,
214439,72,"to hit",təp8,,,,
214440,73,"to steal",sak8,,,,
214441,74,"to kill",kha3,,,,
214442,75,"to die, be dead",tha:i1,,,1,
214443,76,"to live, be alive",ni:u1,,,,
214444,77,"to scratch",kau1,,,,
214445,79,stick/wood,mai4,tree,,,
214446,80,"to split",pa:k8,,,,
214447,81,sharp,ɬəm1,,,,
214448,82,"dull, blunt",lou5,,,,
214449,83,"to work",he:t8,"to do",,,
214450,84,"to plant",tsai1,,,,
214451,85,"to choose",ɬi:n3,,,,
214452,87,"to swell",kəi6,,,,
214453,89,"to hold",kam1,,,,
214454,89,"to hold",ko3,,,,
214455,90,"to dig",wa1,,,,
214456,91,"to buy",soy4,,,,
214457,92,"to open, uncover",ho:i1,,,,
214458,93,"to pound, beat",tam1,,,26,
214459,94,"to throw",ȵoy2,,,,
214460,95,"to fall",tuk7,,,,
214461,95,"to fall",lo:t7,,,,
214462,96,dog,ma1,,,,
214463,97,bird,nuk8,,,1,
214464,98,egg,lai5,,,,
214465,99,feather,hun1,,,,
214466,100,wing,pi:k7,,,,
214467,101,"to fly",bən1,,,,
214468,102,rat,nou1,,,,
214469,103,meat/flesh,ba:i5,,,,
214470,104,fat/grease,la:u2,,,,
214471,105,tail,thi:ŋ1,,,,
214472,106,snake,ŋi2,,,,
214473,107,"worm (earthworm)",nu:n1,,,,
214474,108,louse,thau1,,,1,
214475,109,mosquito,ȵuŋ2,,,,
214476,110,spider,"tsi3 ha:u1",,,,
214477,111,fish,pja1,,,,
214478,112,rotten,nau6,,,,
214479,112,rotten,la:n6,,,,
214480,113,branch,ŋe:m2,,,,
214481,114,leaf,boy1,,,,
214482,115,root,la:k8,,,,
214483,116,flower,bjo:k7,,,,
214484,117,fruit,ma:k7,,,,
214485,118,grass,luk8,,,,
214486,119,earth/soil,təm1,,,,
214487,120,stone,thən1,,,,
214488,121,sand,ɬu:i2,,,,
214489,121,sand,sa1,,,,
214490,122,water,nam4,,,1,
214491,123,"to flow",lai1,,,,
214492,124,sea,ha:i3,,L,,
214493,125,salt,ki1,,,,
214494,127,woods/forest,duŋ1,,,,
214495,128,sky,fa4,,,,
214496,129,moon,"ha:i1 pa:u3",,,,
217993,129,moon,bu:n1,month,,,
214497,130,star,"da:u1 dəi5",,,1,
214498,131,cloud,phi3,,,,
214499,132,fog,mo:k7,,,,
214500,133,rain,phun1,,,,
214501,134,thunder,lo:i2,,,,
214502,135,lightning,si:m3,verb,,,
214503,136,wind,ləm2,,,,
214504,137,"to blow",po5,,,,
214505,138,warm,thau3,,,,
214506,139,cold,da:ŋ3,,,,
214507,140,dry,hoy5,,,,
214508,141,wet,təm2,,,,
214509,142,heavy,nak7,,,,
214510,143,fire,fəi2,,,1,
214511,144,"to burn",daŋ1,,,,
214512,145,smoke,jin2,,,,
214513,147,black,dam1,,,1,
214514,148,white,pi:k8,,,,
214515,149,red,dəŋ1,,,,
214516,150,yellow,li:ŋ1,,,,
214517,151,green,he:u1,,,,
214518,152,small,ɬai5,,,,
214519,153,big,lu:ŋ1,,,,
214520,154,short,tam5,,,,
214521,155,long,ləi2,,,,
214522,156,thin,ba:ŋ1,,,,
214523,157,thick,na1,,,,
214524,158,narrow,khap8,,,,
214525,158,narrow,tse:k9,,,,
214526,159,wide,kwa:ŋ3,,,,
214527,160,"painful, sick",ke:t7,,,,
214528,162,old,ke5,,,,
214529,162,old,la:u4,,,,
214530,163,new,mo5,,,,
214531,164,good,dəi1,,,,
214532,165,"bad, evil",wa:i6,,,,
214533,166,"correct, true",to:i5,,L,,
214534,167,night,"(to3) lap7",,,,
214535,168,day,ŋən2,,,,
214536,169,year,pəi1,,,,
214537,171,"to hide",pai4,,,,
214538,172,"to climb",me:n5,,,,
214539,174,"in, inside",doy1,,,,
214540,177,this,kən3,,,,
214541,178,that,khai2,,,,
214542,179,near,khjoy3,,,,
214543,180,far,kjai1,,,,
214544,181,where?,"ko:k7 koy2",,,,
214545,182,I,ŋo2,,,,
214546,183,thou,ni2,,,,
214547,184,he/she,mən1,,,,
214548,185,we,"ho:ŋ1 lau2",,,,
