id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
862,Saek,"William J. Gedney",skb,saek1240,"Hudak, Thomas J., and William J. Gedney. 2010. William J. Gedney's concise Saek-English, English-Saek lexicon. Oceanic Linguistics special publication, no. 37. Honolulu: University of Hawai'i Press.The Saek tones are:1 = /34/ mid level, slight rise at the end2 = /11/ low level3 = /31/ falling to low, with glottal constriction4 = /454/ high rising-falling5 = /52/ high falling6 = /32/ mid level, with slight fall and glottal constriction",,"Tai-Kadai, Kam-Tai, Tai, Northern","Andrew C. Hsiu",,"@book{56276,  address        = {Ann Arbor},  pages          = {xliv, 989, maps},  publisher      = {Center for South and Southeast Asian Studies, University of Michigan},  series         = {Michigan papers on South and Southeast Asia},  title          = {The Saek language: glossary, texts, and translations},  volume         = {41},  year           = {1993},  bibtexkey      = {gedney_saek-translations1993},  inlg           = {English [eng]},  inlg_code      = {eng},  macro_area     = {Eurasia},  seanote        = {edited by Hudak,, Thomas John},  shelf_location = {UHM ASIA PL4251.S23 G4 1993 and UCB Main PL4251.S23 G4 1993},  src            = {sala},  srctrickle     = {sala#3092},  author         = {Gedney, William J.}}"
latitude,longitude
17.45580000000000000000,104.78700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
218013,1,hand,mɯ:4,,,1,
218296,2,left,vɛ:l6,,,,
218297,2,left,vɛ:n6,,,,
218298,3,right,khua4,,,1,
218299,3,right,khwa:4,,,1,
218300,4,leg/foot,kua1,,,42,
218301,4,leg/foot,kwa:1,,,42,
218302,4,leg/foot,ɣe:ŋ5,"leg, foot",,39?,
218234,5,"to walk",thɛ:w4,,,,
218235,5,"to walk",thiaw4,,,,
218236,5,"to walk",ɲa:ŋ5,,,,
218303,6,road/path,tha:ŋ4,,,26,
218304,6,road/path,ra:5,,,,
218305,7,"to come",ma:2,,,1,
218306,7,"to come",hun4,,,,
218275,8,"to turn",pin6,,,55,
218276,8,"to turn",mun2,,,,
218277,8,"to turn",mu:n2,,,,
218021,9,"to swim",yu:4,,,,
218022,10,dirty,pɯan3,,,,
218023,11,dust,phun5,,,39,
218024,12,skin,naŋ2,,,56,
218025,13,back,laŋ2,,,66,
218026,14,belly,phuŋ4,,,,
218027,15,bone,rɔɔk6,,,1?,
218028,16,intestines,say3,,,48,
218029,17,liver,tap4,,,1?,
218030,18,breast,cu:3,,,39,
218307,19,shoulder,va:6,,,1,
218308,19,shoulder,"rɔ:ŋ4 va:6",,,1,
218309,19,shoulder,"kho:6 le:6",,,,
218292,20,"to know, be knowledgeable",rɔ:6,,,57,
218293,20,"to know, be knowledgeable","rɔ:6 cak4",,,57,
218310,21,"to think",khɯt6,,,,
218311,21,"to think",ŋɤʔ4,,,,
218034,22,"to fear",la:w2,,,43,
218035,23,blood,luat5,,,28,
218036,24,head,thraw3,,,1,
218037,25,neck,ɣɔ:4,,,52,
218038,26,hair,phram2,,,47,
218039,27,nose,daŋ1,,,1,
218312,28,"to breathe","thit4 cɯ:1",,,52,
218313,28,"to breathe","thɯt4 cɯ:1",,,52,
218041,29,"to sniff, smell",dam1,,,39,
218042,30,mouth,pa:k6,,,1?,
218043,31,tooth,nɛ:ŋ1,,,,
