id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
87,Marovo,"Blust, from Tryon & Hackman (1983)",mvo,maro1244,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, East","Penny Keenan","Simon Greenhill","@book{85830,  address               = {Canberra},  note                  = {Bibliography: p. 483-490.},  pages                 = {viii+490},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {Solomon Islands Languages: An Internal Classification},  volume                = {72},  year                  = {1983},  bibtexkey             = {hackman-tryon_solomon-islands1983},  class_loc             = {PL6211.S6},  document_type         = {B},  fn                    = {papua\tryon-hackman_solomon-islands1983.pdf, papua\tryon-hackman_solomon-islands1983pages.pdf, papua\tryon-hackman_solomon-islands1983pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858832923},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .S6 TRY 1983},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:TryonHackman:Solomon, mpieva#Tryon1983SolomonI},  subject_headings      = {Melanesian languages–Solomon Islands–Classification, Solomon Islands–Languages–Classification, Melanesian languages–Solomon Islands–Classification – Solomon Islands–Languages–Classification},  author                = {Tryon, Darrell T. and Hackman, B. D.}}"
latitude,longitude
-8.78193952103597119674,158.18664550781250000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
87,1,hand,lima-,,,1,1
444,2,left,hɛnde,,,16,
801,3,right,matao,,,"5,13",1
1158,4,leg/foot,mahele-,,,62,
1515,5,"to walk",ɛne,,,11,
1872,6,road/path,huana,,,35,
2229,7,"to come",mae,,,1,1
2586,8,"to turn",likoco,,,43,
2943,9,"to swim",cucuve,,,12,
3300,10,dirty,nindze,,,72,
3657,11,dust,kavuru,,,72,
4014,12,skin,kɔrekɔre-,,,37,
4371,13,back,kakandɔ-,,,112,
4728,14,belly,tia-,,,1,1
5085,15,bone,susuri-,,,52,
5442,16,intestines,kuru-,,,80,
5799,17,liver,kɔla-,,,8,
6156,18,breast,cucu-,,,1,1
134112,19,shoulder,kivekive,,,,
6870,20,"to know, be knowledgeable",atɛn|ia,,,35,
7227,21,"to think",mbalambala,,,17,
7584,22,"to fear",talokɛte,,,48,
7941,23,blood,njuka-,,,10,
8298,24,head,calivi-,,,,
8655,25,neck,rua-,,,18,
134903,26,hair,kalu,,,24,
9369,27,nose,isu-,,,1,1
9726,28,"to breathe",siŋo,,,20,
10083,29,"to sniff, smell",hina,,,53,
10440,30,mouth,hunju-,,,"2, 44",
10797,31,tooth,livɔ-,,,"1,35",1
11154,32,tongue,mea-,,,7,
11511,33,"to laugh",iraŋa,,,62,
11868,34,"to cry",ulo,,,41,
12225,35,"to vomit",muta,,,1,1
12582,36,"to spit",kamicu,,,"14, 22",
73221,37,"to eat",ŋɔŋɔ,,,15,
73222,37,"to eat",vavae,,,41,
134146,39,"to cook",kina,,,55,
14010,40,"to drink",mbei,,,8,
14367,41,"to bite",usua,,,31,
14724,42,"to suck",nonopo,,,"1, 22",
