id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
873,Kirgiz,"Hu Zhenhua (1984)",kir,kirg1245,"Hu Zhenhua (1984) A short description of the Kirgiz language (in Chinese). Beijing: Minzu.",,"Turkic, Western, Aralo-Caspian","Varvara Kozhevina","Simon Greenhill","@book{zhenhua1984a,  date      = {1984},  title     = {A short description of the Kirgiz language},  publisher = {Minzu},  address   = {Beijing},  author    = {Zhenhua, Hu}}"
latitude,longitude
42.00000000000000000000,74.00000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
219382,1,hand,qol,,,,
219383,2,left,sol,,,,
219384,3,right,oŋ,,,,
219385,4,leg/foot,ajaq,"a. foot",,,
219386,4,leg/foot,but,"b. leg",,,
219387,5,"to walk",ʤyr-,,,,
219388,6,road/path,ʤol,"road, path",,,
219389,7,"to come",kel-,,,,
219390,8,"to turn",burul-,,,,
219391,9,"to swim",ʤyz-,,,,
219392,10,dirty,balit,,,,
219393,11,dust,"ʧaŋ tozon",,,,
219394,12,skin,teri,,,,
219395,13,back,dalə,,,,
219396,14,belly,qarən,,,,
219397,15,bone,søøk,,,,
219398,16,intestines,iʧegi,,,,
219399,17,liver,boor,,,,
219400,18,breast,kekirtek,breast,,,
219401,19,shoulder,ijin,,,,
219402,20,"to know, be knowledgeable",bil-,,,,
219403,21,"to think",ojlo-,,,,
219404,22,"to fear",qorq-,,,,
219405,23,blood,qan,,,,
219406,24,head,baʃ,,,,
219407,25,neck,mojuu,,,,
219408,26,hair,ʧaʧ,,,,
219409,27,nose,murun,,,,
219410,28,"to breathe","dem al-",,,,
219411,29,"to sniff, smell",ʤətta-,"to sniff, smell",,,
219412,30,mouth,ooz,,,,
219413,31,tooth,tiʃ,,,,
219414,32,tongue,til,,,,
219415,33,"to laugh",kyl-,,,,
219416,34,"to cry",əjla-,,,,
219417,35,"to vomit",qus-,,,,
219418,36,"to spit",tykyr-,,,,
219419,37,"to eat",ʤe-,,,,
219420,38,"to chew",ʧajna-,,,,
219421,39,"to cook",bəʃər-,a.,,,
219422,40,"to drink",iʧ-,,,,
219423,41,"to bite",tiʃte-,,,,
219424,42,"to suck",emiz-,,,,
219425,43,ear,qulaq,,,,
219426,44,"to hear",uq-,,,,
219427,44,"to hear",təŋʃa-,,,,
219428,45,eye,køz,,,,
219429,46,"to see",kør-,,,,
219430,47,"to yawn",esine-,,,,
219431,48,"to sleep",uqta-,,,,
219432,49,"to lie down",ʤat-,,,,
219433,50,"to dream","tyʃ kør-",,,,
219434,51,"to sit",oltur-,,,,
219435,52,"to stand",tur-,,,,
219436,53,"person/human being",adam,"person, human being",,,
219437,53,"person/human being",kiʃi,"person, human being",,,
219438,54,man/male,er,man,,,
219439,55,woman/female,ajal,woman,,,
219440,56,child,bala,,,,
219441,57,husband,er,,,,
219442,58,wife,ajal,,,,
219443,59,mother,ene,,,,
219444,60,father,ata,,,,
219445,61,house,yj,,,,
219446,63,name,at,,,,
219447,64,"to say",ajt-,,,,
219448,65,rope,arqan,,,,
219449,66,"to tie up, fasten",bajla-,,,,
219450,67,"to sew",tik-,,,,
219451,68,needle,ijne,,,,
219452,69,"to hunt","aŋ uula-",,,,
219453,70,"to shoot",at-,,,,
219454,71,"to stab, pierce",saj-,,,,
219455,72,"to hit",ur-,,,,
219456,73,"to steal",uurda-,,,,
219457,74,"to kill",øltyr-,,,,
219458,75,"to die, be dead",øl-,"to die",,,
219459,76,"to live, be alive",ʤaʃa-,"to live",,,
219460,78,"to cut, hack",ʧap-,,,,
219461,79,stick/wood,tajaq,,,,
219462,80,"to split",ʤar-,,,,
219463,81,sharp,øtkyr,,,,
219464,83,"to work",ajda-,,,,
219465,84,"to plant",ek-,,,,
219466,85,"to choose",taŋda-,,,,
219467,86,"to grow",øs-,,,,
219468,87,"to swell",ʃiʃi-,,,,
219469,87,"to swell",iʃi-,,,,
219470,88,"to squeeze",bas-,,,,
219471,89,"to hold",qarma-,,,,
219472,90,"to dig",qaz-,,,,
219473,91,"to buy","satəp al-",,,,
219474,92,"to open, uncover",aʧ-,"to open",,,
219475,94,"to throw",ərʁət-,,,,
219476,95,"to fall",tyʃ-,,,,
219477,96,dog,it,,,,
219478,97,bird,quʃ,,,,
219479,98,egg,ʤumurtqa,,,,
219480,100,wing,qanat,,,,
219481,101,"to fly",uʧ-,,,,
219482,102,rat,ʧəʧqan,,,,
