id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
885,"Mori Atas (Doule)","Mead, D. (1999)",mzq,mori1269,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Western, Interior","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.25550000000000000000,121.03500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
235739,1,hand,kai,,,36,
235742,4,leg/foot,kare,,,49,
235847,5,"to walk",lumolako,,,,
235795,6,road/path,sala,,,1,
235853,7,"to come",haβe,,,,
235843,9,"to swim",monaŋoi,,,1,
235743,12,skin,kuli,,,1,
235741,14,belly,kompo,,,,
235746,15,bone,buku,,,,
235748,17,liver,ate,,,1,
235740,18,breast,"ŋO EŋTRY",,,,
235832,20,"to know, be knowledgeable",toʔori,,,,
235747,23,blood,rea,,,1,
235730,24,head,ulu,,,1,
235738,25,neck,veʔu,,,,
235731,26,hair,βuu,,,,
235733,27,nose,eŋe,,,,
235734,30,mouth,pindu,,,,
235736,31,tooth,ŋisi,,,24,
235735,32,tongue,elo,,,4,
235835,33,"to laugh",motao,,,,
235834,34,"to cry",meʔie,,,,
235846,35,"to vomit",mekulekule,,,,
235845,36,"to spit",meʔonui,,,,
235838,37,"to eat",moŋgaa,,,1,
235839,40,"to drink",moʔinu,,,,
235737,43,ear,biri,,,26,
235836,44,"to hear",mohori,,,,
235732,45,eye,mata,,,1,
235837,46,"to see",moŋgito,,,76,
235851,48,"to sleep",moturi,,,1,
235850,49,"to lie down",mepombole,,,,
235852,50,"to dream",moipi,,,,
235849,51,"to sit",metunda,,,,
235848,52,"to stand",mentido,,,,
235749,53,"person/human being",mia,,,,
235750,54,man/male,tuama,,,,
235751,55,woman/female,iroβai,,,,
235756,56,child,ana,,,,
235752,57,husband,tuama,,,,
235753,58,wife,iroβai,,,,
235755,59,mother,ine,,,,
235754,60,father,uma,,,,
235854,63,name,ŋee,,,,
235833,64,"to say",mopau,,,56,
235794,65,rope,koloro,,,,
235842,75,"to die, be dead",mate,,,,
235775,79,stick/wood,kau,,,,
235841,93,"to pound, beat",moʔusa,,,,
235772,96,dog,dahu,,,,
235764,97,bird,sui,,,,
235765,98,egg,sului,,,,
235844,101,"to fly",menee,,,,
235771,102,rat,tehu,,,,
235744,103,meat/flesh,ihi,,,,
235745,104,fat/grease,taba,,,,
235763,105,tail,okui,,,,
235769,106,snake,ule,,,,
235766,108,louse,kusu,,,,
235768,109,mosquito,tampoŋa,,,,
235767,109,mosquito,siporo,,,,
235770,111,fish,bou,,,,
235773,114,leaf,leve,,,,
235774,115,root,haka,,,,
235777,116,flower,buŋa,,,,
235776,117,fruit,βua,,,,
235786,119,earth/soil,βute,,,,
235793,120,stone,βasu,,,,
235785,121,sand,one,,,,
235788,122,water,uβoi,,,,
235784,124,sea,tahi,,,,
235787,125,salt,hia,,,,
235789,127,woods/forest,tobu,,,,
235780,128,sky,laŋi,,,,
235778,129,moon,βule,,,,
235779,130,star,toŋkimo,,,,
235781,131,cloud,seru,,,,
235782,133,rain,use,,,,
235783,136,wind,aŋi,,,1,
235806,138,warm,mokulakula,"(luke)warm (water)",,,
235804,138,warm,mokule,"hot (water)",,,
235805,139,cold,morini,,,,
235799,140,dry,mokari,,,,
235790,143,fire,apui,,,,
235840,144,"to burn",monsoru,,,,
235791,145,smoke,bombo,,,,
235792,146,ash,aβu,,,,
235811,147,black,moito,,,,
235810,148,white,mopute,,,,
235813,149,red,modolo,,,,
235812,150,yellow,moŋkuni,,,,
235814,151,green,moloβulu,,,,
235797,152,small,kodei,,,,
235796,153,big,laŋkai,,,,
235807,154,short,oβoa,,,,
235808,155,long,mentaa,,,,
235803,162,old,insani,,,,
235802,163,new,βoʔu,,,,
235798,164,good,meambo,,,,
235831,167,night,βiŋi,,,,
235830,175,above,wawo,,,,
235829,176,below,toto,under,,,
235816,177,this,nuo,,,,
235801,179,near,merambi,,,,
235800,180,far,olai,,,,
235857,181,where?,inderio,,,,
235757,182,I,yaku,,,,
235758,183,thou,iŋgoʔo,"you (fam.)",,,
235759,184,he/she,iPono,,,,
235761,185,we,iŋgito,"we (incl.)",,,
235760,185,we,ikami,"we (excl.)",,,
235762,187,they,iPoro,,,,
235855,188,what?,pio,,,,
235856,189,who?,isea,,,,
235809,191,all,mempihe,,,,
235858,194,how?,ehende,,,,
235815,195,"no, not",aijo,,,,
235817,197,One,aso,,,,
235818,198,Two,oruo,,,,
235819,199,Three,tolu,,,,
235820,200,Four,oomba,,,,
