id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
890,"Mori Atas (Molongkuni)","Mead, D. (1999)",mzq,mori1269,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Western, Interior","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.25550000000000000000,121.03500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
236389,1,hand,kai,,,36,
236392,4,leg/foot,kare,,,49,
236500,5,"to walk",lumolako,,,,
236445,6,road/path,sala,,,1,
236506,7,"to come",haβe,,,,
236496,9,"to swim",sumoPe,,,,
236495,9,"to swim",monaŋoi,,,1,
236393,12,skin,kuli,,,1,
236391,14,belly,kompo,,,,
236396,15,bone,buku,,,,
236398,17,liver,ate,,,1,
236390,18,breast,uo,,,,
236484,20,"to know, be knowledgeable",toʔori,,,,
236397,23,blood,rea,,,1,
236380,24,head,ulu,,,1,
236388,25,neck,doŋa,,,,
236381,26,hair,βuu,,,,
236383,27,nose,eŋe,,,,
236384,30,mouth,ŋaŋa,,,,
236386,31,tooth,ŋisi,,,24,
236385,32,tongue,elo,,,4,
236487,33,"to laugh",moaβa,,,,
236486,34,"to cry",meiβi,,,,
236499,35,"to vomit",melua,,,,
236498,36,"to spit",meʔonui,,,,
236490,37,"to eat",moŋgaa,,,1,
236491,40,"to drink",moʔinu,,,,
236387,43,ear,biri,,,26,
236488,44,"to hear",moroŋo,,,,
236382,45,eye,mata,,,1,
236489,46,"to see",moŋgito,,,76,
236504,48,"to sleep",moturi,,,1,
236503,49,"to lie down",melengolengo,,,,
236505,50,"to dream",moipi,,,,
236502,51,"to sit",metunda,,,,
236501,52,"to stand",metade,,,,
236399,53,"person/human being",mia,,,,
236400,54,man/male,tuama,,,,
236401,55,woman/female,beine,,,"1,107",
236406,56,child,ana,,,,
236402,57,husband,kombia,,,,
236403,58,wife,kombia,,,,
236405,59,mother,ine,,,,
236404,60,father,uma,,,,
236507,63,name,ŋee,,,,
236485,64,"to say",mopau,,,56,
236444,65,rope,koloro,,,,
236494,75,"to die, be dead",mate,,,,
236424,79,stick/wood,kau,,,,
236493,93,"to pound, beat",moʔusa,,,,
236421,96,dog,dahu,,,,
236414,97,bird,sui,,,,
236415,98,egg,sului,,,,
236497,101,"to fly",menee,,,,
236420,102,rat,tehu,,,,
236394,103,meat/flesh,ihi,,,,
236395,104,fat/grease,taba,,,,
236413,105,tail,okui,,,,
236418,106,snake,ule,,,,
236416,108,louse,kusu,,,,
236417,109,mosquito,siporo,,,,
236419,111,fish,bou,,,,
236422,114,leaf,leve,,,,
236423,115,root,haka,,,,
236427,116,flower,sisi,,,,
236426,116,flower,buŋa,,,,
236425,117,fruit,βua,,,,
236436,119,earth/soil,βute,,,,
236443,120,stone,βasu,,,,
236435,121,sand,one,,,,
236438,122,water,uβoi,,,,
236434,124,sea,tahi,,,,
236437,125,salt,hia,,,,
236439,127,woods/forest,tobu,,,,
236430,128,sky,laŋi,,,,
236428,129,moon,βule,,,,
236429,130,star,anaβula,,,,
236431,131,cloud,seru,,,,
236432,133,rain,use,,,,
236433,136,wind,aŋi,,,1,
236457,138,warm,moβolo,"(luke)warm (water)",,,
236455,138,warm,mokule,"hot (water)",,,
236456,139,cold,morini,,,,
236450,140,dry,mokari,,,,
236449,140,dry,mosui,,,,
236440,143,fire,apui,,,,
236492,144,"to burn",sumoŋko,,,,
236441,145,smoke,ahu,,,,
236442,146,ash,aβu,,,,
236462,147,black,moito,,,,
236461,148,white,mopute,,,,
236464,149,red,modolo,,,,
236463,150,yellow,moŋkuni,,,,
236465,151,green,moloβulu,,,,
236447,152,small,kodei,,,,
236446,153,big,laŋkai,,,,
236458,154,short,oβoa,,,,
236459,155,long,mentaa,,,,
236454,162,old,insani,,,,
236453,163,new,sarai,,,,
236448,164,good,meambo,,,,
236483,167,night,βiŋi,,,,
236482,175,above,wawo,,,,
236481,176,below,toto,under,,,
236468,177,this,nudi,,,,
236452,179,near,merambi,,,,
236451,180,far,olai,,,,
236510,181,where?,isua,,,,
