id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
895,"Mori Bawah (Bahano)","Mead, D. (1999)",xmz,mori1268,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.56020000000000000000,121.37000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
237039,1,hand,kai,,,36,
237042,4,leg/foot,kare,,,49,
237148,5,"to walk",melempa,,,,
237096,6,road/path,sala,,,1,
237154,7,"to come",haβe,,,,
237144,9,"to swim",sumoPe,,,,
237043,12,skin,kuli,,,1,
237041,14,belly,kompo,,,,
237046,15,bone,buku,,,,
237048,17,liver,ate,,,1,
237040,18,breast,uo,,,,
237133,20,"to know, be knowledgeable",toʔori,,,,
237047,23,blood,rea,,,1,
237030,24,head,ulu,,,1,
237038,25,neck,veʔu,,,,
237031,26,hair,βuu,,,,
237033,27,nose,eŋe,,,,
237034,30,mouth,ŋaŋa,,,,
237036,31,tooth,ŋisi,,,24,
237035,32,tongue,elo,,,4,
237136,33,"to laugh",motao,,,,
237135,34,"to cry",meŋese,,,,
237147,35,"to vomit",melua,,,,
237146,36,"to spit",meʔonui,,,,
237139,37,"to eat",moŋgaa,,,1,
237140,40,"to drink",moʔinu,,,,
237037,43,ear,biri,,,26,
237137,44,"to hear",moroŋo,,,,
237032,45,eye,mata,,,1,
237138,46,"to see",moŋkii,,,76,
237152,48,"to sleep",moturi,,,1,
237151,49,"to lie down",meledo,,,,
237153,50,"to dream",moipi,,,,
237150,51,"to sit",dumodoŋko,,,,
237149,52,"to stand",metade,,,,
237049,53,"person/human being",mia,,,,
237050,54,man/male,tuama,,,,
237051,55,woman/female,iroβai,,,,
237058,56,child,ana,,,,
237053,57,husband,tama,,,,
237052,57,husband,kombia,,,,
237055,58,wife,kombia,,,,
237054,58,wife,iroβai,,,,
237057,59,mother,ine,,,,
237056,60,father,uma,,,,
237155,63,name,ŋee,,,,
237134,64,"to say",mopau,,,56,
237095,65,rope,ula,,,,
237143,75,"to die, be dead",mate,,,,
237076,79,stick/wood,kau,,,,
237142,93,"to pound, beat",moʔisa,,,,
237073,96,dog,dahu,,,,
237066,97,bird,manomano,,,,
237067,98,egg,sului,,,,
237145,101,"to fly",membiri,,,,
237072,102,rat,tehu,,,,
237044,103,meat/flesh,bau,,,,
237045,104,fat/grease,taba,,,,
237065,105,tail,okui,,,,
237070,106,snake,ule,,,,
237068,108,louse,kusu,,,,
237069,109,mosquito,nini,,,,
